GO	[-8.26 -0.71]	[-0.71 -0.36]	[-0.36 -0.18]	[-0.18 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.28]	[0.28 0.55]	[0.55 1.06]	[1.06 7.81]
GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_UP GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_UP	9.192	-0.711	-0.561	1.441	-1.333	-4.333	-0.887	0.876	-0.333	0.584	-2.714
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP	3.009	-0.711	-1.927	-2.703	3.009	-1.610	-2.289	-1.094	-0.436	1.441	2.994
GSE22886_NEUTROPHIL_VS_MONOCYTE_UP GSE22886_NEUTROPHIL_VS_MONOCYTE_UP	2.215	-0.317	-0.857	-3.116	4.834	-0.538	-1.295	-3.116	-0.684	0.377	2.203
GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP	2.651	-0.850	-1.592	-2.304	1.827	0.970	-1.592	-3.251	-0.672	1.157	2.347
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP	2.462	-1.248	-0.633	-2.227	3.758	1.434	-1.248	-2.660	-1.527	1.027	0.547
GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP	2.197	-0.343	-0.583	-1.701	3.080	1.250	-0.451	-4.001	-2.435	-0.451	1.452
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN	2.639	-0.264	-1.973	-2.339	2.359	0.844	-1.652	-1.973	-0.918	0.342	2.346
GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN	3.954	0.708	-1.352	-0.902	2.124	-1.950	-1.111	-1.352	-0.724	-0.724	2.112
GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP	4.809	-2.067	-0.944	-1.425	0.707	-0.462	-1.166	-0.755	-0.944	1.663	1.428
GSE41176_WT_VS_TAK1_KO_UNSTIM_BCELL_DN GSE41176_WT_VS_TAK1_KO_UNSTIM_BCELL_DN	3.284	-2.314	0.453	-0.573	1.215	1.215	-2.314	-1.950	-0.342	-0.724	1.207
GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_16H_TSST_ACT_UP GSE36476_YOUNG_VS_OLD_DONOR_MEMORY_CD4_TCELL_16H_TSST_ACT_UP	2.779	0.377	1.086	0.610	1.279	-1.881	-2.239	-0.417	-0.317	-1.295	-0.543
