GO	[-5.47 -0.69]	[-0.69 -0.36]	[-0.36 -0.19]	[-0.19 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.11]	[0.11 0.28]	[0.28 0.55]	[0.55 1.06]	[1.06 7.81]
GSE6674_CPG_VS_PL2_3_STIM_BCELL_DN GSE6674_CPG_VS_PL2_3_STIM_BCELL_DN	2.422	2.422	2.708	1.662	-0.562	-8.238	0.463	-0.437	-0.562	-1.928	-3.713
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN	2.196	-0.584	-4.004	-5.521	4.104	5.262	-0.742	-0.929	-1.702	0.351	0.263
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP	3.324	-0.888	-1.928	-2.705	2.153	-0.888	-1.335	-1.928	0.271	1.047	3.012
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP	2.461	-1.249	-0.633	-2.228	2.761	2.461	-1.249	-3.162	-1.529	1.026	0.553
GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP	2.650	-0.851	-1.593	-2.306	1.826	0.969	-1.593	-3.253	-0.524	0.969	2.362
GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP	2.196	-0.343	-0.584	-1.702	2.475	2.196	-0.742	-4.004	-2.437	-0.343	1.252
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN	2.934	-0.351	-1.974	-2.341	1.844	1.394	-1.974	-1.974	-0.919	0.341	2.361
GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_DN GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_DN	3.569	-1.129	-2.341	-0.351	1.611	0.442	-3.779	-0.586	-1.129	0.442	2.361
GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP	4.809	-2.069	-0.945	-2.069	0.863	-0.263	-1.426	-0.462	-1.167	1.437	1.439
GSE41176_WT_VS_TAK1_KO_UNSTIM_BCELL_DN GSE41176_WT_VS_TAK1_KO_UNSTIM_BCELL_DN	3.284	-2.316	0.453	-0.725	1.215	1.417	-2.316	-1.951	0.263	-0.903	1.217
GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN	4.681	0.453	-1.354	-0.903	1.636	-1.112	-1.354	-1.112	-0.725	-0.903	2.126
GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_UP GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_UP	2.673	-0.342	-0.725	-1.632	2.390	-1.112	-0.725	-1.354	-1.112	0.859	1.217
GSE2706_R848_VS_LPS_8H_STIM_DC_UP GSE2706_R848_VS_LPS_8H_STIM_DC_UP	2.958	0.514	-0.673	-1.061	0.399	-0.301	-1.061	0.799	-3.253	-0.401	1.364
GSE15324_ELF4_KO_VS_WT_NAIVE_CD8_TCELL_DN GSE15324_ELF4_KO_VS_WT_NAIVE_CD8_TCELL_DN	3.999	-0.437	0.271	-0.712	0.463	0.271	-3.177	-1.095	-0.437	0.876	0.464
