GO	[-5.47 -0.69]	[-0.69 -0.36]	[-0.36 -0.19]	[-0.19 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.11]	[0.11 0.28]	[0.28 0.55]	[0.55 1.06]	[1.06 7.81]
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_DN	-2.759	-3.779	-2.341	-0.919	-4.402	-8.322	-0.739	1.194	4.631	7.123	7.590
GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN	-1.974	-3.235	-1.373	-0.739	-5.971	-6.995	-1.129	0.442	3.569	7.584	9.047
GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP	-2.366	-1.998	-0.752	-0.934	-7.035	-6.008	-0.597	-0.467	3.205	9.988	6.186
GSE29618_MONOCYTE_VS_PDC_UP GSE29618_MONOCYTE_VS_PDC_UP	-0.919	-1.974	-0.919	-2.341	-5.971	-8.322	-0.739	1.394	2.093	7.584	6.681
GSE29618_MONOCYTE_VS_MDC_UP GSE29618_MONOCYTE_VS_MDC_UP	-1.974	-1.653	-1.129	-2.341	-5.123	-5.971	-0.264	-0.351	2.093	9.039	8.064
GSE10325_BCELL_VS_MYELOID_DN GSE10325_BCELL_VS_MYELOID_DN	-1.951	-1.951	-2.732	-0.574	-4.369	-6.955	-0.574	0.350	2.971	8.128	7.195
GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN	-2.759	-2.759	-2.341	-1.129	-2.759	-8.322	0.559	2.358	3.909	2.934	6.246
GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP GSE29618_MONOCYTE_VS_PDC_DAY7_FLU_VACCINE_UP	-0.934	-1.146	-0.467	-0.934	-6.008	-8.364	0.333	0.679	1.586	3.528	7.064
GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_DN GSE24634_TREG_VS_TCONV_POST_DAY5_IL4_CONVERSION_DN	-1.095	-2.705	-2.705	-0.712	-5.052	-5.052	0.463	1.440	2.708	8.200	2.426
GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN GSE22886_NAIVE_TCELL_VS_MONOCYTE_DN	-2.759	-2.341	-1.974	-0.919	-2.341	-6.995	0.442	1.611	3.244	5.013	4.268
GSE11057_PBMC_VS_MEM_CD4_TCELL_UP GSE11057_PBMC_VS_MEM_CD4_TCELL_UP	-0.873	-1.316	-1.905	-2.266	-2.266	-5.017	-0.427	-0.551	1.464	5.575	10.328
GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_DN GSE24634_TEFF_VS_TCONV_DAY10_IN_CULTURE_DN	-5.123	-1.373	-1.373	0.341	-3.779	-5.971	-0.264	1.844	2.934	4.263	3.914
GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_DN	-4.402	-1.974	-0.919	-0.919	-2.759	-5.971	-0.351	1.844	3.909	3.569	5.019
GSE29618_PDC_VS_MDC_DN GSE29618_PDC_VS_MDC_DN	-1.112	-1.951	0.707	-1.354	-5.933	-6.955	-0.725	1.215	2.971	4.681	3.616
GSE10325_CD4_TCELL_VS_MYELOID_DN GSE10325_CD4_TCELL_VS_MYELOID_DN	-1.653	-2.341	-1.129	-1.653	-3.779	-5.123	-0.351	0.843	2.638	6.675	5.415
GSE11057_CD4_EFF_MEM_VS_PBMC_DN GSE11057_CD4_EFF_MEM_VS_PBMC_DN	-0.814	-2.570	-0.814	-1.507	-4.169	-5.708	0.650	-0.389	4.231	5.391	3.878
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_IL6_TREATED_DN GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_IL6_TREATED_DN	-1.974	-1.653	-2.341	-1.129	-3.779	-4.402	-0.457	3.569	3.244	3.244	4.268
GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_DN GSE24634_TREG_VS_TCONV_POST_DAY3_IL4_CONVERSION_DN	-1.951	-1.112	-1.951	-1.632	-3.747	-5.933	1.029	1.215	4.681	3.611	2.975
GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN GSE22886_NAIVE_CD8_TCELL_VS_MONOCYTE_DN	-1.974	-3.235	-0.457	-0.586	-2.341	-5.971	-0.739	1.194	1.611	4.263	6.681
GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_DN GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_DN	-1.280	-1.925	-3.354	-0.486	-1.578	-6.985	1.753	0.446	5.162	1.753	2.915
GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_DN	-0.752	-3.810	-1.392	-0.752	-2.366	-5.159	-0.271	0.432	3.528	2.897	6.619
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_UP GSE22935_WT_VS_MYD88_KO_MACROPHAGE_UP	-1.354	-0.903	-1.354	-0.574	-2.316	-8.280	-0.574	2.390	5.066	2.123	2.126
GSE34156_UNTREATED_VS_6H_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_UP GSE34156_UNTREATED_VS_6H_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_UP	-1.278	-1.278	-0.672	-1.860	-1.860	-4.235	-2.216	0.386	3.784	5.280	5.286
GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN	-2.759	-2.759	-0.457	-0.264	-3.779	-5.971	1.394	1.010	3.909	1.394	3.574
GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_DN	-0.739	-0.919	0.442	-0.919	-5.123	-6.995	-0.739	1.394	1.010	4.263	4.268
GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP GSE22886_DAY0_VS_DAY1_MONOCYTE_IN_CULTURE_UP	-1.951	-2.732	-0.342	0.350	-2.316	-8.280	0.453	2.123	1.215	2.673	3.616
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN3_THYMOCYTE_UP	-1.129	-2.341	-0.739	-0.739	-3.779	-5.971	-0.264	1.194	4.263	2.934	3.574
GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_DN GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_DN	-0.919	-3.235	-1.129	-1.653	-1.373	-2.759	-0.586	0.442	0.442	5.818	8.549
GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_DN GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_DN	-1.974	-1.373	-0.457	-0.457	-2.759	-5.123	0.341	-1.129	2.358	5.818	4.637
GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_DN GSE24634_TEFF_VS_TCONV_DAY3_IN_CULTURE_DN	-2.316	-0.574	-2.316	-0.903	-2.316	-4.369	-0.447	1.871	0.707	4.310	6.306
GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP GSE24142_EARLY_THYMIC_PROGENITOR_VS_DN2_THYMOCYTE_UP	-0.919	-1.653	0.559	-1.129	-5.123	-5.123	-0.586	1.194	2.934	3.569	2.937
GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP GSE21360_PRIMARY_VS_QUATERNARY_MEMORY_CD8_TCELL_UP	-0.425	-2.495	-1.714	-0.425	-2.981	-3.547	-2.075	2.379	2.995	4.423	2.382
GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_UP GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_UP	-1.590	-1.078	0.736	0.597	-3.147	-8.196	-0.551	0.368	3.046	2.743	2.187
GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN GSE13485_CTRL_VS_DAY7_YF17D_VACCINE_PBMC_DN	-0.457	-1.129	-0.264	-0.457	-3.779	-6.995	-1.129	0.559	2.934	2.934	3.914
GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_DN GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_DN	-1.590	-1.590	-0.427	-0.873	-3.147	-5.017	0.278	0.278	2.455	4.044	5.177
GSE34205_RSV_VS_FLU_INF_INFANT_PBMC_DN GSE34205_RSV_VS_FLU_INF_INFANT_PBMC_DN	-4.946	-0.528	-0.528	0.623	-2.623	-3.622	-1.860	2.522	2.815	2.522	2.249
GSE11057_CD4_CENT_MEM_VS_PBMC_DN GSE11057_CD4_CENT_MEM_VS_PBMC_DN	-0.843	-1.860	0.386	-0.672	-1.548	-8.113	-0.309	0.293	2.522	3.784	2.819
GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_DN GSE40685_TREG_VS_FOXP3_KO_TREG_PRECURSOR_DN	-1.590	0.368	-1.316	-0.427	-3.147	-4.302	-1.590	0.736	3.046	1.927	5.581
GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP GSE34156_TLR1_TLR2_LIGAND_VS_NOD2_AND_TLR1_TLR2_LIGAND_24H_TREATED_MONOCYTE_UP	-1.044	-0.672	-1.278	-1.044	-3.089	-3.089	-1.548	0.766	1.740	5.280	4.890
GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN GSE13485_CTRL_VS_DAY3_YF17D_VACCINE_PBMC_DN	-2.759	-0.264	-0.586	-0.739	-1.974	-5.971	-0.457	0.693	2.638	3.909	2.642
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_1H_DN	-1.112	-1.951	0.263	-0.447	-1.632	-6.955	-0.342	0.859	1.636	2.673	3.958
GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_DN GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_DN	-1.112	-0.725	-0.574	-0.725	-1.951	-5.933	-0.903	0.707	2.673	4.681	2.393
GSE19198_1H_VS_24H_IL21_TREATED_TCELL_DN GSE19198_1H_VS_24H_IL21_TREATED_TCELL_DN	-2.341	0.693	-0.457	-1.373	-2.759	-5.123	-0.586	2.093	1.394	3.244	2.361
GSE30083_SP2_VS_SP4_THYMOCYTE_DN GSE30083_SP2_VS_SP4_THYMOCYTE_DN	-1.112	0.571	-0.903	-0.447	-5.088	-3.747	0.263	-0.574	2.390	4.310	2.393
GSE17301_CTRL_VS_48H_ACD3_ACD28_STIM_CD8_TCELL_DN GSE17301_CTRL_VS_48H_ACD3_ACD28_STIM_CD8_TCELL_DN	-2.341	-1.373	-0.586	-0.351	-1.373	-5.123	-0.739	3.244	3.909	1.010	2.096
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_UP GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_UP	-0.873	0.278	-1.316	-0.326	-3.147	-6.876	0.368	1.256	1.927	1.927	2.747
GSE21360_NAIVE_VS_PRIMARY_MEMORY_CD8_TCELL_DN GSE21360_NAIVE_VS_PRIMARY_MEMORY_CD8_TCELL_DN	-0.293	-3.222	-1.044	0.662	-3.222	-2.718	-1.571	2.115	3.666	1.386	2.118
GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_UP GSE13485_DAY1_VS_DAY7_YF17D_VACCINE_PBMC_UP	0.799	-1.593	-1.924	-2.306	1.585	5.133	-1.061	-0.851	-1.924	-0.851	4.352
GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_DN GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_DN	-0.317	-1.569	-1.569	-1.569	-2.241	-1.882	-1.569	0.910	1.956	4.090	4.460
GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_DN GSE4748_CYANOBACTERIUM_LPSLIKE_VS_LPS_AND_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_DN	-1.259	-2.597	-3.060	-1.528	-0.398	0.782	-0.517	-1.259	1.125	4.184	4.943
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN	-0.342	-1.112	-3.747	-2.732	3.284	0.707	-0.574	-1.354	-0.725	0.859	5.881
GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_6H_UP GSE36888_UNTREATED_VS_IL2_TREATED_TCELL_6H_UP	-0.317	-0.539	-0.539	-1.061	-2.650	-5.820	-0.539	0.377	2.489	3.405	2.782
GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP GSE18281_CORTICAL_THYMOCYTE_VS_WHOLE_CORTEX_THYMUS_UP	1.085	-1.882	-2.650	-1.882	1.278	3.084	0.285	-3.654	-0.858	0.377	4.095
GSE15767_MED_VS_SCS_MAC_LN_UP GSE15767_MED_VS_SCS_MAC_LN_UP	-1.373	-0.919	-0.351	-0.457	-3.779	-2.759	-1.653	1.394	2.358	3.909	2.361
GSE46242_CTRL_VS_EGR2_DELETED_ANERGIC_TH1_CD4_TCELL_UP GSE46242_CTRL_VS_EGR2_DELETED_ANERGIC_TH1_CD4_TCELL_UP	-0.799	-0.799	-1.792	0.813	-3.002	-4.840	1.821	3.242	0.531	-0.379	2.930
GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_UP GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_UP	-0.739	0.693	-1.373	-0.351	-3.779	-4.402	-1.129	2.934	2.638	0.843	2.096
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_DN GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_DN	-0.698	0.368	-0.551	0.278	-4.302	-5.017	-0.873	0.474	3.364	2.183	2.187
