GO	[-5.47 -0.66]	[-0.66 -0.35]	[-0.35 -0.18]	[-0.18 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.26]	[0.26 0.52]	[0.52 1.06]	[1.06 6.41]
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	0.278	-5.030	-2.271	-3.694	1.695	7.843	0.278	-1.318	-1.593	1.070	2.175
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	-0.572	-2.416	-1.684	-4.675	2.820	6.652	-1.133	-2.416	-0.915	1.079	3.112
NABA_ECM_GLYCOPROTEINS NABA_ECM_GLYCOPROTEINS	1.748	-1.280	-1.280	-2.630	-1.046	0.497	0.293	-5.797	-0.407	1.994	7.465
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	0.695	-1.275	-1.275	-3.766	-0.429	-0.429	-0.580	-3.065	0.695	2.112	7.631
KEGG_CELL_ADHESION_MOLECULES_CAMS KEGG_CELL_ADHESION_MOLECULES_CAMS	0.273	-0.625	-2.769	-3.444	-0.831	-0.460	-0.625	-0.625	1.071	3.561	4.370
KEGG_HEMATOPOIETIC_CELL_LINEAGE KEGG_HEMATOPOIETIC_CELL_LINEAGE	0.290	-0.981	-0.691	-3.529	-0.473	0.290	-1.364	-0.691	0.290	2.040	5.874
NABA_ECM_AFFILIATED NABA_ECM_AFFILIATED	1.039	-1.979	-1.625	-2.868	0.318	2.533	-0.662	-0.845	-0.845	1.462	3.152
PID_INTEGRIN1_PATHWAY PID_INTEGRIN1_PATHWAY	3.674	-0.566	-0.859	-1.855	-0.566	-0.859	-0.859	-1.271	-0.859	1.462	3.657
REACTOME_INTERLEUKIN_10_SIGNALING REACTOME_INTERLEUKIN_10_SIGNALING	0.226	-1.865	-1.865	-1.124	-0.676	-0.676	0.226	0.655	-0.392	1.739	4.546
REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES	1.006	-0.470	-0.287	-2.530	-0.470	0.316	-1.677	-1.677	-0.470	2.545	3.016
KEGG_TYPE_I_DIABETES_MELLITUS KEGG_TYPE_I_DIABETES_MELLITUS	-0.574	-0.574	-0.991	-1.699	0.784	-0.574	-1.699	-0.574	0.285	2.518	3.693
REACTOME_ECM_PROTEOGLYCANS REACTOME_ECM_PROTEOGLYCANS	1.391	-0.523	-0.775	-2.217	0.413	-0.523	-1.581	-0.775	-0.775	0.825	5.577
KEGG_ALLOGRAFT_REJECTION KEGG_ALLOGRAFT_REJECTION	-0.218	-0.796	-0.796	-1.450	0.403	-0.430	-1.450	-1.450	0.681	3.086	2.472
KEGG_ECM_RECEPTOR_INTERACTION KEGG_ECM_RECEPTOR_INTERACTION	1.406	0.301	-0.671	-1.336	-0.671	-0.958	-1.336	-0.958	-0.671	0.637	6.580
REACTOME_LAMININ_INTERACTIONS REACTOME_LAMININ_INTERACTIONS	1.303	-1.243	-0.320	-0.640	-0.640	-0.640	-1.243	-0.640	0.283	-0.320	6.113
