GO	[-5.46 -0.65]	[-0.65 -0.36]	[-0.36 -0.21]	[-0.21 -0.09]	[-0.09 0.00]	[0.00 0.01]	[0.01 0.13]	[0.13 0.29]	[0.29 0.54]	[0.54 1.06]	[1.06 6.41]
MORF_CDH4 MORF_CDH4	2.269	0.598	-1.190	-1.904	0.767	5.457	-1.514	-1.190	-4.497	1.415	-0.937
MORF_MAP2K7 MORF_MAP2K7	2.448	0.541	-1.556	-2.264	2.165	4.496	-3.207	-1.029	-2.264	1.207	-1.047
MORF_CTSB MORF_CTSB	2.567	-0.326	-1.371	-2.005	1.103	4.627	-2.005	-0.715	-1.371	0.756	-0.730
MORF_BCL2L11 MORF_BCL2L11	2.280	0.481	-1.371	0.371	0.278	5.024	-1.117	-2.844	-1.665	0.610	-0.917
MORF_IL4 MORF_IL4	3.275	0.417	-0.997	-1.800	1.173	3.275	-1.800	-1.800	-1.493	0.667	-0.506
MORF_WNT1 MORF_WNT1	2.126	-0.634	-1.543	-0.870	-0.311	5.630	-2.013	-1.543	-0.634	0.291	0.753
GNF2_HPN GNF2_HPN	2.683	-1.148	-1.148	-1.148	-0.362	3.039	-0.886	-2.313	-0.886	0.479	2.008
MORF_IL9 MORF_IL9	2.039	0.473	-1.178	-0.418	-1.178	3.681	-2.134	-2.134	-0.418	0.654	0.465
MODULE_248 MODULE_248	2.909	-1.348	-1.717	-1.348	0.716	0.292	-1.045	-1.717	0.409	1.625	1.342
MODULE_552 MODULE_552	2.403	3.188	0.304	-0.745	-0.298	-0.745	-0.745	-0.298	-0.745	-0.745	-0.300
MORF_TNFRSF6 MORF_TNFRSF6	2.350	0.346	-0.799	-0.621	0.459	3.319	-0.621	-2.313	-0.799	0.590	-1.283
MODULE_186 MODULE_186	4.567	-0.828	-0.828	-0.828	-0.351	0.567	-0.828	-0.351	0.256	0.567	-0.354
MODULE_274 MODULE_274	2.591	-0.911	-2.440	-0.427	-0.633	1.820	-0.277	-0.911	-0.911	0.327	1.467
MODULE_180 MODULE_180	2.341	-0.830	-0.830	-1.435	-0.613	-0.311	-1.847	-0.613	0.738	0.563	3.040
MODULE_222 MODULE_222	2.599	1.935	0.491	-0.911	-0.405	-0.405	-0.911	0.217	-0.911	-0.911	0.215
MODULE_133 MODULE_133	3.776	0.396	0.396	0.396	-0.223	-0.621	-0.621	-0.223	-0.621	-0.621	-0.625
