GO	[-4.87 -0.58]	[-0.58 -0.35]	[-0.35 -0.22]	[-0.22 -0.12]	[-0.12 -0.02]	[-0.02 0.00]	[0.00 0.08]	[0.08 0.20]	[0.20 0.39]	[0.39 0.84]	[0.84 5.41]
GNF2_HCK GNF2_HCK	-2.148	-2.867	-3.888	-1.185	-1.604	-3.888	-1.185	-0.420	1.118	6.997	11.889
GNF2_CASP1 GNF2_CASP1	-4.650	-3.557	-1.665	-1.665	-0.958	-3.557	-0.958	0.251	1.379	7.030	10.186
GNF2_TNFRSF1B GNF2_TNFRSF1B	-2.667	-1.793	-1.793	-1.793	-1.217	-2.667	-2.667	0.274	1.558	5.053	9.351
GNF2_CARD15 GNF2_CARD15	-1.370	-1.974	-1.370	-0.940	-0.940	-2.877	-1.974	-0.406	-0.252	3.997	12.697
GNF2_S100A4 GNF2_S100A4	-1.955	-1.196	-1.955	-1.196	-0.731	-1.955	-1.955	-0.242	2.079	2.579	7.313
GNF2_ITGB2 GNF2_ITGB2	-1.543	-2.374	-1.543	-1.543	-1.543	-2.374	-1.010	1.512	3.937	1.913	3.937
GNF2_MCL1 GNF2_MCL1	-2.374	-2.374	-1.543	-1.543	-0.235	-2.374	-0.647	0.848	0.379	5.855	3.937
CAR_HPX CAR_HPX	0.667	-2.120	-1.044	-1.495	-1.495	5.981	0.463	-1.495	-2.120	-1.044	5.981
GNF2_HPX GNF2_HPX	2.332	-1.895	-1.180	-1.895	-2.365	4.231	-0.375	-2.932	-0.912	0.340	5.612
GNF2_HPN GNF2_HPN	3.460	-1.867	-1.158	-1.867	-2.899	4.735	-0.256	-2.334	-0.893	0.351	3.076
GNF2_LCAT GNF2_LCAT	2.451	-1.601	-1.244	-1.601	-2.569	3.592	-0.264	-3.228	-0.527	0.473	4.016
GNF2_CD1D GNF2_CD1D	-0.652	-1.094	-1.094	-0.652	-0.652	-1.830	-1.830	-0.373	-0.373	3.411	7.847
GNF2_PECAM1 GNF2_PECAM1	-1.508	-1.508	-1.508	-0.981	-0.624	-2.332	-0.981	0.397	1.197	2.425	6.704
GNF2_EGFR GNF2_EGFR	0.247	-0.703	-1.329	-0.703	-1.329	7.599	0.247	-1.329	-0.703	-1.329	2.187
GNF2_CD33 GNF2_CD33	-0.840	-1.333	-0.840	-0.840	-0.301	-2.122	-1.333	-0.514	-0.301	3.925	6.677
GNF2_FGR GNF2_FGR	-1.329	-0.703	-0.703	-1.329	-1.329	-1.329	-1.329	0.247	2.786	1.653	4.165
CAR_IGFBP1 CAR_IGFBP1	0.848	-2.374	-1.010	-1.543	-0.647	5.855	-0.400	-1.010	-1.010	-0.647	3.372
GNF2_PTPRC GNF2_PTPRC	-1.937	-2.835	-1.937	0.372	-0.391	-1.937	-0.391	1.742	1.742	1.068	2.571
GNF2_TNFSF10 GNF2_TNFSF10	-0.321	-1.246	-1.246	-0.641	-1.246	-1.246	-0.641	-0.321	0.282	3.705	4.465
GNF2_GSTM1 GNF2_GSTM1	2.408	-1.224	-0.916	-1.609	-1.609	2.059	-0.672	-2.697	-0.481	0.936	3.606
GNF2_SERPINI2 GNF2_SERPINI2	0.426	-0.996	-0.996	-0.996	-0.463	4.673	0.426	-0.996	-0.996	-0.996	2.366
GNF2_CD14 GNF2_CD14	-0.766	-0.766	-0.766	0.215	-0.408	-1.412	-1.412	-0.766	-0.408	2.585	6.263
GNF2_SPINK1 GNF2_SPINK1	0.685	-1.079	-1.079	-1.079	-0.241	4.313	0.371	-1.079	-1.079	-1.079	2.156
GNF2_CCNA1 GNF2_CCNA1	0.821	-1.901	-1.308	-1.901	-0.889	3.112	1.103	-0.889	-0.889	-0.588	3.624
GNF2_CDKN1C GNF2_CDKN1C	1.034	-1.121	-1.121	-0.551	-1.121	4.148	0.346	-1.121	-0.551	-1.121	2.060
GNF2_FOS GNF2_FOS	-0.994	-0.994	-0.994	-0.994	0.285	-1.704	-0.994	-0.318	0.502	3.728	3.728
GNF2_SERPINB5 GNF2_SERPINB5	0.608	-1.162	-0.581	-0.581	-1.162	3.993	-1.162	-1.162	-0.581	0.324	2.576
GNF2_TST GNF2_TST	2.275	-1.106	-0.815	-1.473	-1.936	1.612	-0.588	-1.936	-0.280	0.632	3.470
GNF2_DNM1 GNF2_DNM1	1.161	-1.070	-1.070	-2.157	-0.735	2.222	0.288	-1.070	-0.735	-0.490	4.676
GNF2_CDH3 GNF2_CDH3	0.645	-1.121	-0.551	-1.121	-1.121	3.384	-0.551	-1.121	-0.551	0.346	2.687
