GO	[-5.47 -0.69]	[-0.69 -0.36]	[-0.36 -0.19]	[-0.19 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.11]	[0.11 0.28]	[0.28 0.55]	[0.55 1.06]	[1.06 7.81]
GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN	2.064	13.338	5.354	1.174	-5.159	-8.364	0.547	-1.998	-0.934	-3.810	-6.004
GSE21063_WT_VS_NFATC1_KO_8H_ANTI_IGM_STIM_BCELL_UP GSE21063_WT_VS_NFATC1_KO_8H_ANTI_IGM_STIM_BCELL_UP	2.153	13.043	2.708	1.440	-3.177	-6.916	-1.095	-1.928	-1.335	-1.611	-1.926
GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_DN GSE16450_IMMATURE_VS_MATURE_NEURON_CELL_LINE_DN	2.971	12.364	4.681	-0.447	-1.354	-2.316	-1.951	-0.903	-1.632	-3.747	-3.744
GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP GSE32986_UNSTIM_VS_GMCSF_AND_CURDLAN_LOWDOSE_STIM_DC_UP	2.093	8.057	1.844	3.244	-3.779	-6.995	-0.264	-0.586	-2.341	-0.919	-3.775
GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_VA24NEG_NKTCELL_UP GSE28726_NAIVE_CD4_TCELL_VS_NAIVE_VA24NEG_NKTCELL_UP	2.604	9.988	1.174	0.432	-2.366	-6.008	-0.934	0.547	-1.146	-0.934	-2.783
GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN GSE13485_DAY3_VS_DAY21_YF17D_VACCINE_PBMC_DN	2.196	-0.584	-4.004	-5.521	1.460	9.475	-0.742	-0.929	-1.702	0.351	0.263
GSE6674_CPG_VS_PL2_3_STIM_BCELL_DN GSE6674_CPG_VS_PL2_3_STIM_BCELL_DN	2.422	2.422	2.708	1.662	-0.712	-6.916	0.463	-0.437	-0.562	-1.928	-3.713
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY7_DN GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY7_DN	2.934	0.341	-2.341	0.843	-1.373	-6.995	-0.351	-1.129	-0.264	4.263	0.845
GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_UP GSE2770_UNTREATED_VS_IL12_TREATED_ACT_CD4_TCELL_6H_UP	9.194	-0.562	-0.712	1.440	-2.705	-2.291	-0.712	0.721	-0.334	0.584	-2.702
GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_UP	2.196	-0.343	-0.584	-1.702	0.262	7.003	-0.929	-4.004	-2.437	-0.343	1.252
GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_DN GSE13485_DAY7_VS_DAY21_YF17D_VACCINE_PBMC_DN	2.475	-0.929	-1.149	-2.888	2.196	3.747	-0.452	-1.702	-2.437	-0.343	0.881
GSE21379_TFH_VS_NON_TFH_CD4_TCELL_DN GSE21379_TFH_VS_NON_TFH_CD4_TCELL_DN	2.673	-0.342	-2.732	-1.951	-1.112	0.707	-1.632	-1.354	-0.574	3.284	2.975
GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP GSE10325_LUPUS_BCELL_VS_LUPUS_MYELOID_UP	2.556	3.488	1.766	0.301	-0.828	-4.202	-0.828	0.396	-0.301	-0.828	-2.594
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP	2.461	-1.249	-0.633	-2.228	3.757	1.026	-0.633	-3.162	-1.529	1.026	0.553
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP	3.324	-0.888	-1.928	-2.705	0.271	1.047	-1.335	-1.928	0.271	1.047	3.012
GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP GSE22886_NAIVE_BCELL_VS_MONOCYTE_UP	3.828	1.766	1.125	-3.591	0.782	-2.191	-1.528	-1.528	-0.301	-0.301	0.509
GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP GSE9960_HEALTHY_VS_GRAM_NEG_AND_POS_SEPSIS_PBMC_UP	2.650	-0.851	-1.593	-2.306	1.157	0.969	-0.851	-3.253	-0.524	0.969	2.362
GSE22886_NEUTROPHIL_VS_MONOCYTE_UP GSE22886_NEUTROPHIL_VS_MONOCYTE_UP	2.489	-0.417	-0.858	-3.118	0.377	2.214	-0.539	-3.118	-0.685	0.377	2.217
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN	2.934	-0.351	-1.974	-2.341	0.559	2.093	-0.919	-1.974	-0.919	0.341	2.361
GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP	4.809	-2.069	-0.945	-2.069	0.568	-0.596	-0.462	-0.462	-1.167	1.437	1.439
GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_DN GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_DN	2.179	-1.853	-1.853	-1.009	1.434	4.121	-0.373	-0.633	-1.009	-1.009	0.553
GSE38697_LIGHT_ZONE_VS_DARK_ZONE_BCELL_DN GSE38697_LIGHT_ZONE_VS_DARK_ZONE_BCELL_DN	3.211	-0.448	-0.610	-2.733	-0.610	2.169	-1.063	-1.739	-0.610	0.695	1.328
GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP GSE29618_PRE_VS_DAY7_POST_LAIV_FLU_VACCINE_PDC_UP	4.137	-0.672	-1.548	-1.278	0.927	1.300	-1.548	-1.044	-1.044	-0.408	1.742
GSE41176_WT_VS_TAK1_KO_UNSTIM_BCELL_DN GSE41176_WT_VS_TAK1_KO_UNSTIM_BCELL_DN	3.284	-2.316	0.453	-0.725	0.350	2.123	-1.354	-1.951	0.263	-0.903	1.217
GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_MEMORY_CD8_TCELL_UP GSE16522_ANTI_CD3CD28_STIM_VS_UNSTIM_MEMORY_CD8_TCELL_UP	2.153	0.359	1.047	3.654	-1.335	-2.291	-0.562	-0.437	-1.335	0.271	-0.886
GSE6259_DEC205_POS_DC_VS_CD8_TCELL_DN GSE6259_DEC205_POS_DC_VS_CD8_TCELL_DN	2.200	-0.458	-0.607	-2.397	-1.275	-2.397	-0.607	0.791	0.791	1.650	1.181
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_6H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_6H_DN	2.673	-1.354	-0.725	-2.732	-0.447	0.571	-0.725	-0.903	-0.342	0.859	2.975
GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_DN GSE41867_DAY6_VS_DAY15_LCMV_CLONE13_EFFECTOR_CD8_TCELL_DN	2.544	0.277	-2.384	-2.831	0.607	0.480	0.480	-0.560	-1.658	1.293	0.916
GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN	4.681	0.453	-1.354	-0.903	-0.342	0.571	-1.112	-1.112	-0.725	-0.903	2.126
GSE25123_CTRL_VS_IL4_STIM_PPARG_KO_MACROPHAGE_UP GSE25123_CTRL_VS_IL4_STIM_PPARG_KO_MACROPHAGE_UP	3.284	2.390	-0.574	-0.447	-1.354	-2.316	-1.112	-0.574	1.215	-0.447	0.264
GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_DN GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_DN	3.569	-1.129	-2.341	-0.351	0.843	-0.586	-0.739	-0.586	-1.129	0.442	2.361
GSE21927_SPLEEN_VS_C26GM_TUMOR_MONOCYTE_BALBC_UP GSE21927_SPLEEN_VS_C26GM_TUMOR_MONOCYTE_BALBC_UP	2.958	-0.524	-0.401	-0.851	-0.851	1.362	-1.924	-0.851	-1.593	0.514	2.362
GSE19825_NAIVE_VS_IL2RAHIGH_DAY3_EFF_CD8_TCELL_UP GSE19825_NAIVE_VS_IL2RAHIGH_DAY3_EFF_CD8_TCELL_UP	2.638	-1.373	-0.739	-1.373	-0.351	0.843	-0.919	-0.264	-2.341	1.844	1.397
GSE29615_CTRL_VS_DAY7_LAIV_FLU_VACCINE_PBMC_UP GSE29615_CTRL_VS_DAY7_LAIV_FLU_VACCINE_PBMC_UP	2.851	-2.597	-0.828	-2.597	0.507	0.636	0.636	-0.517	0.301	-0.517	1.538
GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_TREATED_DN GSE21670_STAT3_KO_VS_WT_CD4_TCELL_TGFB_TREATED_DN	4.731	1.662	-1.095	-0.888	0.359	-1.095	-0.437	-0.888	-1.335	0.271	0.464
GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_DN GSE29614_CTRL_VS_DAY3_TIV_FLU_VACCINE_PBMC_DN	2.053	-0.687	-0.866	-1.327	-0.309	2.325	-1.948	-0.309	-1.078	-0.309	2.056
GSE12484_HEALTHY_VS_PERIDONTITIS_NEUTROPHILS_UP GSE12484_HEALTHY_VS_PERIDONTITIS_NEUTROPHILS_UP	3.146	-0.977	-2.455	-0.977	0.892	1.847	-0.418	-0.977	-0.566	0.301	0.416
GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_UP GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_UP	2.971	-0.903	-0.447	-0.574	-1.112	0.350	0.263	-1.112	-1.632	0.350	3.288
GSE2706_R848_VS_LPS_8H_STIM_DC_UP GSE2706_R848_VS_LPS_8H_STIM_DC_UP	2.958	0.514	-0.673	-1.061	-0.401	0.514	-1.061	0.799	-3.253	-0.401	1.364
GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP GSE21379_WT_VS_SAP_KO_TFH_CD4_TCELL_UP	3.244	-0.919	-1.129	-0.739	-0.351	-1.373	-1.653	0.693	-0.457	1.611	1.196
GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_UP GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_UP	2.153	-0.562	-1.611	-1.928	-0.888	0.463	-1.611	0.271	0.584	1.235	1.902
GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_UP GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TREG_UP	2.202	-1.164	-1.507	-0.885	1.329	1.887	-0.482	-0.661	-1.507	-0.343	0.872
GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_DN GSE13306_RA_VS_UNTREATED_MEM_CD4_TCELL_DN	3.569	-1.653	-0.586	0.559	-1.373	-1.974	-0.457	0.693	0.559	1.010	-0.350
GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_IL4_UP GSE32423_MEMORY_VS_NAIVE_CD8_TCELL_IL7_IL4_UP	2.153	-1.611	-1.095	-1.928	0.584	-1.335	-0.437	0.271	0.463	1.899	1.049
GSE10325_MYELOID_VS_LUPUS_MYELOID_UP GSE10325_MYELOID_VS_LUPUS_MYELOID_UP	2.815	-0.843	-1.278	-1.044	0.623	-0.408	1.300	-1.278	-1.548	0.623	1.107
GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_DN GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_DN	2.195	-1.645	-1.081	-0.860	0.836	-1.081	-0.293	1.668	-1.341	0.413	1.017
GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_UP GSE29618_PRE_VS_DAY7_FLU_VACCINE_PDC_UP	2.673	-0.342	-0.725	-1.632	0.453	1.029	-1.112	-1.354	-1.112	0.859	1.217
