GO	[-5.47 -0.71]	[-0.71 -0.36]	[-0.36 -0.19]	[-0.19 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.28]	[0.28 0.55]	[0.55 1.06]	[1.06 7.81]
VERHAAK_AML_WITH_NPM1_MUTATED_UP VERHAAK_AML_WITH_NPM1_MUTATED_UP	-0.327	-0.898	-2.831	-0.432	-2.831	-1.997	-2.831	-0.714	-0.432	6.673	11.329
KONDO_PROSTATE_CANCER_WITH_H3K27ME3 KONDO_PROSTATE_CANCER_WITH_H3K27ME3	0.635	-0.659	-3.061	-3.592	2.555	8.991	-0.659	-2.597	-1.028	-1.528	2.291
HUANG_GATA2_TARGETS_UP HUANG_GATA2_TARGETS_UP	-3.426	-0.743	-0.310	-1.214	-2.821	-5.066	0.399	1.484	2.621	2.307	3.324
XIE_ST_HSC_S1PR3_OE_UP XIE_ST_HSC_S1PR3_OE_UP	-0.335	-1.386	-3.971	-0.914	-1.132	-0.572	-3.376	0.593	0.896	4.912	5.342
MIKKELSEN_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3 MIKKELSEN_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3	1.379	-3.653	-1.209	-2.962	1.144	3.240	-0.940	-1.209	-1.209	1.144	2.550
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	0.870	-1.164	-0.885	-2.445	-2.445	0.515	-0.483	-0.483	-0.885	0.870	8.865
RICKMAN_HEAD_AND_NECK_CANCER_E RICKMAN_HEAD_AND_NECK_CANCER_E	0.576	-0.505	-1.933	-1.933	0.404	6.884	-0.731	-1.933	-1.420	-0.338	2.324
MIKKELSEN_IPS_LCP_WITH_H3K4ME3 MIKKELSEN_IPS_LCP_WITH_H3K4ME3	0.646	-0.545	-2.468	-4.964	0.292	0.392	-1.382	-0.545	0.801	1.612	4.897
CERVERA_SDHB_TARGETS_1_UP CERVERA_SDHB_TARGETS_1_UP	1.850	-0.354	-3.122	-0.496	-1.957	-0.677	-1.957	-0.496	0.254	1.850	4.982
STEARMAN_TUMOR_FIELD_EFFECT_UP STEARMAN_TUMOR_FIELD_EFFECT_UP	-1.533	-0.860	-0.860	-0.860	-0.250	-0.860	-0.860	-0.250	0.614	0.359	8.318
ROSS_AML_WITH_PML_RARA_FUSION ROSS_AML_WITH_PML_RARA_FUSION	0.339	-0.614	-1.253	-0.266	-2.400	-3.360	0.339	0.937	2.635	-0.266	2.240
KUNINGER_IGF1_VS_PDGFB_TARGETS_UP KUNINGER_IGF1_VS_PDGFB_TARGETS_UP	1.856	-2.400	-0.614	-2.400	1.516	-0.412	-0.888	-1.253	0.701	0.339	2.647
ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE	0.906	-0.329	-0.810	-1.211	-0.527	-0.810	-1.211	-0.329	-1.783	3.302	3.315
BEIER_GLIOMA_STEM_CELL_DN BEIER_GLIOMA_STEM_CELL_DN	0.604	-1.271	-0.860	0.405	-2.737	-1.855	-0.359	1.132	0.250	1.132	2.684
BORCZUK_MALIGNANT_MESOTHELIOMA_DN BORCZUK_MALIGNANT_MESOTHELIOMA_DN	0.432	-1.514	-0.438	-1.979	-0.438	0.593	-2.568	-0.301	0.783	1.002	3.743
HOWLIN_PUBERTAL_MAMMARY_GLAND HOWLIN_PUBERTAL_MAMMARY_GLAND	-0.885	-0.586	-1.302	-1.302	1.416	-0.374	0.388	-1.891	-0.374	2.609	2.183
GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_DN GAUSSMANN_MLL_AF4_FUSION_TARGETS_A_DN	-0.313	0.793	-0.918	-1.680	-1.252	0.594	-0.313	-0.918	-0.918	1.024	4.421
MEBARKI_HCC_PROGENITOR_WNT_DN MEBARKI_HCC_PROGENITOR_WNT_DN	-0.268	-0.268	-0.589	-0.833	-0.404	1.138	-2.807	-1.151	0.336	0.672	3.741
HARRIS_BRAIN_CANCER_PROGENITORS HARRIS_BRAIN_CANCER_PROGENITORS	0.453	-0.354	-0.624	-0.624	1.040	0.453	-1.782	-1.057	-0.354	-0.624	4.135
CERIBELLI_GENES_INACTIVE_AND_BOUND_BY_NFY CERIBELLI_GENES_INACTIVE_AND_BOUND_BY_NFY	-0.958	-0.300	-1.658	-0.549	-0.958	1.594	-0.300	-0.300	-0.300	0.527	3.191
BOYLAN_MULTIPLE_MYELOMA_PCA3_DN BOYLAN_MULTIPLE_MYELOMA_PCA3_DN	-0.406	-0.935	-0.406	-0.252	-0.935	-1.963	-0.406	-0.252	-0.252	2.939	2.495
KINNEY_DNMT1_METHYLATION_TARGETS KINNEY_DNMT1_METHYLATION_TARGETS	0.476	-0.538	-0.538	-0.538	0.476	0.967	-0.538	-0.176	-0.538	-0.538	2.375
