GO	[-8.26 -0.78]	[-0.78 -0.39]	[-0.39 -0.20]	[-0.20 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.13]	[0.13 0.32]	[0.32 0.62]	[0.62 1.15]	[1.15 7.81]
FAN_EMBRYONIC_CTX_MICROGLIA_1 FAN_EMBRYONIC_CTX_MICROGLIA_1	-1.297	16.034	8.516	2.468	-4.304	-6.444	0.259	-1.986	-1.986	-2.946	-6.440
BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS	-6.760	-0.829	0.782	5.340	-0.517	-8.075	10.587	2.854	-0.829	-4.913	-1.835
DESCARTES_FETAL_ADRENAL_MYELOID_CELLS DESCARTES_FETAL_ADRENAL_MYELOID_CELLS	-0.806	-3.743	-2.229	-4.421	-0.806	-4.421	-1.529	0.326	1.221	4.504	16.304
DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS	0.755	0.260	-1.877	-3.937	4.863	9.750	-1.877	-1.877	-3.937	-0.463	0.356
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	-3.327	-2.228	-2.228	-0.391	-0.697	-3.327	0.433	4.648	3.833	0.725	1.329
DESCARTES_FETAL_KIDNEY_STROMAL_CELLS DESCARTES_FETAL_KIDNEY_STROMAL_CELLS	1.174	-2.145	-1.093	-1.384	1.658	3.992	-3.226	-3.941	-0.851	1.658	1.934
DESCARTES_FETAL_ADRENAL_CHROMAFFIN_CELLS DESCARTES_FETAL_ADRENAL_CHROMAFFIN_CELLS	1.767	-0.582	-1.787	-2.913	2.078	6.442	-1.055	-2.913	-1.787	-0.291	0.777
DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS	1.227	0.660	-1.909	-2.852	2.273	6.682	-2.341	-2.341	-0.975	-0.580	0.515
DESCARTES_FETAL_PANCREAS_ACINAR_CELLS DESCARTES_FETAL_PANCREAS_ACINAR_CELLS	0.576	-0.505	-2.621	-1.933	1.944	6.279	-1.029	-0.730	-2.621	-0.730	1.607
DESCARTES_FETAL_PANCREAS_DUCTAL_CELLS DESCARTES_FETAL_PANCREAS_DUCTAL_CELLS	0.769	0.595	-3.263	-2.605	-0.400	4.250	-1.635	-2.072	-0.983	0.968	3.422
DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES	1.427	-0.668	-3.448	-2.671	3.548	2.741	-1.214	-1.214	-1.214	0.393	1.166
DESCARTES_FETAL_CEREBRUM_INHIBITORY_NEURONS DESCARTES_FETAL_CEREBRUM_INHIBITORY_NEURONS	0.597	-1.948	-0.729	-0.729	3.690	3.104	0.370	-1.948	-1.948	-0.431	-0.241
DESCARTES_MAIN_FETAL_INTESTINAL_EPITHELIAL_CELLS DESCARTES_MAIN_FETAL_INTESTINAL_EPITHELIAL_CELLS	1.232	0.376	-2.696	-1.999	0.737	4.435	-2.696	-0.538	-0.771	-0.538	1.531
DESCARTES_FETAL_CEREBRUM_SKOR2_NPSR1_POSITIVE_CELLS DESCARTES_FETAL_CEREBRUM_SKOR2_NPSR1_POSITIVE_CELLS	0.246	-1.077	-0.771	-2.696	0.737	7.943	-0.771	-1.477	-0.771	0.539	0.540
DESCARTES_FETAL_ADRENAL_VASCULAR_ENDOTHELIAL_CELLS DESCARTES_FETAL_ADRENAL_VASCULAR_ENDOTHELIAL_CELLS	2.881	-0.539	-0.940	-2.396	1.380	0.320	-1.926	-1.535	-1.535	0.746	3.630
