	[-0.86 -0.67]	[-0.67 -0.35]	[-0.35 -0.17]	[-0.17 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.25]	[0.25 0.51]	[0.51 1.03]	[1.03 1.22]
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	2.522	-0.285	-1.976	-2.386	-1.6230000000000002	2.833	-1.063	-4.853	-0.845	1.237	5.053
GOBP_POSITIVE_REGULATION_OF_CELL_JUNCTION_ASSEMBLY	2.206	-2.2640000000000002	-2.2640000000000002	-0.94	0.41200000000000003	-0.677	0.7709999999999999	-1.709	0.7709999999999999	-1.2770000000000001	5.3629999999999995
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	2.332	-1.901	-1.556	-2.7739999999999996	-0.7979999999999999	-0.475	-0.261	-0.621	1.535	-0.35600000000000004	4.81
GOBP_DNA_REPLICATION_DEPENDENT_NUCLEOSOME_ORGANIZATION	4.14	4.14	0.247	-0.7020000000000001	-0.7020000000000001	-0.7020000000000001	-0.363	-0.7020000000000001	-1.3259999999999998	-0.7020000000000001	-1.325
GOMF_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	3.0469999999999997	-1.3159999999999998	-1.3159999999999998	-1.591	0.474	-1.078	0.597	-0.42700000000000005	-2.678	1.464	2.748
GOMF_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	6.73	-1.0859999999999999	-1.6840000000000002	-1.0859999999999999	-0.664	-0.37799999999999995	-0.37799999999999995	-1.0859999999999999	0.5710000000000001	0.723	0.44
GOBP_L_SERINE_METABOLIC_PROCESS	5.787999999999999	0.16699999999999998	-0.49700000000000005	-0.49700000000000005	-0.49700000000000005	-0.49700000000000005	0.16699999999999998	0.524	-0.49700000000000005	-0.49700000000000005	-0.49700000000000005
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_STRESS	3.8139999999999996	-0.204	0.426	-0.462	-0.9940000000000001	-0.204	-0.9940000000000001	0.426	0.426	-0.462	-0.9940000000000001
HP_BRUXISM	4.059	-0.745	-0.298	0.304	-0.745	-0.745	-0.745	0.304	0.304	-0.298	0.304
GOMF_CYTOKINE_RECEPTOR_ACTIVITY	-0.324	-2.2640000000000002	-0.677	-4.026	-1.709	-0.324	-0.47600000000000003	-0.324	0.998	5.906000000000001	2.208
GOMF_CARGO_RECEPTOR_ACTIVITY	-0.327	-0.753	-0.327	-0.753	-3.111	-0.327	-1.091	0.276	0.429	0.429	6.962999999999999
GOBP_COLLAGEN_CATABOLIC_PROCESS	-1.9480000000000002	-0.7290000000000001	-1.1909999999999998	-1.1909999999999998	-0.7290000000000001	1.225	-0.431	-0.431	-0.242	3.1039999999999996	2.5639999999999996
GOBP_MICROTUBULE_BUNDLE_FORMATION	1.594	0.629	-0.28	0.32299999999999995	-3.258	-0.28	-1.46	-1.097	0.462	-0.28	2.248
