GO	[-22.08 -0.53]	[-0.53 -0.23]	[-0.23 -0.12]	[-0.12 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.06]	[0.06 0.17]	[0.17 0.37]	[0.37 0.77]	[0.77 7.99]
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	-5.183	0.266	12.760	15.441	-1.590	-6.401	0.367	-0.459	-2.397	-3.527	-5.166
SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM	-4.522	0.530	6.992	9.630	0.675	-5.456	0.840	-0.301	-2.144	-3.765	-4.506
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17 YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_17	-6.322	-0.674	3.975	5.973	-0.402	-6.322	2.083	1.825	0.514	-2.307	-4.507
EPPERT_PROGENITOR EPPERT_PROGENITOR	-1.231	1.880	10.114	3.192	-0.553	-5.734	0.426	-1.559	-2.425	-0.959	-2.414
RAMALHO_STEMNESS_UP RAMALHO_STEMNESS_UP	-4.236	0.926	3.121	6.544	0.622	-8.114	0.386	0.622	-0.528	-0.844	-3.075
WELCSH_BRCA1_TARGETS_DN WELCSH_BRCA1_TARGETS_DN	-1.632	3.418	4.210	6.505	-0.784	-4.677	-0.442	0.283	-1.016	-2.034	-4.661
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	-2.862	-0.935	-1.363	-0.626	0.539	-2.862	5.701	9.199	-0.406	-1.963	-1.956
KONDO_PROSTATE_CANCER_WITH_H3K27ME3 KONDO_PROSTATE_CANCER_WITH_H3K27ME3	0.944	-1.528	-1.837	-3.592	6.607	7.523	-3.061	-2.597	-1.260	-0.517	1.134
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13 YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_13	-3.677	-2.178	1.065	3.848	-0.976	-5.149	5.002	1.718	1.264	-0.608	-3.661
WANG_CLIM2_TARGETS_DN WANG_CLIM2_TARGETS_DN	-3.223	-1.044	0.662	3.664	0.309	-7.570	-0.293	4.783	2.114	-1.901	-1.036
ELVIDGE_HYPOXIA_DN ELVIDGE_HYPOXIA_DN	-1.452	0.903	4.643	3.449	-0.392	-6.151	0.319	0.568	0.725	-3.326	-2.716
NOUZOVA_TRETINOIN_AND_H4_ACETYLATION NOUZOVA_TRETINOIN_AND_H4_ACETYLATION	-2.395	1.144	0.745	5.815	-0.539	-5.692	-0.283	1.379	1.379	-1.535	-3.640
HAHTOLA_MYCOSIS_FUNGOIDES_CD4_DN HAHTOLA_MYCOSIS_FUNGOIDES_CD4_DN	-2.878	1.510	3.207	4.048	-0.567	-4.775	0.610	1.246	-1.034	-1.034	-3.664
SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP SMIRNOV_CIRCULATING_ENDOTHELIOCYTES_IN_CANCER_UP	-0.531	-0.531	-0.293	-2.117	-2.117	-5.417	-2.570	1.996	0.858	4.376	4.004
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	-1.973	0.767	2.577	3.198	-0.422	-6.401	0.767	2.291	-0.318	-0.882	-4.577
HUANG_GATA2_TARGETS_UP HUANG_GATA2_TARGETS_UP	-2.312	-0.743	-2.821	0.675	-3.426	-3.426	0.526	1.484	3.306	5.331	-0.307
HOLLERN_SQUAMOUS_BREAST_TUMOR HOLLERN_SQUAMOUS_BREAST_TUMOR	0.301	-1.669	-1.362	-1.100	0.818	11.469	-2.026	-2.026	-1.669	0.818	0.826
UDAYAKUMAR_MED1_TARGETS_UP UDAYAKUMAR_MED1_TARGETS_UP	-1.188	1.406	5.887	4.080	-1.511	-4.483	0.451	-0.384	-0.921	-1.188	-1.889
MIKKELSEN_IPS_WITH_HCP_H3K27ME3 MIKKELSEN_IPS_WITH_HCP_H3K27ME3	1.945	-0.569	-1.434	-2.466	8.916	0.476	-1.074	-2.466	-1.888	-0.569	1.088
XIE_ST_HSC_S1PR3_OE_UP XIE_ST_HSC_S1PR3_OE_UP	0.736	-0.728	-2.860	-1.386	-1.681	-0.572	-2.411	-0.728	2.226	1.714	6.638
MORI_EMU_MYC_LYMPHOMA_BY_ONSET_TIME_UP MORI_EMU_MYC_LYMPHOMA_BY_ONSET_TIME_UP	-2.132	1.644	2.642	1.951	-0.508	-4.609	0.367	1.644	-0.508	-0.703	-2.729
DAZARD_RESPONSE_TO_UV_SCC_DN DAZARD_RESPONSE_TO_UV_SCC_DN	-3.676	0.452	2.116	2.116	-1.358	-4.775	0.610	2.456	-0.281	-0.567	-0.562
YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_10 YAO_TEMPORAL_RESPONSE_TO_PROGESTERONE_CLUSTER_10	-1.999	-1.393	1.636	4.412	0.519	-1.999	2.872	-0.961	0.342	-1.999	-1.387
MIKKELSEN_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3 MIKKELSEN_ES_ICP_WITH_H3K4ME3_AND_H3K27ME3	2.214	-1.926	-1.535	-1.926	1.635	0.933	-2.962	-1.535	-0.539	0.438	4.905
IVANOVA_HEMATOPOIESIS_INTERMEDIATE_PROGENITOR IVANOVA_HEMATOPOIESIS_INTERMEDIATE_PROGENITOR	-2.864	0.477	0.801	3.783	0.627	-5.567	0.801	0.998	0.477	-0.885	-1.836
AFFAR_YY1_TARGETS_UP AFFAR_YY1_TARGETS_UP	0.583	-2.291	-1.612	-0.562	1.660	-1.095	-3.177	-0.562	-0.712	4.729	3.342
KARLSSON_TGFB1_TARGETS_DN KARLSSON_TGFB1_TARGETS_DN	-0.408	-0.408	-0.528	0.766	-1.860	-8.114	0.496	2.813	1.738	0.622	0.297
