GO	[-6.20 -0.46]	[-0.46 -0.20]	[-0.20 -0.11]	[-0.11 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.05]	[0.05 0.15]	[0.15 0.33]	[0.33 0.73]	[0.73 6.53]
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	-0.796	-3.373	-3.373	-3.373	0.714	35.278	-0.595	-2.161	-2.161	-1.346	-0.441
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	-1.424	-2.946	-2.946	-2.946	-1.424	23.027	6.790	-2.946	-2.036	-0.986	-2.044
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	-3.414	0.723	7.046	8.503	-0.742	-7.837	2.487	1.254	-1.408	-6.534	-7.865
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	-3.904	-2.165	-3.904	-1.202	0.313	-3.904	3.161	17.267	3.161	-3.904	-2.896
REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	-4.751	4.422	4.033	10.856	-1.558	-5.703	0.346	-0.355	-0.621	-2.308	-6.980
REACTOME_ANTIMICROBIAL_PEPTIDES REACTOME_ANTIMICROBIAL_PEPTIDES	-0.918	-2.232	-2.959	-2.959	1.027	20.505	-0.918	-2.232	-2.232	0.290	0.788
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	1.262	-2.271	-3.155	-5.030	7.843	4.811	-4.313	-2.684	-1.318	0.896	2.175
WP_ALZHEIMERS_DISEASE WP_ALZHEIMERS_DISEASE	-1.834	-1.174	-0.712	-0.712	-4.092	19.994	1.085	-0.541	0.710	-1.834	-2.274
REACTOME_SEPARATION_OF_SISTER_CHROMATIDS REACTOME_SEPARATION_OF_SISTER_CHROMATIDS	-2.522	1.002	8.277	3.299	0.680	-5.647	2.113	-1.469	-0.370	-2.981	-5.671
NABA_ECM_GLYCOPROTEINS NABA_ECM_GLYCOPROTEINS	1.994	-0.844	-3.097	-2.630	2.256	0.387	-5.797	-2.630	-0.672	2.830	5.689
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	-2.640	0.311	-0.566	1.979	-0.291	-5.281	2.634	5.110	0.948	-1.300	-5.300
WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE	-0.809	-0.809	-0.809	0.783	-2.073	14.036	-0.492	-1.293	-0.492	-2.073	-0.288
REACTOME_PROTEIN_LOCALIZATION REACTOME_PROTEIN_LOCALIZATION	-2.691	0.790	4.186	2.155	-0.581	-6.830	1.167	1.167	-0.327	-0.752	-2.707
KEGG_LYSOSOME KEGG_LYSOSOME	-1.509	-1.165	-1.165	-1.930	-0.661	-5.031	0.516	2.210	2.913	5.053	-0.347
KEGG_CELL_ADHESION_MOLECULES_CAMS KEGG_CELL_ADHESION_MOLECULES_CAMS	1.558	-2.220	-1.084	-2.220	-1.084	0.863	-3.444	-0.831	1.071	1.071	5.762
REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS REACTOME_CLASS_B_2_SECRETIN_FAMILY_RECEPTORS	1.083	-0.875	-2.165	-1.622	5.634	-0.623	-2.884	-2.165	0.457	0.633	2.338
REACTOME_MUSCLE_CONTRACTION REACTOME_MUSCLE_CONTRACTION	2.830	-0.407	-1.280	-3.097	0.387	-0.844	-3.097	-1.280	0.293	1.748	4.882
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	-1.252	-0.461	1.906	3.044	0.427	-3.987	0.427	2.637	-0.461	-1.681	-2.243
WP_EGFEGFR_SIGNALING_PATHWAY WP_EGFEGFR_SIGNALING_PATHWAY	-0.430	-0.430	2.801	3.854	0.506	-6.788	-0.737	0.385	0.284	-0.737	-0.950
REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	-0.354	3.493	0.453	2.901	-1.057	-1.782	-1.057	0.716	0.254	-1.782	-1.788
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	-0.364	3.520	0.911	0.638	-1.466	-2.281	-0.364	2.019	-0.364	-0.949	-2.289
WP_THE_EFFECT_OF_PROGERIN_ON_THE_INVOLVED_GENES_IN_HUTCHINSONGILFORD_PROGERIA_SYNDROME WP_THE_EFFECT_OF_PROGERIN_ON_THE_INVOLVED_GENES_IN_HUTCHINSONGILFORD_PROGERIA_SYNDROME	-0.893	-0.500	1.280	4.061	-0.893	-1.575	1.723	0.584	-0.893	-1.575	-0.897
REACTOME_TRNA_AMINOACYLATION REACTOME_TRNA_AMINOACYLATION	-0.599	0.750	4.948	1.085	-0.336	-1.741	0.269	0.269	-0.599	-1.741	-1.747
REACTOME_MTOR_SIGNALLING REACTOME_MTOR_SIGNALLING	-0.318	-0.318	1.537	-1.699	-0.574	-1.699	0.502	2.000	2.518	-0.991	-1.705
REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS REACTOME_CLASS_C_3_METABOTROPIC_GLUTAMATE_PHEROMONE_RECEPTORS	5.535	-0.893	-0.893	-1.575	0.339	1.723	-0.500	-1.575	-0.266	-0.500	-0.268
