GO	[-22.08 -0.59]	[-0.59 -0.22]	[-0.22 -0.09]	[-0.09 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.02]	[0.02 0.14]	[0.14 0.36]	[0.36 0.77]	[0.77 7.99]
TMTCGCGANR_UNKNOWN TMTCGCGANR_UNKNOWN	-3.930	0.355	2.987	4.847	-4.699	-6.894	-2.274	11.444	1.117	-2.741	-2.267
SGCGSSAAA_E2F1DP2_01 SGCGSSAAA_E2F1DP2_01	-2.355	1.721	6.413	7.867	-4.033	-7.019	-3.382	1.480	1.054	-4.033	-1.592
ZBED4_TARGET_GENES ZBED4_TARGET_GENES	-2.382	1.693	1.235	1.949	-4.846	-7.060	-3.414	8.300	2.224	-0.844	-1.314
ZBTB5_TARGET_GENES ZBTB5_TARGET_GENES	-2.277	1.608	0.986	4.386	-7.561	-5.290	-1.898	3.657	1.608	0.986	-3.209
SETBP1_TARGET_GENES SETBP1_TARGET_GENES	-1.635	1.114	4.238	3.874	-6.393	-5.402	-1.969	5.417	0.620	-1.635	-1.628
MIR548AV_3P MIR548AV_3P	-2.575	2.562	2.272	5.047	-1.781	-7.352	-6.077	2.272	0.590	-0.595	-0.591
CREB3L2_TARGET_GENES CREB3L2_TARGET_GENES	-0.812	1.325	5.828	2.838	-4.247	-5.395	-4.247	2.491	0.880	-1.062	-2.180
MIR302D_5P MIR302D_5P	-0.711	2.417	1.437	3.644	-2.288	-8.228	-4.329	3.988	1.437	-1.094	-1.918
MIR7161_5P MIR7161_5P	-1.203	1.387	5.083	5.488	-2.115	-7.936	-1.767	0.828	1.387	-2.115	-2.107
MIR371A_5P MIR371A_5P	-1.191	2.869	1.744	2.869	-4.309	-7.352	-3.639	4.259	0.353	-1.464	0.466
GCGNNANTTCC_UNKNOWN GCGNNANTTCC_UNKNOWN	-3.224	1.469	4.301	3.076	-4.055	-5.187	-2.041	2.365	1.744	-1.253	-1.603
MCM3_TARGET_GENES MCM3_TARGET_GENES	-4.693	0.720	4.093	0.720	-4.693	-4.693	-1.148	3.072	4.848	-0.583	-1.143
SREBP1_01 SREBP1_01	-2.977	0.382	0.956	6.539	-1.401	-5.959	-1.712	6.539	0.631	-0.717	-2.484
MIR16_1_3P MIR16_1_3P	-0.755	1.035	3.693	3.356	-1.166	-7.852	-6.550	2.160	0.567	-0.352	-0.940
GTGACTT_MIR224 GTGACTT_MIR224	-0.838	1.110	0.739	3.748	-1.066	-6.519	-5.294	5.835	0.451	-0.268	-2.029
MIR4753_5P MIR4753_5P	-0.479	1.688	4.540	3.444	-1.827	-6.156	-5.179	2.491	0.335	-1.506	-1.223
GGAANCGGAANY_UNKNOWN GGAANCGGAANY_UNKNOWN	-3.482	-0.345	1.678	6.401	-2.703	-4.563	-1.236	2.687	1.135	0.380	-2.697
MIR552_5P MIR552_5P	-0.352	1.901	3.033	6.026	-0.755	-7.852	-3.432	0.706	0.342	-1.166	-2.058
MIR1276 MIR1276	-0.775	0.721	3.151	7.685	-0.468	-7.394	-3.672	0.344	0.451	-1.485	-0.604
MIR4768_3P MIR4768_3P	0.386	2.808	3.437	1.103	-1.547	-5.775	-4.229	4.491	-0.309	-1.043	-2.611
MIR222_5P MIR222_5P	-1.993	0.751	5.360	1.291	-1.993	-6.432	-3.340	2.538	1.291	0.606	-1.650
MYBL1_TARGET_GENES MYBL1_TARGET_GENES	-3.172	1.437	2.417	3.315	-4.329	-4.329	-3.172	3.001	0.875	0.583	-0.883
ZNF547_TARGET_GENES ZNF547_TARGET_GENES	-1.541	1.225	4.004	1.455	-4.189	-6.311	-2.338	0.827	3.254	-0.319	-0.754
MIR150_5P MIR150_5P	-1.098	0.994	1.404	2.444	-1.098	-5.881	-4.136	6.214	0.522	0.301	-2.429
MIR522_3P MIR522_3P	-0.490	0.690	2.456	3.070	-5.216	-6.195	-3.737	1.909	1.431	0.326	-0.487
MIR10394_5P MIR10394_5P	-0.991	0.335	3.794	2.792	-0.620	-7.436	-4.379	2.491	1.241	-0.790	-0.986
HOXC13_TARGET_GENES HOXC13_TARGET_GENES	-1.870	1.386	2.627	4.235	-3.825	-4.938	-1.870	0.716	2.281	-1.119	-0.843
E2F_Q2 E2F_Q2	-1.008	0.551	3.070	1.661	-1.008	-7.477	-2.658	1.219	4.111	-0.277	-2.650
MIR600 MIR600	-1.014	0.676	3.047	3.799	0.852	-5.853	-4.672	0.391	1.779	-2.032	-1.289
MIR6881_3P MIR6881_3P	-1.025	1.635	3.358	-0.501	-0.820	-7.519	-4.448	3.358	1.635	-0.501	-0.379
GTF3A_TARGET_GENES GTF3A_TARGET_GENES	-1.143	-2.252	-2.252	-2.252	10.253	2.044	2.044	-1.143	-1.143	-0.797	-0.538
GCACCTT_MIR18A_MIR18B GCACCTT_MIR18A_MIR18B	0.913	2.627	1.386	2.281	-3.825	-4.938	-3.014	1.386	1.386	-1.456	-1.864
TAXCREB_01 TAXCREB_01	-0.429	-1.606	2.742	2.411	-0.767	-5.811	-4.633	2.101	1.812	-1.273	0.696
MIR520F_5P MIR520F_5P	-1.903	-0.427	4.769	2.450	-1.077	-6.867	-3.143	2.736	0.473	-0.427	0.370
MIR302F MIR302F	-0.620	0.828	4.692	1.845	0.677	-7.936	-2.970	1.845	-0.370	-1.465	-0.972
