GO	[-4.20 -0.45]	[-0.45 -0.21]	[-0.21 -0.12]	[-0.12 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.17]	[0.17 0.35]	[0.35 0.70]	[0.70 4.85]
MODULE_113 MODULE_113	2.910	0.301	-1.516	-3.341	-0.437	3.751	-4.410	-2.574	-0.437	0.786	2.145
GNF2_HPX GNF2_HPX	2.639	-0.904	-1.169	-1.877	-0.512	3.759	-3.593	-1.169	-1.169	0.341	4.132
MODULE_122 MODULE_122	3.076	-0.595	-1.636	-2.523	-1.017	1.280	-3.103	-1.636	-0.441	1.794	4.205
MORF_FLT1 MORF_FLT1	4.730	-1.639	-1.279	-2.077	-0.399	4.730	-1.639	-0.744	-1.639	0.972	0.438
MORF_MAP2K7 MORF_MAP2K7	2.165	-0.648	-0.648	-1.273	0.837	5.729	-3.792	-1.885	-1.885	1.013	0.410
MORF_BCL2L11 MORF_BCL2L11	2.567	-0.326	-1.117	-0.900	-0.326	4.245	-3.957	-2.396	-1.371	1.521	0.902
GNF2_HPN GNF2_HPN	2.347	-0.886	-1.148	-1.466	-0.362	3.039	-3.557	-0.886	-1.148	0.352	3.775
MODULE_234 MODULE_234	2.083	0.259	-1.432	-2.240	-0.348	3.064	-1.432	-1.432	0.259	-1.432	2.533
GNF2_LCAT GNF2_LCAT	2.426	-0.523	-0.945	-1.587	-0.523	2.779	-3.201	-0.945	-1.587	0.630	3.120
MORF_LCAT MORF_LCAT	3.087	0.492	-1.442	0.646	-0.351	3.869	-1.442	-2.839	-0.868	-1.442	0.482
MORF_WNT1 MORF_WNT1	3.689	0.420	-0.870	-1.168	-0.634	3.689	-0.870	-2.608	-1.168	-0.634	0.967
MORF_MAP3K14 MORF_MAP3K14	2.971	0.272	-1.904	-0.332	0.389	4.666	-0.867	-1.904	-1.485	-1.144	0.522
MODULE_329 MODULE_329	2.278	-0.513	-1.328	-2.115	-0.837	4.529	-1.328	-0.837	0.302	0.499	0.298
MORF_TNFRSF6 MORF_TNFRSF6	2.350	0.346	-0.621	-1.264	0.590	2.979	-2.785	-1.908	-1.561	1.546	-0.267
GNF2_CYP2B6 GNF2_CYP2B6	2.418	0.334	-2.032	-0.782	-1.260	0.547	-2.032	-0.782	-0.471	1.140	2.400
GNF2_GSTM1 GNF2_GSTM1	2.043	-0.668	-0.668	-1.215	-0.668	1.725	-2.677	-0.910	-0.910	0.393	3.974
MODULE_387 MODULE_387	2.418	-0.471	-1.260	-2.032	-0.782	4.112	-1.260	-0.782	0.334	0.334	0.330
MODULE_259 MODULE_259	2.649	-0.702	-0.702	-1.158	-0.702	-1.908	-0.411	-0.702	-0.411	3.805	0.913
MODULE_316 MODULE_316	2.020	-1.394	-0.961	-2.001	-1.394	2.435	-0.647	-0.961	-0.263	1.000	1.625
MODULE_85 MODULE_85	3.904	-0.513	-0.513	-1.328	-0.837	-1.328	-0.300	-1.328	-0.300	2.278	0.744
GNF2_TST GNF2_TST	2.257	-0.585	-1.098	-0.810	-0.585	1.316	-1.922	-0.810	-1.098	0.463	3.404
MODULE_199 MODULE_199	2.831	-1.006	-0.398	-1.537	-0.645	-1.537	-0.398	-0.645	-0.398	2.831	1.142
MODULE_180 MODULE_180	2.695	-1.847	-0.443	-2.990	-0.443	0.291	-0.443	-0.613	-0.311	2.011	1.153
MORF_STK17A MORF_STK17A	3.807	-1.366	-0.690	-0.879	-0.405	2.470	-1.366	-0.879	-0.405	0.403	0.394
MODULE_201 MODULE_201	2.347	-0.285	-1.294	-1.294	-0.492	2.857	-0.810	-1.294	0.318	-0.285	0.516
MORF_LTK MORF_LTK	2.168	-1.433	-1.135	-1.433	0.585	2.809	-0.887	-0.274	-0.515	0.746	-0.525
