GO	[-4.68 -0.36]	[-0.36 -0.19]	[-0.19 -0.12]	[-0.12 -0.06]	[-0.06 -0.01]	[-0.01 0.00]	[0.00 0.05]	[0.05 0.12]	[0.12 0.24]	[0.24 0.55]	[0.55 4.59]
MORF_NPM1 MORF_NPM1	-5.574	-1.806	-0.560	-0.422	1.454	-4.626	4.800	8.726	2.259	-1.466	-6.825
MORF_RFC4 MORF_RFC4	-1.229	3.382	3.020	4.164	0.854	-3.475	1.769	0.529	-6.353	-6.353	-4.215
GNF2_HPX GNF2_HPX	3.028	-1.180	-1.895	-4.496	-2.365	6.111	-1.504	-1.180	-2.365	0.615	6.111
MORF_IL4 MORF_IL4	3.005	-0.810	-1.824	-2.591	-4.213	9.507	-1.009	-2.182	-1.824	0.995	2.694
GCM_MYST2 GCM_MYST2	-1.361	1.456	6.024	3.549	-0.293	-4.966	-0.397	0.846	-0.682	-1.361	-5.937
MORF_PRKAR1A MORF_PRKAR1A	-2.610	-0.825	-0.628	0.370	1.481	-6.012	3.784	3.393	1.746	-0.825	-3.201
GNF2_RBBP6 GNF2_RBBP6	-2.961	1.604	4.956	1.268	1.604	-1.432	-1.432	0.500	-0.439	-2.961	-2.961
GNF2_HCK GNF2_HCK	-1.185	-2.867	-1.185	-0.860	-1.185	-1.185	-2.148	-0.609	2.426	5.804	4.709
MORF_WNT1 MORF_WNT1	4.187	-0.638	-1.554	-2.627	-2.627	5.701	-1.176	-1.176	-0.875	-0.312	2.143
GNF2_DNM1 GNF2_DNM1	0.883	-0.314	-1.527	-1.070	-3.087	3.598	-2.157	-1.527	-1.527	1.478	4.676
GNF2_MLF1 GNF2_MLF1	-0.339	-1.036	-1.036	-0.507	-1.948	9.023	-1.430	-1.036	-1.036	0.405	2.340
GNF2_MYL3 GNF2_MYL3	0.837	-0.342	-0.672	-1.287	-1.287	2.893	-1.287	-1.287	-1.287	-0.342	5.109
GNF2_KISS1 GNF2_KISS1	0.334	-0.271	-1.264	-2.039	-2.039	6.985	0.334	-1.264	-0.271	-0.271	0.817
GNF2_STAT6 GNF2_STAT6	-2.342	-2.342	0.540	-0.244	-0.384	-2.342	0.540	1.968	4.247	0.540	-1.206
GNF2_TTN GNF2_TTN	2.804	-0.521	-0.521	-1.079	-1.079	3.524	-1.079	-1.079	-1.079	-0.241	1.091
MORF_REV3L MORF_REV3L	-0.435	1.804	0.542	1.420	-0.694	-2.458	0.542	-2.458	1.420	0.542	-2.458
GNF2_CDH3 GNF2_CDH3	0.346	-1.121	-0.551	-1.121	-1.121	2.060	0.346	-1.121	-1.121	0.645	3.384
GCM_DLG1 GCM_DLG1	1.287	-0.847	-1.206	-1.686	2.360	-3.298	0.751	0.540	0.751	1.001	-1.206
GNF2_SPRR1B GNF2_SPRR1B	0.426	-0.996	-0.463	-0.996	-0.463	6.568	-0.204	-0.996	-0.996	0.426	-0.204
GCM_PTPRU GCM_PTPRU	-0.365	-0.365	-1.473	-0.365	-0.953	2.999	-0.602	-0.602	-1.473	1.611	1.611
GNF2_CD7 GNF2_CD7	2.234	0.339	-0.266	-1.579	-1.579	-0.266	0.339	-1.579	-0.266	0.584	1.283
GNF2_MMP1 GNF2_MMP1	2.187	-0.703	-1.329	-1.329	-0.703	1.188	-0.703	-0.363	-0.363	1.188	0.795
GNF2_SPINK1 GNF2_SPINK1	1.091	-0.521	-1.079	-0.521	-0.521	3.524	0.685	-1.079	-0.521	-0.521	0.371
MORF_LMO1 MORF_LMO1	2.712	-0.868	-0.536	-1.368	-1.368	1.021	-0.536	-0.316	0.722	-0.868	1.372
