GO	[-5.24 -0.47]	[-0.47 -0.21]	[-0.21 -0.10]	[-0.10 -0.02]	[-0.02 0.00]	[0.00 0.00]	[0.00 0.05]	[0.05 0.15]	[0.15 0.33]	[0.33 0.71]	[0.71 7.70]
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	8.060	-0.797	-1.260	-2.304	0.909	-1.260	-1.901	-2.304	0.458	-0.260	2.622
GOBP_CILIUM_MOVEMENT GOBP_CILIUM_MOVEMENT	3.762	0.586	-2.038	-1.338	-2.038	-0.649	0.741	-2.483	0.338	-0.493	4.129
GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE	3.703	-0.990	-0.574	-1.699	3.703	1.130	-0.990	-0.990	-0.990	-0.318	-0.994
GOBP_REGULATION_OF_BLOOD_PRESSURE GOBP_REGULATION_OF_BLOOD_PRESSURE	2.247	-0.775	-3.678	-0.607	0.723	0.344	-1.211	-2.177	-0.262	0.452	4.590
GOBP_ACTION_POTENTIAL GOBP_ACTION_POTENTIAL	2.295	-0.265	-0.265	-2.335	-2.896	-0.373	-1.486	-0.686	0.612	0.465	4.127
GOBP_RESPONSE_TO_BMP GOBP_RESPONSE_TO_BMP	2.675	-0.607	-3.291	-2.277	-0.463	0.603	-0.782	-0.782	0.355	3.339	0.749
GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	2.810	0.353	-1.558	-1.558	-1.208	-0.693	1.274	-2.508	0.645	-0.254	2.114
GOBP_AXONEME_ASSEMBLY GOBP_AXONEME_ASSEMBLY	5.292	-0.471	-1.486	-1.038	-1.486	-1.038	0.463	-0.709	-0.301	0.301	1.857
GOBP_SENSORY_PERCEPTION_OF_TASTE GOBP_SENSORY_PERCEPTION_OF_TASTE	3.385	-0.786	-1.181	-1.747	2.881	0.459	-0.507	-1.747	-0.507	0.288	0.286
GOBP_CARDIAC_CONDUCTION GOBP_CARDIAC_CONDUCTION	3.785	0.422	-0.292	-1.832	-1.474	-0.292	-0.921	-2.256	1.083	0.422	1.075
