GO	[-22.08 -0.48]	[-0.48 -0.21]	[-0.21 -0.10]	[-0.10 -0.02]	[-0.02 0.00]	[0.00 0.00]	[0.00 0.04]	[0.04 0.15]	[0.15 0.33]	[0.33 0.73]	[0.73 24.45]
GOBP_COMPLEMENT_ACTIVATION GOBP_COMPLEMENT_ACTIVATION	-1.975	-4.074	-7.070	-5.811	0.318	6.374	25.234	-3.419	-2.385	-0.509	0.419
GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED	-0.770	-3.693	-0.770	-1.998	-2.695	23.127	4.962	-2.695	-1.998	-1.476	-1.483
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	-2.760	2.939	10.091	7.599	-0.918	-6.998	-0.264	-0.585	-2.342	-1.653	-5.144
GOBP_TELOMERE_ORGANIZATION GOBP_TELOMERE_ORGANIZATION	-4.246	1.562	8.980	8.980	-3.012	-6.008	-0.436	0.770	-0.731	-2.101	-4.262
GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	-2.602	-2.009	-3.371	-0.868	-0.633	-3.371	5.083	10.448	4.119	-1.166	-4.453
GOBP_TRNA_METABOLIC_PROCESS GOBP_TRNA_METABOLIC_PROCESS	-1.507	6.239	3.810	2.803	-1.830	-7.447	-1.230	1.946	1.047	-3.710	-6.184
GOBP_CORNIFICATION GOBP_CORNIFICATION	-0.380	-2.194	-3.599	-2.808	2.552	18.755	-1.309	-0.991	-1.309	-0.991	-0.264
GOBP_SPINDLE_ORGANIZATION GOBP_SPINDLE_ORGANIZATION	-2.718	0.309	9.461	2.691	-0.512	-6.284	-0.391	0.989	-0.293	-1.043	-2.731
GOBP_CELLULAR_RESPIRATION GOBP_CELLULAR_RESPIRATION	-3.376	0.361	-0.441	1.487	-0.913	-5.485	2.513	5.328	2.232	-1.131	-3.391
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	10.809	-1.555	-1.901	-2.304	0.739	-1.260	-2.774	-1.901	0.458	0.739	2.038
GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS GOBP_ANAPHASE_PROMOTING_COMPLEX_DEPENDENT_CATABOLIC_PROCESS	-1.803	-0.442	1.441	4.933	-0.289	-3.443	3.404	-0.289	0.314	-2.473	-3.452
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	-1.034	-1.317	-2.061	-3.832	7.473	3.759	-1.656	-1.317	-0.453	0.510	1.241
GOBP_TRANSLATIONAL_TERMINATION GOBP_TRANSLATIONAL_TERMINATION	-1.119	0.612	2.563	4.734	-0.424	-4.359	0.312	1.561	-0.829	-1.486	-3.306
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	0.480	-1.366	-3.939	0.753	3.845	-1.366	-3.345	-1.658	0.480	2.848	1.733
GOBP_REGULATION_OF_CHROMATIN_ORGANIZATION GOBP_REGULATION_OF_CHROMATIN_ORGANIZATION	-4.595	-0.700	2.026	3.540	-1.346	-2.359	0.380	2.886	1.318	-0.882	-1.647
GOBP_REGULATION_OF_MACROAUTOPHAGY GOBP_REGULATION_OF_MACROAUTOPHAGY	-0.677	0.558	0.429	1.069	-0.872	-6.611	-0.517	2.631	3.302	-0.388	-2.101
GOBP_NCRNA_TRANSCRIPTION GOBP_NCRNA_TRANSCRIPTION	-1.567	0.742	2.075	1.754	-2.039	-3.409	0.953	2.422	0.742	-1.567	-2.646
GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	-0.770	-1.077	0.540	0.376	-1.077	-3.693	-2.695	-0.537	1.858	1.530	4.422
GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT GOBP_CYTOSKELETON_DEPENDENT_INTRACELLULAR_TRANSPORT	0.317	0.532	1.824	2.630	-2.544	-5.672	-0.494	2.076	0.416	0.317	-2.154
GOBP_AMINOGLYCAN_METABOLIC_PROCESS GOBP_AMINOGLYCAN_METABOLIC_PROCESS	1.670	-1.341	-1.341	-0.860	0.310	-4.108	-2.413	0.310	1.925	3.824	1.009
GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	-2.636	0.579	0.433	0.751	0.579	-5.275	-0.566	4.635	0.311	0.311	-0.766
GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY	1.527	-1.978	-0.617	-2.568	5.160	1.003	-1.513	-1.978	0.301	-0.301	0.779
GOBP_CILIUM_MOVEMENT GOBP_CILIUM_MOVEMENT	4.148	0.741	-2.483	-0.649	-0.493	-1.066	-1.659	-0.838	-0.838	-0.367	4.949
GOBP_MATURATION_OF_5_8S_RRNA GOBP_MATURATION_OF_5_8S_RRNA	-0.430	1.934	5.221	1.031	-0.430	-1.450	-0.430	-0.796	-0.796	-1.450	-1.454
GOBP_DETECTION_OF_ABIOTIC_STIMULUS GOBP_DETECTION_OF_ABIOTIC_STIMULUS	4.405	0.470	-1.383	-2.144	3.231	-3.226	-0.258	-0.651	-0.360	-0.360	-0.261
GOBP_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY GOBP_SEROTONIN_RECEPTOR_SIGNALING_PATHWAY	0.320	-0.524	-0.283	-1.616	1.227	5.374	-0.925	-0.925	-0.925	-1.616	0.855
GOBP_RESPONSE_TO_ORGANOPHOSPHORUS GOBP_RESPONSE_TO_ORGANOPHOSPHORUS	-0.311	0.714	-0.311	-0.595	0.549	-5.359	-0.595	-1.042	1.618	-0.311	2.878
GOBP_BLASTOCYST_DEVELOPMENT GOBP_BLASTOCYST_DEVELOPMENT	-1.562	-0.588	0.673	2.849	-0.404	-3.817	-0.832	1.734	0.488	0.890	-0.837
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS	-0.830	1.300	2.134	0.678	-0.460	-5.442	-1.083	0.678	0.678	0.384	-0.630
GOBP_VASCULAR_TRANSPORT GOBP_VASCULAR_TRANSPORT	2.266	2.266	-0.521	-0.350	0.257	-3.651	-1.053	0.390	0.390	-1.965	0.755
GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY GOBP_SPLICEOSOMAL_SNRNP_ASSEMBLY	-0.285	0.522	0.522	4.629	-2.072	-2.072	0.782	-0.285	-0.809	-0.285	-0.813
GOBP_CELLULAR_DEFENSE_RESPONSE GOBP_CELLULAR_DEFENSE_RESPONSE	0.456	-2.197	-0.892	-1.396	0.692	-0.556	-0.892	0.456	-0.892	3.138	2.133
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS	0.265	0.599	1.726	0.599	-0.523	-3.152	-0.340	-2.216	-0.340	-0.523	2.494
GOBP_CELLULAR_GLUCURONIDATION GOBP_CELLULAR_GLUCURONIDATION	1.522	-0.828	-0.828	-0.351	-0.828	0.566	3.673	-0.828	-0.351	-0.828	0.255
GOBP_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION GOBP_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	-0.500	0.339	0.339	0.898	-0.892	-1.574	0.584	4.057	-0.266	-1.574	-0.895
GOBP_VIRAL_TRANSLATION GOBP_VIRAL_TRANSLATION	-0.662	-0.662	1.292	1.292	-0.662	-0.662	1.940	0.762	-0.662	-0.662	-0.664
GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	-0.786	-0.315	-0.315	0.459	0.676	-1.747	-2.612	0.288	0.288	0.288	3.911
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRIAL_MEMBRANE	-0.892	-0.332	2.141	0.981	-0.556	-2.197	0.272	0.981	0.272	0.692	-2.202
GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION GOBP_NEGATIVE_REGULATION_OF_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION	-0.745	3.184	-0.298	-0.298	-0.745	-0.745	-0.298	1.129	1.129	-0.745	-0.747
GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE GOBP_NATURAL_KILLER_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	-0.671	-1.284	-1.284	0.264	1.242	0.836	1.242	-0.671	-1.284	1.242	0.263
GOBP_DE_NOVO_PROTEIN_FOLDING GOBP_DE_NOVO_PROTEIN_FOLDING	-1.823	0.240	0.685	-0.373	-0.650	-1.823	1.371	1.371	0.685	-1.090	0.681
GOBP_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS GOBP_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS	0.820	0.528	-0.957	-0.957	1.177	-0.957	-0.549	-0.549	-0.957	-0.549	3.807
GOBP_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT GOBP_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_PROTON_TRANSPORT	-0.911	0.217	-0.406	0.491	0.217	-0.911	0.874	3.340	0.217	-0.911	-0.913
GOBP_VOCALIZATION_BEHAVIOR GOBP_VOCALIZATION_BEHAVIOR	1.522	0.256	-0.828	-0.351	0.566	-0.351	-0.828	-0.828	-0.351	-0.828	2.862
GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS GOBP_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS	-0.256	1.567	1.181	-0.256	-1.225	-0.256	-0.256	2.003	-1.225	-0.451	-1.994
GOBP_SENSORY_PERCEPTION_OF_BITTER_TASTE GOBP_SENSORY_PERCEPTION_OF_BITTER_TASTE	2.601	-0.957	-0.549	-0.957	1.595	0.528	0.302	-1.657	0.528	-0.549	-0.551
GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY	0.784	-1.143	-0.848	0.594	-0.617	-1.978	-0.848	-0.617	0.784	3.302	0.779
