GO	[-5.24 -0.47]	[-0.47 -0.22]	[-0.22 -0.11]	[-0.11 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.06]	[0.06 0.17]	[0.17 0.35]	[0.35 0.73]	[0.73 7.70]
GOCC_BLOOD_MICROPARTICLE GOCC_BLOOD_MICROPARTICLE	-0.502	-1.759	-2.175	-3.264	0.946	9.949	-0.667	-1.408	-0.502	-0.370	2.190
GOCC_TERTIARY_GRANULE GOCC_TERTIARY_GRANULE	-2.200	-1.470	-2.200	-0.941	-0.569	-2.200	-1.470	0.807	2.186	4.635	4.228
GOCC_ANCHORED_COMPONENT_OF_MEMBRANE GOCC_ANCHORED_COMPONENT_OF_MEMBRANE	0.548	-1.626	-1.979	-2.390	0.424	5.493	-1.626	-1.323	-0.510	1.240	2.525
GOCC_SPECIFIC_GRANULE GOCC_SPECIFIC_GRANULE	-1.383	-1.710	-0.518	-1.383	-1.710	-3.075	0.319	1.282	1.513	4.052	2.322
GOCC_EXCITATORY_SYNAPSE GOCC_EXCITATORY_SYNAPSE	2.644	-0.702	-1.907	-1.158	0.625	2.137	-0.702	-0.702	-0.702	-1.907	2.135
GOCC_MHC_PROTEIN_COMPLEX GOCC_MHC_PROTEIN_COMPLEX	-0.953	-0.953	-0.434	-0.953	-0.953	-0.953	-0.953	0.200	1.836	2.474	2.472
GOCC_SPECIFIC_GRANULE_LUMEN GOCC_SPECIFIC_GRANULE_LUMEN	-0.489	-0.762	-0.301	-1.152	-2.572	-1.152	0.301	-0.489	0.702	3.468	2.476
GOCC_MOTILE_CILIUM GOCC_MOTILE_CILIUM	3.502	-2.603	-1.841	-0.517	-0.660	0.947	-0.517	-0.829	0.396	-0.517	2.857
GOCC_9PLUS2_MOTILE_CILIUM GOCC_9PLUS2_MOTILE_CILIUM	3.060	-2.986	-0.829	-0.443	0.291	1.166	-0.613	-1.434	-0.443	-0.613	2.680
GOCC_TERTIARY_GRANULE_MEMBRANE GOCC_TERTIARY_GRANULE_MEMBRANE	-1.456	-1.012	-1.456	-0.454	-0.454	-1.456	-0.689	1.551	0.937	1.915	2.311
GOCC_I_BAND GOCC_I_BAND	3.026	0.628	-1.147	-0.671	-2.309	0.351	-1.147	-1.464	0.478	0.351	2.334
GOCC_MHC_CLASS_II_PROTEIN_COMPLEX GOCC_MHC_CLASS_II_PROTEIN_COMPLEX	-0.580	-0.580	-0.580	-0.580	-0.580	-0.580	-0.580	0.434	0.434	0.892	4.008
GOCC_FICOLIN_1_RICH_GRANULE_MEMBRANE GOCC_FICOLIN_1_RICH_GRANULE_MEMBRANE	-0.452	-1.093	-1.093	-0.452	0.756	-1.642	-1.642	0.520	0.756	0.756	3.632
GOCC_ENDOCYTIC_VESICLE_MEMBRANE GOCC_ENDOCYTIC_VESICLE_MEMBRANE	-0.543	-1.426	-0.907	-0.907	-0.543	-2.147	-0.543	1.460	1.971	0.842	2.554
GOCC_LAMELLIPODIUM_MEMBRANE GOCC_LAMELLIPODIUM_MEMBRANE	0.491	0.217	-0.911	-0.911	-0.911	-0.911	0.874	-0.911	0.217	0.874	2.594
GOCC_BASEMENT_MEMBRANE GOCC_BASEMENT_MEMBRANE	1.354	0.456	-2.884	-1.202	-0.624	0.456	-0.876	-0.290	-0.432	0.456	3.154
