GO	[-6.20 -0.49]	[-0.49 -0.21]	[-0.21 -0.11]	[-0.11 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.05]	[0.05 0.16]	[0.16 0.34]	[0.34 0.73]	[0.73 6.53]
GOMF_ODORANT_BINDING GOMF_ODORANT_BINDING	-0.291	-1.383	-4.819	-3.716	-2.914	35.728	5.409	-4.819	-2.914	-3.716	-1.793
GOMF_ANTIGEN_BINDING GOMF_ANTIGEN_BINDING	-2.014	-4.343	-5.266	-2.979	-3.598	7.396	26.137	-0.823	-2.456	-0.635	-0.360
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME	-4.710	-0.992	-0.992	1.333	0.469	-5.658	2.678	12.125	1.333	-2.747	-3.948
GOMF_HELICASE_ACTIVITY GOMF_HELICASE_ACTIVITY	-1.339	8.363	4.152	3.766	-0.649	-6.532	-0.267	-0.367	-3.632	-2.040	-3.017
GOMF_HORMONE_ACTIVITY GOMF_HORMONE_ACTIVITY	0.850	-1.533	-5.070	-3.124	7.585	4.509	-1.187	-3.124	-0.905	-0.905	2.160
GOMF_MRNA_3_UTR_BINDING GOMF_MRNA_3_UTR_BINDING	-0.957	-0.581	0.375	-0.441	-1.202	9.395	6.799	-1.202	-2.688	-1.490	-3.879
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_TRNA	-0.924	7.493	2.458	0.829	-1.559	-5.111	-0.509	2.127	-0.693	-1.559	-3.991
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	2.233	-0.385	-3.423	-4.858	0.692	1.957	-4.077	-1.977	-0.845	1.699	5.472
GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY GOMF_NEUROTRANSMITTER_RECEPTOR_ACTIVITY	0.883	-0.950	-0.702	-2.133	-0.507	8.683	-1.649	-2.133	-0.950	-1.261	3.856
GOMF_MODIFICATION_DEPENDENT_PROTEIN_BINDING GOMF_MODIFICATION_DEPENDENT_PROTEIN_BINDING	-2.040	0.917	4.152	6.819	-1.661	-2.485	-1.339	-0.494	0.586	-0.649	-2.046
GOMF_NUCLEAR_RECEPTOR_COACTIVATOR_ACTIVITY GOMF_NUCLEAR_RECEPTOR_COACTIVATOR_ACTIVITY	-2.239	0.665	0.665	0.665	-0.578	-2.239	-0.578	5.488	1.276	-1.431	-2.242
GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY GOMF_ENDOPEPTIDASE_REGULATOR_ACTIVITY	0.693	-2.949	-2.493	-2.493	2.704	4.390	-1.448	-0.962	0.556	0.556	0.843
GOMF_EXONUCLEASE_ACTIVITY GOMF_EXONUCLEASE_ACTIVITY	0.326	1.479	1.479	3.013	-0.427	-3.403	-0.911	0.679	0.485	-3.403	-1.775
GOMF_PEPTIDE_RECEPTOR_ACTIVITY GOMF_PEPTIDE_RECEPTOR_ACTIVITY	1.460	-1.910	-1.910	-1.544	4.426	1.712	-1.910	-2.342	0.388	-0.319	1.455
