GO	[-6.20 -0.52]	[-0.52 -0.23]	[-0.23 -0.12]	[-0.12 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.21]	[0.21 0.41]	[0.41 0.83]	[0.83 6.53]
JAK2_DN.V1_UP JAK2_DN.V1_UP	1.184	-1.047	-3.237	-1.578	0.528	11.796	-2.729	-2.729	0.309	1.621	-0.844
HOXA9_DN.V1_UP HOXA9_DN.V1_UP	-2.151	-0.801	-0.635	-0.998	-2.555	-6.707	-0.801	2.358	2.949	4.696	2.076
CAMP_UP.V1_UP CAMP_UP.V1_UP	-5.148	-0.264	1.015	1.621	-0.587	-5.999	1.857	1.403	1.857	0.695	-2.784
CSR_LATE_UP.V1_UP CSR_LATE_UP.V1_UP	-3.304	-0.608	8.199	2.381	-1.244	-0.346	0.603	0.757	-2.755	-0.994	-1.251
KRAS.300_UP.V1_DN KRAS.300_UP.V1_DN	4.240	-0.595	-2.523	-1.299	-1.018	6.057	-2.040	-2.040	-1.018	0.524	1.271
PTEN_DN.V1_UP PTEN_DN.V1_UP	3.916	-0.702	-1.643	-2.368	-0.702	4.284	-1.980	-2.815	-0.885	0.770	2.584
GCNP_SHH_UP_LATE.V1_UP GCNP_SHH_UP_LATE.V1_UP	-3.237	0.664	4.827	3.020	1.866	-2.290	0.664	-0.661	-1.908	-2.290	-1.054
NOTCH_DN.V1_DN NOTCH_DN.V1_DN	2.980	-0.525	-2.316	-1.932	0.400	2.375	-3.267	-3.856	-0.301	1.595	2.363
HOXA9_DN.V1_DN HOXA9_DN.V1_DN	-3.452	1.234	2.180	3.064	-0.352	-6.587	1.041	-0.263	-0.263	-0.352	-1.179
KRAS.LUNG.BREAST_UP.V1_UP KRAS.LUNG.BREAST_UP.V1_UP	1.278	-0.442	-3.103	-2.523	0.855	4.667	-0.785	-2.523	-1.018	0.678	1.782
VEGF_A_UP.V1_DN VEGF_A_UP.V1_DN	-0.816	0.801	5.036	4.268	0.309	-2.582	-0.389	-0.293	-1.822	-1.513	-1.831
IL15_UP.V1_DN IL15_UP.V1_DN	1.417	-1.556	-1.273	-1.030	1.417	1.647	-4.473	-1.884	3.060	-0.382	1.004
RAPA_EARLY_UP.V1_UP RAPA_EARLY_UP.V1_UP	2.650	-1.264	-1.264	-0.475	-3.985	1.792	-0.261	-1.012	-1.264	0.458	4.027
WNT_UP.V1_UP WNT_UP.V1_UP	-0.469	-1.215	-0.469	-2.617	0.344	5.466	-1.813	-1.492	0.888	0.888	1.063
DCA_UP.V1_UP DCA_UP.V1_UP	0.504	-0.537	-1.621	-0.869	0.786	2.941	-5.394	0.504	-0.411	-0.309	2.056
ERBB2_UP.V1_UP ERBB2_UP.V1_UP	-0.474	-1.754	-1.754	-0.965	-0.361	-1.452	-0.965	0.334	4.044	2.717	1.412
ESC_J1_UP_LATE.V1_UP ESC_J1_UP_LATE.V1_UP	0.636	-1.082	-3.889	-1.331	-0.309	1.569	-1.956	0.504	0.504	2.067	1.559
BRCA1_DN.V1_UP BRCA1_DN.V1_UP	1.530	-0.850	-2.253	-2.806	1.277	3.130	-0.850	-1.106	0.373	0.505	0.502
PTEN_DN.V1_DN PTEN_DN.V1_DN	1.369	-0.402	-0.402	-3.856	0.650	0.516	-0.853	-1.932	-0.525	0.516	3.993
ATM_DN.V1_UP ATM_DN.V1_UP	1.155	-0.870	-0.668	-2.676	1.635	1.907	-2.676	-0.370	-0.870	0.947	0.941
PKCA_DN.V1_UP PKCA_DN.V1_UP	2.075	0.440	-1.089	-1.364	-0.857	1.094	-1.089	-2.521	-0.665	1.800	1.791
PDGF_UP.V1_UP PDGF_UP.V1_UP	-1.388	-0.490	0.614	4.860	-0.258	-2.645	0.968	-0.653	-0.258	-0.258	-0.657
CAHOY_NEURONAL CAHOY_NEURONAL	1.747	-2.369	-0.734	-0.734	0.525	3.239	-1.008	-1.008	-0.734	0.525	0.705
KRAS.PROSTATE_UP.V1_UP KRAS.PROSTATE_UP.V1_UP	0.937	-0.539	-0.720	-2.970	0.582	1.644	-0.395	-1.212	-0.720	2.551	0.318
SIRNA_EIF4GI_UP SIRNA_EIF4GI_UP	-2.235	-0.461	1.908	-0.312	-0.312	-0.919	0.595	1.027	1.584	0.290	-2.241
CSR_EARLY_UP.V1_DN CSR_EARLY_UP.V1_DN	0.596	-1.279	0.771	0.971	-1.279	-2.611	-0.552	0.321	2.683	0.596	-0.556
RB_P107_DN.V1_DN RB_P107_DN.V1_DN	-1.665	-0.291	2.298	1.170	1.170	-1.665	0.433	0.433	0.433	-1.302	-1.308
