GO	[-5.24 -0.50]	[-0.50 -0.23]	[-0.23 -0.12]	[-0.12 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.07]	[0.07 0.18]	[0.18 0.36]	[0.36 0.73]	[0.73 7.53]
ATCATGA_MIR433 ATCATGA_MIR433	-1.335	0.467	-0.552	1.544	1.544	-4.736	0.628	0.628	1.839	-0.756	-1.726
ACCATTT_MIR522 ACCATTT_MIR522	-0.531	-0.399	3.991	3.256	0.691	-2.572	-0.293	-0.399	-1.404	-0.399	-2.111
MIR337_3P MIR337_3P	-0.469	1.358	0.530	0.892	2.245	-3.869	0.272	0.388	0.698	-1.483	-2.408
MIR4693_5P MIR4693_5P	1.164	1.717	0.929	0.392	0.543	-4.528	0.392	0.270	-0.479	-1.214	-0.905
MIR3685 MIR3685	-0.318	0.285	2.582	1.536	-0.548	-3.910	0.491	0.285	0.767	-1.975	-0.418
MIR7161_5P MIR7161_5P	-0.622	0.999	1.850	2.105	-0.371	-2.520	0.678	0.426	0.325	-2.520	-1.199
MIR302D_5P MIR302D_5P	-0.889	1.236	1.048	0.876	0.463	-3.721	-0.334	1.901	0.584	-1.337	-1.329
MIR5197_5P MIR5197_5P	-0.310	0.293	0.951	0.389	-0.310	-3.877	2.055	2.328	-0.688	-1.080	-0.862
MIR371A_5P MIR371A_5P	-0.762	1.509	0.591	0.353	-0.458	-4.320	1.086	2.005	-0.595	-1.193	0.356
MIR12135 MIR12135	-0.408	0.623	1.105	-0.528	0.386	-3.094	1.301	2.526	0.293	-2.219	-0.838
MIR522_3P MIR522_3P	0.326	-0.278	0.551	1.435	-0.373	-6.210	0.850	-0.491	0.551	0.551	-0.370
GCACCTT_MIR18A_MIR18B GCACCTT_MIR18A_MIR18B	1.962	0.914	0.914	0.717	0.400	-3.831	0.400	-0.322	-0.322	-0.848	-1.866
MIR885_5P MIR885_5P	-0.598	0.755	1.449	1.732	1.732	-1.817	-0.301	0.426	-2.321	-1.408	-0.594
