GO	[-4.20 -0.37]	[-0.37 -0.19]	[-0.19 -0.12]	[-0.12 -0.06]	[-0.06 -0.01]	[-0.01 0.00]	[0.00 0.05]	[0.05 0.12]	[0.12 0.25]	[0.25 0.55]	[0.55 4.38]
GNF2_HPX GNF2_HPX	3.809	-1.895	-0.912	-2.365	-4.496	6.628	-2.932	-2.365	-0.692	-0.375	6.628
GNF2_HPN GNF2_HPN	3.460	-1.867	-0.893	-1.867	-4.457	6.187	-2.899	-2.334	-0.677	-0.256	6.187
GNF2_LCAT GNF2_LCAT	4.016	-1.601	-0.716	-2.036	-4.063	4.930	-2.569	-2.036	-0.716	-0.264	5.417
MORF_IL4 MORF_IL4	3.005	-1.009	-1.009	-3.060	-3.060	7.457	-0.382	-2.591	-2.182	0.670	3.005
CAR_HPX CAR_HPX	1.880	-0.713	-0.713	-1.495	-3.045	5.981	-0.713	-3.045	-1.495	-0.301	3.674
GNF2_HCK GNF2_HCK	-0.860	-2.867	-1.185	-0.860	-0.860	-2.148	-1.604	-0.609	1.398	6.997	4.709
GNF2_GSTM1 GNF2_GSTM1	3.182	-1.609	-0.481	-1.609	-3.480	2.782	-2.091	-1.609	-0.481	0.270	5.538
MORF_BCL2L11 MORF_BCL2L11	4.326	-1.131	-1.131	-1.687	-1.388	3.245	-0.434	-2.883	-2.883	0.482	4.326
MORF_CD8A MORF_CD8A	3.429	-1.012	-1.313	-2.667	-1.313	3.841	-0.292	-2.125	-2.667	0.310	4.274
MORF_CDH4 MORF_CDH4	2.626	-1.201	-0.709	-1.922	-1.922	5.066	-0.274	-2.965	-2.395	0.599	2.982
CAR_IGFBP1 CAR_IGFBP1	1.512	-0.400	-0.647	-1.010	-2.374	5.180	-1.010	-2.374	-2.374	0.589	2.358
MORF_FLT1 MORF_FLT1	4.794	-1.290	-1.653	-2.095	-1.653	4.794	-0.992	-0.992	-0.992	-0.555	2.716
MORF_THPO MORF_THPO	3.038	-0.292	-1.313	-2.125	-2.125	6.211	-0.570	-1.680	-2.125	-0.292	2.002
GNF2_TST GNF2_TST	3.470	-1.473	-0.815	-1.106	-3.287	2.647	-1.936	-1.473	-0.588	0.462	4.393
MORF_PRKCA MORF_PRKCA	2.228	-0.374	-1.024	-3.217	-1.554	5.469	-0.374	-2.267	-2.267	0.698	2.520
GNF2_DNM1 GNF2_DNM1	1.161	-0.735	-1.070	-3.087	-2.157	2.647	-0.490	-1.527	-1.070	2.222	3.106
MORF_TNFRSF6 MORF_TNFRSF6	3.737	-0.627	-0.627	-2.341	-0.807	3.371	-0.478	-3.376	-1.931	0.459	2.382
GNF2_CEBPA GNF2_CEBPA	2.370	-0.814	-1.217	-1.793	-1.793	1.558	-1.793	-1.793	0.274	0.440	5.053
GNF2_CYP2B6 GNF2_CYP2B6	3.521	-0.473	-1.264	-1.264	-2.039	0.547	-1.264	-2.039	-0.271	1.142	2.952
MORF_KDR MORF_KDR	1.965	-0.903	-0.903	-2.215	-1.236	3.583	0.301	-1.664	-2.215	0.615	2.718
GNF2_CARD15 GNF2_CARD15	-0.406	-1.370	-2.877	-0.940	-0.406	-1.370	-0.629	-0.406	0.766	4.560	3.467
GNF2_MYL3 GNF2_MYL3	1.245	-0.672	-1.287	-1.287	-1.287	1.726	-0.342	-1.287	-0.342	-0.672	5.109
GNF2_CDH3 GNF2_CDH3	0.346	-0.551	-1.121	-1.121	-1.121	2.687	-0.551	-0.260	-0.551	-1.121	4.978
GNF2_RAB3A GNF2_RAB3A	0.942	-1.537	-0.863	-1.537	-1.537	1.797	-0.477	-0.863	-0.477	1.337	2.894
GNF2_SERPINB5 GNF2_SERPINB5	0.324	-0.581	-1.162	-0.581	-1.162	3.251	-0.581	-0.280	-0.581	-1.162	3.993
GNF2_MYL2 GNF2_MYL2	1.188	-0.703	-1.329	-1.329	-1.329	1.188	0.247	-1.329	0.247	0.247	3.446
GCM_HMGA2 GCM_HMGA2	0.487	-1.221	-1.575	-0.932	-2.007	4.998	-0.699	-0.367	-0.367	0.353	2.494
MORF_THRA MORF_THRA	0.258	-0.580	-0.924	-1.437	-0.924	2.564	-0.580	-0.924	-0.924	0.666	4.232
MORF_NF1 MORF_NF1	2.579	-1.077	-0.668	-0.513	-1.648	2.276	-0.513	-2.007	-0.855	0.318	2.579
MORF_DMPK MORF_DMPK	1.536	0.260	-0.461	-1.210	-0.461	2.329	-0.461	-3.124	-1.813	0.595	2.046
MORF_PPP2R5B MORF_PPP2R5B	3.776	-0.319	-0.562	-1.424	-1.152	0.970	-0.428	-2.110	-0.921	0.284	2.433
GNF2_RTN1 GNF2_RTN1	0.722	0.477	-0.868	-1.368	-2.164	1.372	0.286	-1.368	-0.868	1.021	2.219
CAR_MLANA CAR_MLANA	1.044	-0.355	-1.060	-0.626	-1.788	0.717	-0.626	-1.060	0.253	0.717	2.916
GNF2_CD14 GNF2_CD14	-0.408	-0.766	-0.766	-0.766	-0.408	-0.766	-0.766	-0.408	0.427	3.892	2.020
GNF2_ANK1 GNF2_ANK1	-0.314	1.161	-1.527	-1.527	-0.490	0.446	-1.070	-0.735	-0.314	1.478	2.647
GNF2_SPTB GNF2_SPTB	-0.314	1.161	-1.527	-1.527	-0.490	0.446	-1.070	-0.735	-0.314	1.478	2.647
