GO	[-5.24 -0.46]	[-0.46 -0.21]	[-0.21 -0.11]	[-0.11 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.05]	[0.05 0.16]	[0.16 0.33]	[0.33 0.69]	[0.69 7.53]
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	-3.414	0.263	8.004	8.503	0.263	-7.837	1.467	1.696	-1.151	-7.837	-7.865
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	-1.424	-2.946	-2.946	-2.946	8.187	18.725	-0.667	-2.946	-2.946	-0.986	-1.432
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	-3.603	-1.310	-3.603	-0.992	-0.537	-4.697	4.193	13.984	4.193	-1.705	-4.713
REACTOME_G2_M_CHECKPOINTS REACTOME_G2_M_CHECKPOINTS	-4.788	0.892	5.622	9.620	-0.365	-4.012	0.892	1.288	-1.929	-4.788	-7.022
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	-0.796	-2.704	-2.704	-4.218	4.974	15.377	1.358	-2.704	-2.704	-1.346	-0.315
REACTOME_DEFENSINS REACTOME_DEFENSINS	-2.115	-2.115	-1.328	-2.115	4.521	10.831	0.499	-2.115	-0.837	-0.837	-0.842
REACTOME_TRNA_PROCESSING REACTOME_TRNA_PROCESSING	-1.262	4.799	5.295	2.292	-2.742	-4.613	-0.702	0.684	0.252	-2.134	-3.541
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	1.262	-1.593	-5.030	-2.684	2.757	6.030	-1.079	-3.694	-0.874	0.896	1.918
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	-2.611	0.579	-0.468	1.981	-0.262	-4.359	3.174	4.242	1.069	-2.611	-4.381
NABA_ECM_GLYCOPROTEINS NABA_ECM_GLYCOPROTEINS	1.518	-1.280	-3.097	-1.864	-1.280	2.256	-2.221	-3.097	0.293	2.256	7.001
KEGG_LYSOSOME KEGG_LYSOSOME	-1.165	-1.509	-0.886	-1.930	-1.509	-2.448	0.377	2.210	2.913	6.580	-0.893
REACTOME_INTERFERON_GAMMA_SIGNALING REACTOME_INTERFERON_GAMMA_SIGNALING	-2.066	-1.127	1.172	-0.571	-3.779	-1.535	-1.127	0.505	-0.257	2.910	5.321
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	-1.681	0.290	1.906	3.477	-0.312	-3.987	1.583	1.027	-0.312	-1.681	-2.972
REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES REACTOME_RECRUITMENT_OF_MITOTIC_CENTROSOME_PROTEINS_AND_COMPLEXES	-1.708	2.288	3.145	1.907	-0.595	-3.321	0.353	0.353	-0.255	-0.865	-3.332
REACTOME_MUSCLE_CONTRACTION REACTOME_MUSCLE_CONTRACTION	2.830	-0.309	-1.551	-2.630	-3.097	-0.407	-0.528	-1.864	1.109	0.930	4.882
WP_CELL_DIFFERENTIATION_INDEX WP_CELL_DIFFERENTIATION_INDEX	-0.336	-1.024	-0.599	-0.599	-0.336	7.303	2.436	-1.741	-1.741	-1.024	-0.338
WP_ROLE_OF_OSX_AND_MIRNAS_IN_TOOTH_DEVELOPMENT WP_ROLE_OF_OSX_AND_MIRNAS_IN_TOOTH_DEVELOPMENT	-0.453	-0.453	-1.492	-0.828	0.985	7.605	0.647	-0.828	-0.828	-0.453	-1.497
REACTOME_RAC1_GTPASE_CYCLE REACTOME_RAC1_GTPASE_CYCLE	1.367	0.972	0.301	0.650	-3.260	-6.336	-0.852	1.834	0.516	0.400	0.508
KEGG_TASTE_TRANSDUCTION KEGG_TASTE_TRANSDUCTION	5.183	-0.837	-1.328	-1.328	-0.513	3.315	-0.837	-1.328	0.302	-0.837	0.299
PID_MYC_ACTIV_PATHWAY PID_MYC_ACTIV_PATHWAY	-0.842	2.760	1.281	2.341	-0.842	-3.279	0.997	-0.244	-1.198	-1.198	-0.848
REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF	-0.600	3.520	1.234	0.638	-1.466	-2.281	0.246	1.234	-0.364	-0.600	-2.289
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	-1.464	0.629	3.404	2.674	-0.671	-3.551	0.478	-0.256	0.351	-0.499	-1.859
REACTOME_COLLAGEN_DEGRADATION REACTOME_COLLAGEN_DEGRADATION	1.208	0.275	-2.655	-1.784	-1.784	1.208	-0.527	-0.810	-0.329	1.208	2.801
REACTOME_TRNA_AMINOACYLATION REACTOME_TRNA_AMINOACYLATION	-0.599	0.750	3.598	1.480	0.269	-1.741	-0.336	0.477	-0.599	-1.741	-1.747
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	-0.677	1.000	0.279	1.865	-1.710	-2.997	0.773	0.412	2.585	-0.476	-2.277
WP_DIFFERENTIATION_PATHWAY WP_DIFFERENTIATION_PATHWAY	0.572	-1.225	-1.990	-1.990	0.572	2.489	-1.225	-0.451	0.572	0.572	1.175
REACTOME_RAB_REGULATION_OF_TRAFFICKING REACTOME_RAB_REGULATION_OF_TRAFFICKING	-1.187	-0.354	1.065	0.254	-1.187	-5.073	0.851	1.065	1.568	0.501	0.250
WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II	1.321	-0.548	-0.421	-2.363	-0.548	3.905	-0.701	-2.363	0.622	-0.421	1.107
WP_GASTRIC_CANCER_NETWORK_1 WP_GASTRIC_CANCER_NETWORK_1	-1.201	-0.610	3.114	1.879	-1.201	-0.610	0.303	0.303	-0.610	0.573	-1.206
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	0.269	-0.336	-1.024	-1.024	1.480	4.250	-0.336	-1.741	-1.024	-0.336	0.474
REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK REACTOME_ENERGY_DEPENDENT_REGULATION_OF_MTOR_BY_LKB1_AMPK	-0.299	-0.299	1.366	-1.201	-0.610	-1.201	-0.299	0.929	3.114	-0.299	-1.206
KEGG_ABC_TRANSPORTERS KEGG_ABC_TRANSPORTERS	1.372	0.685	0.240	-0.373	-1.824	-1.824	0.240	-1.090	0.240	2.812	-0.375
KEGG_NON_HOMOLOGOUS_END_JOINING KEGG_NON_HOMOLOGOUS_END_JOINING	-0.538	1.604	-0.538	3.264	-0.538	-0.538	0.477	-0.176	-0.538	-0.538	-0.540
PID_INTEGRIN_CS_PATHWAY PID_INTEGRIN_CS_PATHWAY	0.684	-1.077	-0.240	-1.077	-0.520	-1.077	-0.520	-0.240	-0.240	2.150	2.143
REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES REACTOME_METABOLISM_OF_AMINE_DERIVED_HORMONES	1.714	-0.745	-0.745	-0.745	0.304	1.714	-0.745	-0.745	-0.298	-0.298	1.125
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	-0.624	1.041	0.254	-1.057	-0.624	-1.057	-0.354	2.357	2.357	-0.624	-1.062
