GO	[-5.24 -0.57]	[-0.57 -0.23]	[-0.23 -0.10]	[-0.10 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.03]	[0.03 0.15]	[0.15 0.36]	[0.36 0.74]	[0.74 8.14]
TOX4_TARGET_GENES TOX4_TARGET_GENES	-2.091	0.334	4.366	5.969	-7.896	-7.896	-1.185	2.403	0.436	0.691	-1.438
SETBP1_TARGET_GENES SETBP1_TARGET_GENES	-1.635	0.491	3.875	6.277	-6.394	-4.589	-1.345	4.618	0.285	-0.881	-2.347
HOXA7_TARGET_GENES HOXA7_TARGET_GENES	-2.286	0.983	5.899	4.430	-4.814	-4.814	-1.786	1.478	0.439	-0.791	-1.377
MCM3_TARGET_GENES MCM3_TARGET_GENES	-4.694	0.351	4.095	1.248	-3.402	-3.999	-2.042	3.739	2.470	0.457	-1.143
ZZZ3_TARGET_GENES ZZZ3_TARGET_GENES	-1.506	-0.343	1.086	5.025	-3.902	-5.022	-0.885	5.025	0.376	-0.343	-1.159
GTF3A_TARGET_GENES GTF3A_TARGET_GENES	-1.144	-3.193	-2.252	-1.611	7.374	3.336	2.045	-1.144	-0.797	-0.797	-0.538
HOXD11_TARGET_GENES HOXD11_TARGET_GENES	-1.132	-0.275	2.456	1.862	-6.104	-4.905	0.445	2.456	0.742	-0.515	-0.378
MYBL1_TARGET_GENES MYBL1_TARGET_GENES	-2.288	1.438	2.418	1.896	-5.047	-2.702	-1.609	3.316	1.046	-0.711	-0.558
HOXC13_TARGET_GENES HOXC13_TARGET_GENES	-1.456	0.716	1.660	4.236	-4.938	-3.826	-0.628	0.716	1.386	-0.322	-0.843
YBX3_TARGET_GENES YBX3_TARGET_GENES	-2.238	1.274	4.189	0.944	-2.238	-2.238	-0.578	1.652	0.258	-0.348	-2.234
NR1D1_TARGET_GENES NR1D1_TARGET_GENES	-1.481	0.697	2.948	4.174	-3.864	-3.050	-0.469	0.891	0.697	-0.469	-1.892
HDAC8_TARGET_GENES HDAC8_TARGET_GENES	-1.062	-0.448	2.492	5.345	-1.738	-3.401	-2.186	2.166	0.533	-1.062	-0.607
ZSCAN5C_TARGET_GENES ZSCAN5C_TARGET_GENES	-1.112	1.376	1.625	2.185	-3.256	-2.170	-3.256	1.149	1.895	0.339	-1.107
ZNF547_TARGET_GENES ZNF547_TARGET_GENES	-1.233	0.659	2.908	2.579	-2.849	-4.190	-1.233	0.283	1.707	0.388	-0.577
ZNF165_TARGET_GENES ZNF165_TARGET_GENES	-1.706	0.520	-0.255	1.901	-2.362	-3.317	-1.706	3.134	0.724	1.242	-0.395
ZNF677_TARGET_GENES ZNF677_TARGET_GENES	-1.103	-0.473	2.091	4.310	-1.414	-2.796	-1.414	0.504	1.795	0.504	-2.238
CTR9_TARGET_GENES CTR9_TARGET_GENES	-1.181	-0.315	2.876	0.675	-2.611	-2.611	-0.786	2.410	0.459	0.675	-0.783
BCL6B_TARGET_GENES BCL6B_TARGET_GENES	-0.356	1.779	0.737	2.044	-2.771	-2.302	-2.302	1.305	1.532	-0.261	-1.548
SIPA1_TARGET_GENES SIPA1_TARGET_GENES	-0.666	-0.266	1.895	1.376	-1.755	-3.973	-0.868	0.943	2.495	0.457	-1.399
THRA_TARGET_GENES THRA_TARGET_GENES	-1.213	0.270	0.721	2.371	-4.522	-2.069	-0.479	1.425	0.928	0.392	0.272
KDM1B_TARGET_GENES KDM1B_TARGET_GENES	-0.733	2.427	2.811	-1.354	-2.363	-1.797	0.371	0.249	0.524	0.707	-0.729
MED16_TARGET_GENES MED16_TARGET_GENES	1.797	-1.823	0.684	0.998	-1.823	-0.650	-1.823	0.430	0.430	0.430	0.432
ADNP_TARGET_GENES ADNP_TARGET_GENES	-2.196	-0.896	2.296	0.816	-1.226	-1.649	-0.641	1.318	1.318	-0.301	0.443
TERF2_TARGET_GENES TERF2_TARGET_GENES	0.330	0.763	1.665	1.405	-1.897	-1.897	-0.384	1.168	0.954	-1.509	-1.504
PPARA_TARGET_GENES PPARA_TARGET_GENES	-0.586	0.818	1.416	0.818	-2.777	-1.301	0.238	1.416	0.818	-0.586	-1.297
THRAP3_TARGET_GENES THRAP3_TARGET_GENES	-0.610	-1.201	2.459	0.928	-0.610	-0.300	-0.300	0.572	-1.201	1.364	-1.199
ZNF585B_TARGET_GENES ZNF585B_TARGET_GENES	-0.760	1.410	-0.292	0.432	-1.660	-2.099	-0.566	2.979	-0.292	1.165	-0.757
