GO	[-4.20 -0.46]	[-0.46 -0.21]	[-0.21 -0.11]	[-0.11 -0.04]	[-0.04 0.00]	[0.00 0.01]	[0.01 0.09]	[0.09 0.19]	[0.19 0.38]	[0.38 0.78]	[0.78 4.85]
MODULE_92 MODULE_92	-0.404	-1.181	-1.845	-2.779	1.086	7.503	-2.779	-3.383	-0.927	2.725	2.130
MODULE_183 MODULE_183	-1.245	-0.548	4.322	2.297	3.239	-1.245	0.422	-0.345	-2.703	-2.703	-2.684
MODULE_152 MODULE_152	-3.210	-0.378	-0.714	1.017	0.341	-0.714	8.033	0.809	0.628	-1.238	-5.140
MODULE_197 MODULE_197	-0.320	2.400	2.400	5.296	-1.414	-2.093	1.366	-1.145	-1.414	-2.093	-2.971
MODULE_239 MODULE_239	-1.939	0.680	2.215	2.215	-0.890	-3.104	1.897	2.557	-0.890	-1.516	-3.075
MODULE_113 MODULE_113	2.526	0.432	-1.521	-2.581	0.432	2.168	-4.420	-1.989	-0.620	1.004	1.862
MODULE_345 MODULE_345	1.196	-2.620	-1.645	-1.645	-2.084	0.970	-2.084	-0.401	1.196	1.447	4.786
MODULE_97 MODULE_97	-1.283	1.548	1.867	3.880	0.278	-3.007	0.411	0.576	-0.477	-3.007	-2.252
MODULE_298 MODULE_298	-0.521	-1.079	-1.079	-1.079	0.684	9.201	-0.521	-0.521	-1.079	-0.521	0.375
MODULE_29 MODULE_29	-1.162	-1.162	-1.162	-0.581	-0.280	-0.280	3.979	3.241	0.607	-1.162	-1.154
MODULE_91 MODULE_91	-1.536	0.359	-0.477	3.511	0.940	-0.477	1.791	0.359	-1.536	-1.536	-1.525
MODULE_159 MODULE_159	-1.746	0.501	0.501	0.939	1.863	-2.409	2.647	0.702	-0.616	-1.746	-1.728
MODULE_352 MODULE_352	-0.705	-0.273	5.296	1.822	-0.273	-0.705	-0.273	-0.705	-0.705	-0.705	-0.700
MODULE_234 MODULE_234	2.081	0.258	-1.435	-2.244	1.656	0.664	-1.435	-0.923	-0.349	-0.923	2.102
MODULE_337 MODULE_337	-0.813	2.357	1.207	2.357	-0.813	-1.789	0.651	0.274	-1.789	-0.330	-1.773
MODULE_426 MODULE_426	0.997	0.557	-0.754	-1.974	-1.974	1.906	-1.454	-0.352	-0.754	0.389	3.129
MODULE_36 MODULE_36	-1.435	-0.712	0.843	1.030	1.237	-1.435	1.712	0.300	1.030	-0.411	-3.755
MODULE_109 MODULE_109	0.858	-0.927	-1.619	-1.619	0.319	0.858	-0.927	-0.927	0.319	2.148	1.240
MODULE_545 MODULE_545	0.256	0.256	-0.829	-0.829	0.256	5.537	-0.829	-0.351	-0.829	0.256	-0.348
MODULE_491 MODULE_491	-1.681	-0.244	0.366	0.996	-0.579	-0.845	0.366	2.765	1.601	-0.845	-2.315
MODULE_316 MODULE_316	2.019	-1.398	-0.649	-2.912	0.738	0.519	-0.964	-0.649	0.342	0.999	1.013
MODULE_247 MODULE_247	0.359	0.614	-0.250	-0.862	-0.477	-0.250	-1.536	-1.536	-0.250	3.511	0.622
MODULE_127 MODULE_127	-1.079	0.371	0.684	3.513	0.371	-0.521	-0.521	0.371	-1.079	-0.241	-1.071
MODULE_368 MODULE_368	1.129	-0.746	-0.746	-0.746	0.304	2.402	0.304	-0.746	-0.746	-0.298	0.661
MODULE_516 MODULE_516	-0.248	-0.663	-0.663	-0.663	0.362	0.362	-0.663	0.362	-0.663	3.560	0.365
