GO	[-5.24 -0.48]	[-0.48 -0.21]	[-0.21 -0.10]	[-0.10 -0.02]	[-0.02 0.00]	[0.00 0.00]	[0.00 0.05]	[0.05 0.15]	[0.15 0.34]	[0.34 0.72]	[0.72 7.70]
GOMF_HORMONE_ACTIVITY GOMF_HORMONE_ACTIVITY	1.062	-2.478	-3.945	-1.957	2.854	7.568	-0.496	-5.068	-0.677	-1.533	2.870
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	3.160	-0.510	-3.421	-4.075	-0.285	1.236	-1.976	-1.624	-0.385	1.035	5.072
GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	0.278	0.278	2.455	0.892	-3.687	-6.880	-1.907	0.278	0.596	1.256	2.200
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	8.048	-0.798	-1.261	-2.305	-0.261	-2.305	-0.261	-2.305	0.457	-0.261	2.650
GOBP_GRANULOCYTE_CHEMOTAXIS GOBP_GRANULOCYTE_CHEMOTAXIS	-0.677	-2.478	-0.905	-1.533	0.849	2.497	-0.354	-3.123	0.364	0.849	3.653
GOBP_CILIUM_MOVEMENT GOBP_CILIUM_MOVEMENT	3.756	0.585	-2.039	-1.339	-1.339	0.337	-0.494	-2.484	0.451	-0.494	3.778
GOCC_EXCITATORY_SYNAPSE GOCC_EXCITATORY_SYNAPSE	2.641	-0.702	-1.907	-1.158	2.134	0.625	-0.702	-0.702	-0.702	-1.907	2.143
GOCC_MHC_PROTEIN_COMPLEX GOCC_MHC_PROTEIN_COMPLEX	-0.953	-0.953	-0.434	-0.953	-0.953	-0.953	-0.953	0.199	1.282	3.188	2.479
GOMF_SCAVENGER_RECEPTOR_ACTIVITY GOMF_SCAVENGER_RECEPTOR_ACTIVITY	1.620	-0.242	-1.192	0.370	-1.192	-0.431	-1.192	-0.729	-0.242	-1.192	5.715
GOCC_LAMELLIPODIUM_MEMBRANE GOCC_LAMELLIPODIUM_MEMBRANE	0.490	0.217	-0.911	-0.911	-0.911	-0.911	0.490	-0.406	0.217	0.873	2.602
GOBP_SURFACTANT_HOMEOSTASIS GOBP_SURFACTANT_HOMEOSTASIS	-0.456	-0.456	-0.456	-0.456	-0.456	-0.456	-0.456	0.187	1.148	0.578	2.753
