GO	[-5.24 -0.53]	[-0.53 -0.24]	[-0.24 -0.12]	[-0.12 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.06]	[0.06 0.18]	[0.18 0.37]	[0.37 0.75]	[0.75 7.70]
GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	-6.992	-4.399	0.844	2.359	-0.585	-8.318	6.675	12.845	0.693	-2.757	-5.984
GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN	-5.156	1.587	17.735	6.180	-0.751	-8.360	-0.271	0.333	-1.673	-3.808	-6.021
GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_DN GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_DN	-3.776	-0.264	7.583	12.267	-2.339	-8.318	0.844	1.011	-0.918	-2.757	-3.790
GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN GSE9988_LPS_VS_VEHICLE_TREATED_MONOCYTE_DN	-6.912	-1.927	1.900	5.119	-1.927	-8.234	2.708	3.324	2.423	-0.436	-5.065
GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP GSE14000_TRANSLATED_RNA_VS_MRNA_4H_LPS_DC_UP	-5.930	0.708	4.681	9.115	0.350	-5.085	1.215	0.708	-0.342	-4.366	-6.969
GSE41867_DAY15_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_DN GSE41867_DAY15_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_DN	-5.085	2.673	9.115	5.066	-2.314	-8.276	0.264	1.215	-0.902	-2.730	-1.959
GSE21063_3H_VS_16H_ANTI_IGM_STIM_NFATC1_KOBCELL_DN GSE21063_3H_VS_16H_ANTI_IGM_STIM_NFATC1_KOBCELL_DN	-2.289	0.464	6.361	9.192	-1.610	-8.234	0.464	1.048	0.271	-6.912	-1.936
GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_UP GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_UP	-3.682	1.067	1.067	12.552	-2.264	-8.193	0.737	1.688	0.893	-2.264	-5.029
GSE9006_HEALTHY_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP GSE9006_HEALTHY_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP	-5.085	-3.745	1.872	1.872	0.350	-8.276	2.971	7.188	1.872	-2.314	-3.758
GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP GSE29618_MONOCYTE_VS_MDC_DAY7_FLU_VACCINE_UP	-3.808	-2.784	-0.359	-2.364	-3.808	-7.031	-0.933	1.818	8.467	3.865	4.198
GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_UP GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_UP	-6.005	0.828	2.605	4.217	-2.364	-8.360	0.993	2.064	3.865	-1.996	-4.447
GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_DN GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_DN	-3.745	0.453	1.418	11.233	-0.724	-6.952	1.872	2.673	-1.111	-1.950	-5.946
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_10MIN_DN GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_10MIN_DN	-5.967	0.560	3.570	4.264	-3.233	-6.992	0.844	5.818	0.844	-2.339	-3.245
THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_28DY_UP THAKAR_PBMC_INACTIVATED_INFLUENZA_AGE_21_30YO_NONRESPONDER_28DY_UP	-4.997	0.633	4.820	10.136	-0.717	-5.963	0.786	0.382	0.382	-2.979	-5.011
GSE39820_CTRL_VS_TGFBETA3_IL6_IL23A_CD4_TCELL_UP GSE39820_CTRL_VS_TGFBETA3_IL6_IL23A_CD4_TCELL_UP	-4.399	6.675	5.409	4.264	-1.973	-5.967	-0.264	1.011	-1.652	-0.918	-5.136
GSE21033_CTRL_VS_POLYIC_STIM_DC_3H_UP GSE21033_CTRL_VS_POLYIC_STIM_DC_3H_UP	-4.333	-0.711	4.358	8.199	-3.174	-8.234	0.584	1.662	1.236	-0.561	-3.727
GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN GSE10239_MEMORY_VS_KLRG1HIGH_EFF_CD8_TCELL_DN	-4.433	-0.467	3.865	9.468	-0.359	-6.005	1.587	1.587	-0.597	-2.784	-5.171
GSE24210_RESTING_TREG_VS_TCONV_DN GSE24210_RESTING_TREG_VS_TCONV_DN	-4.366	1.872	9.115	3.612	-1.111	-8.276	-0.902	1.215	0.264	-0.902	-3.758
GSE9650_GP33_VS_GP276_LCMV_SPECIFIC_EXHAUSTED_CD8_TCELL_DN GSE9650_GP33_VS_GP276_LCMV_SPECIFIC_EXHAUSTED_CD8_TCELL_DN	-1.652	-0.918	2.934	9.038	-1.128	-5.967	0.844	3.245	0.560	-3.776	-5.984
GSE27786_LSK_VS_MONO_MAC_UP GSE27786_LSK_VS_MONO_MAC_UP	-2.730	3.612	5.464	2.971	-3.204	-5.930	0.572	3.284	-0.573	-2.730	-5.100
GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_UP GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_UP	-3.174	0.271	3.324	5.934	-0.561	-8.234	-0.333	0.722	4.358	-2.289	-5.065
GSE5503_LIVER_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN GSE5503_LIVER_DC_VS_PLN_DC_ACTIVATED_ALLOGENIC_TCELL_DN	-5.855	0.278	4.045	5.172	-0.697	-8.193	1.688	1.688	0.597	-1.314	-4.313
GSE339_EX_VIVO_VS_IN_CULTURE_CD4CD8DN_DC_UP GSE339_EX_VIVO_VS_IN_CULTURE_CD4CD8DN_DC_UP	-2.757	-0.918	5.409	3.570	-0.738	-8.318	0.560	5.013	-0.350	-0.738	-5.136
GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_MIR155_KO_DN GSE44649_NAIVE_VS_ACTIVATED_CD8_TCELL_MIR155_KO_DN	-3.233	3.245	7.122	4.632	-2.339	-5.967	-1.652	2.094	-1.128	-1.128	-2.350
GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP	-3.745	0.264	4.311	5.464	-1.111	-6.952	2.391	2.971	-1.111	-1.950	-3.758
