GO	[-5.24 -0.62]	[-0.62 -0.21]	[-0.21 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.31]	[0.31 0.70]	[0.70 8.14]
HALLMARK_MYC_TARGETS_V1 HALLMARK_MYC_TARGETS_V1	-8.302	0.558	48.721	2.085	-8.302	-8.302	-8.302	2.085	0.692	-8.302	-8.292
GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP GSE39556_CD8A_DC_VS_NK_CELL_MOUSE_3H_POST_POLYIC_INJ_UP	-5.917	5.436	32.274	0.858	-8.260	-8.260	-6.938	-0.447	0.706	-1.350	-4.349
HALLMARK_OXIDATIVE_PHOSPHORYLATION HALLMARK_OXIDATIVE_PHOSPHORYLATION	-6.977	-1.369	10.010	0.841	-6.977	-8.302	-8.302	12.193	11.079	-2.335	-5.101
GCM_MYST2 GCM_MYST2	-3.442	1.428	32.554	0.309	-7.095	-7.095	-7.095	0.675	2.783	-2.885	-5.828
GSE41867_DAY15_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_DN GSE41867_DAY15_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_DN	-6.938	8.082	21.318	-0.724	-8.260	-8.260	-8.260	1.631	1.865	-2.310	-1.941
GSE33162_HDAC3_KO_VS_HDAC3_KO_4H_LPS_STIM_MACROPHAGE_UP GSE33162_HDAC3_KO_VS_HDAC3_KO_4H_LPS_STIM_MACROPHAGE_UP	-5.917	0.706	23.510	0.452	-8.260	-8.260	-8.260	2.381	4.658	-0.447	-5.909
MORF_RAB1A MORF_RAB1A	-4.792	-0.278	5.894	0.828	-7.927	-7.927	-7.927	8.178	16.182	-2.966	-5.610
GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_UP GSE29164_CD8_TCELL_VS_CD8_TCELL_AND_IL12_TREATED_MELANOMA_DAY3_UP	-5.992	2.317	12.100	-0.597	-8.344	-8.344	-8.344	2.056	14.448	-1.389	-4.415
GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_10MIN_DN GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_10MIN_DN	-5.955	2.085	14.553	-1.127	-8.302	-8.302	-8.302	3.230	10.539	-1.649	-2.745
GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_UP GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_UP	-5.003	2.175	20.170	-0.325	-8.177	-8.177	-8.177	1.682	6.389	-1.075	-4.995
GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN GSE12845_IGD_POS_BLOOD_VS_DARKZONE_GC_TONSIL_BCELL_DN	-5.880	1.893	22.915	0.271	-8.219	-6.898	-8.219	2.413	3.638	-0.886	-5.030
GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_6H_DN GSE2770_TGFB_AND_IL4_VS_IL12_TREATED_ACT_CD4_TCELL_6H_DN	-6.898	3.638	20.038	-2.285	-6.898	-6.898	-8.219	2.145	5.492	-0.561	-3.698
GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP	-5.074	-0.573	12.864	0.263	-6.938	-8.260	-8.260	6.267	11.167	-0.902	-5.066
GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_DN GSE9988_LPS_VS_CTRL_TREATED_MONOCYTE_DN	-5.955	-0.917	13.947	0.558	-8.302	-8.302	-8.302	3.230	11.631	-0.351	-3.219
