	[-0.61 -0.48]	[-0.48 -0.21]	[-0.21 -0.10]	[-0.10 -0.02]	[-0.02 0.00]	[0.00 0.00]	[0.00 0.05]	[0.05 0.15]	[0.15 0.34]	[0.34 0.72]	[0.72 0.85]
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	3.161	-0.509	-3.4189999999999996	-4.074	-0.385	0.691	-0.845	-1.321	-0.509	1.036	5.053
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	8.051	-0.7979999999999999	-1.261	-2.3040000000000003	-0.621	-0.261	-1.261	-2.3040000000000003	0.457	-0.261	2.638
GOMF_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	5.579	-0.326	-3.148	-2.678	-1.591	0.736	0.597	-2.678	0.278	1.2570000000000001	1.2590000000000001
GOBP_CILIUM_MOVEMENT	3.758	0.585	-2.0380000000000003	-1.339	-1.067	-0.8390000000000001	0.451	-2.0380000000000003	0.337	-0.494	3.762
GOMF_PEPTIDE_HORMONE_BINDING	6.757000000000001	-0.809	-2.073	-1.2930000000000001	0.522	0.317	-0.49200000000000005	-0.809	-0.809	-0.285	0.7829999999999999
GOCC_EXCITATORY_SYNAPSE	2.641	-0.7020000000000001	-1.9069999999999998	-1.157	0.625	0.92	0.389	-0.7020000000000001	-0.7020000000000001	-1.9069999999999998	2.137
GOBP_DETECTION_OF_CHEMICAL_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_TASTE	3.702	-0.991	-0.574	-1.699	1.129	1.9980000000000002	0.285	-0.991	-0.991	-0.318	-0.99
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	4.102	-0.47	-1.122	-1.6769999999999998	-1.122	1.004	-0.47	-1.122	-0.738	1.325	0.7290000000000001
GOBP_CATECHOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	2.149	-0.828	-0.828	-0.828	1.521	1.521	-0.828	0.256	-0.828	-0.35100000000000003	-0.35100000000000003
GOMF_HORMONE_ACTIVITY	1.062	-2.477	-3.944	-1.9569999999999999	4.501	4.965	-0.354	-5.067	-0.677	-1.5330000000000001	2.858
GOMF_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_ACTIVITY	0.278	0.278	2.456	0.893	-3.148	-6.877999999999999	-2.267	0.278	0.736	1.0659999999999998	2.188
GOBP_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	-1.077	-0.7709999999999999	0.737	0.24600000000000002	-1.999	-3.693	-1.077	0.24600000000000002	1.5290000000000001	0.968	4.438
GOBP_GRANULOCYTE_CHEMOTAXIS	-0.677	-2.477	-0.904	-1.5330000000000001	1.564	0.8490000000000001	0.5	-3.122	0.364	0.8490000000000001	3.64
GOMF_SCAVENGER_RECEPTOR_ACTIVITY	1.621	-0.242	-1.1909999999999998	0.37	-0.7290000000000001	-0.7290000000000001	-1.1909999999999998	-0.7290000000000001	-0.242	-1.1909999999999998	5.702999999999999
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	0.8320000000000001	0.435	-2.5469999999999997	-0.691	0.616	-0.473	0.8320000000000001	-1.868	-0.313	-1.3630000000000002	4.238
GOBP_SURFACTANT_HOMEOSTASIS	-0.455	-0.455	-0.455	-0.455	-0.455	-0.455	-0.455	0.187	1.148	0.578	2.7489999999999997
