GO	[-4.84 -0.47]	[-0.47 -0.25]	[-0.25 -0.13]	[-0.13 -0.04]	[-0.04 0.00]	[0.00 0.07]	[0.07 0.17]	[0.17 0.33]	[0.33 0.57]	[0.57 1.08]	[1.08 5.10]
PID_PLK1_PATHWAY PID_PLK1_PATHWAY	-1.136	-1.136	2.757	1.328	-0.395	1.328	0.962	-1.136	0.224	-1.136	-1.841
PID_ATR_PATHWAY PID_ATR_PATHWAY	0.337	2.810	0.337	2.810	-0.268	-0.505	-0.901	-0.901	-0.268	-1.588	-1.552
PID_ATM_PATHWAY PID_ATM_PATHWAY	-0.771	0.716	0.426	3.914	-1.420	-0.410	0.716	0.426	-0.410	-1.420	-1.388
PID_P53_DOWNSTREAM_PATHWAY PID_P53_DOWNSTREAM_PATHWAY	-0.286	-0.286	-1.247	0.316	-3.056	-2.473	0.316	0.754	2.633	1.414	0.631
PID_INTEGRIN_CS_PATHWAY PID_INTEGRIN_CS_PATHWAY	-1.084	-0.242	-1.084	-1.084	-1.084	-0.524	1.585	-0.524	1.585	1.585	0.707
PID_ERBB1_DOWNSTREAM_PATHWAY PID_ERBB1_DOWNSTREAM_PATHWAY	-2.595	1.301	0.812	0.613	-0.431	-1.996	2.634	0.446	0.309	-0.431	-1.459
PID_ARF_3PATHWAY PID_ARF_3PATHWAY	-0.791	0.278	1.618	-0.326	-0.791	1.618	1.618	-0.791	-0.791	-0.326	-0.773
PID_BARD1_PATHWAY PID_BARD1_PATHWAY	-0.301	0.929	3.138	1.370	-0.301	-0.614	-0.614	-0.301	-0.614	-1.210	-1.182
PID_PI3KCI_PATHWAY PID_PI3KCI_PATHWAY	-0.764	-0.258	0.570	-2.011	3.058	-0.455	0.850	0.570	-1.239	0.349	-0.735
PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY PID_P38_ALPHA_BETA_DOWNSTREAM_PATHWAY	-1.588	0.900	0.583	-0.268	-1.588	-0.505	2.243	-0.505	1.284	-0.505	-0.484
PID_MYC_ACTIV_PATHWAY PID_MYC_ACTIV_PATHWAY	0.364	1.294	2.382	1.294	-0.586	-1.220	0.752	-0.856	-1.220	-0.856	-1.171
PID_FANCONI_PATHWAY PID_FANCONI_PATHWAY	1.280	2.157	-0.229	0.923	-1.170	-0.229	0.387	-0.415	-0.415	-1.926	-1.135
