GO	[-5.67 -0.54]	[-0.54 -0.28]	[-0.28 -0.14]	[-0.14 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.12]	[0.12 0.26]	[0.26 0.52]	[0.52 1.04]	[1.04 24.36]
WP_PARKINSONS_DISEASE_PATHWAY WP_PARKINSONS_DISEASE_PATHWAY	-1.339	-0.672	-0.959	-2.518	4.883	10.082	-0.458	-0.458	-1.841	-2.518	-0.465
WP_MRNA_PROCESSING WP_MRNA_PROCESSING	-2.846	0.493	1.506	3.482	1.506	-1.828	1.256	1.256	-0.487	-3.530	-5.587
WP_ALZHEIMERS_DISEASE WP_ALZHEIMERS_DISEASE	-1.843	-2.270	-1.482	-0.402	3.829	8.070	-0.714	0.423	-1.179	-0.292	-1.197
WP_CELL_DIFFERENTIATION_INDEX WP_CELL_DIFFERENTIATION_INDEX	0.269	-0.599	-1.025	-1.742	3.608	6.498	-0.336	-1.742	-0.599	-0.599	-1.753
WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK	-0.343	2.932	1.904	1.094	-1.514	-2.457	1.339	0.875	-0.343	-1.937	-5.079
WP_RETINOBLASTOMA_GENE_IN_CANCER WP_RETINOBLASTOMA_GENE_IN_CANCER	-1.452	3.104	0.763	3.104	0.257	-3.663	0.391	0.391	0.391	-3.663	-1.467
WP_CELL_DIFFERENTIATION_INDEX_EXPANDED WP_CELL_DIFFERENTIATION_INDEX_EXPANDED	0.318	-0.810	-1.295	-1.295	3.416	6.798	-0.492	-1.295	-0.810	-0.285	-2.088
WP_EGFEGFR_SIGNALING_PATHWAY WP_EGFEGFR_SIGNALING_PATHWAY	-3.219	0.994	0.994	1.196	-1.476	-4.628	0.811	1.924	2.826	-1.188	-1.207
WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR	-1.256	2.654	0.941	4.593	-0.889	-2.406	0.340	0.503	-0.412	-1.256	-3.390
WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY	-1.535	-0.861	-0.250	-1.535	4.932	3.517	-0.477	0.359	-0.250	-1.535	-1.544
WP_TYROBP_CAUSAL_NETWORK WP_TYROBP_CAUSAL_NETWORK	0.460	-1.183	-1.751	-1.183	-1.751	-2.618	0.460	0.288	4.523	3.402	-0.320
WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE	0.523	-0.285	-2.076	0.523	4.013	3.416	-1.295	-0.810	-0.492	-1.295	-2.088
WP_DNA_REPLICATION WP_DNA_REPLICATION	-0.336	2.442	0.269	4.964	-0.336	-1.742	-0.599	0.477	-1.742	-1.025	-1.753
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	-2.038	-0.793	-0.377	0.945	-0.247	-3.746	2.182	0.945	1.501	1.207	-2.762
WP_METASTATIC_BRAIN_TUMOR WP_METASTATIC_BRAIN_TUMOR	-1.161	0.324	-1.161	-0.580	2.572	4.787	-1.161	0.324	-1.161	-0.279	-1.168
WP_ROLE_OF_OSX_AND_MIRNAS_IN_TOOTH_DEVELOPMENT WP_ROLE_OF_OSX_AND_MIRNAS_IN_TOOTH_DEVELOPMENT	-0.829	-0.829	-1.493	-1.493	1.865	5.883	0.381	-0.453	-1.493	0.381	-0.458
WP_OXIDATIVE_PHOSPHORYLATION WP_OXIDATIVE_PHOSPHORYLATION	-1.715	-0.763	-0.300	0.302	-0.489	-1.715	1.289	2.967	3.483	-1.715	-1.164
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	-1.147	-1.519	-0.301	0.596	-0.851	-1.987	0.596	4.704	2.919	-1.147	-0.863
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	0.578	2.222	0.775	2.222	-0.942	-3.005	0.413	0.775	-0.476	-1.281	-3.027
WP_CELL_CYCLE WP_CELL_CYCLE	-0.678	3.268	0.502	2.182	-0.907	-3.137	1.310	0.502	-0.496	-1.966	-1.207
WP_PEPTIDE_GPCRS WP_PEPTIDE_GPCRS	0.277	-0.506	-2.185	-2.185	1.780	4.561	-0.754	-0.754	-1.093	0.622	0.613
