GO	[-4.84 -0.50]	[-0.50 -0.28]	[-0.28 -0.16]	[-0.16 -0.06]	[-0.06 0.00]	[0.00 0.03]	[0.03 0.14]	[0.14 0.27]	[0.27 0.52]	[0.52 1.04]	[1.04 7.51]
MODULE_92 MODULE_92	0.711	-0.923	-3.371	-4.099	0.423	4.627	-3.371	-3.371	-1.478	3.811	5.463
GNF2_HCK GNF2_HCK	-2.850	-0.606	-0.606	-0.855	-1.594	-2.850	-2.850	-0.278	5.741	3.229	3.200
MODULE_324 MODULE_324	0.824	0.824	-2.839	-2.839	-1.127	0.492	-2.283	-2.839	-0.656	4.291	6.114
GNF2_HPX GNF2_HPX	5.057	-0.904	-2.342	-2.342	-0.373	2.308	-2.342	-1.877	-0.904	0.981	2.609
MODULE_345 MODULE_345	0.322	-0.281	-0.744	-2.077	0.322	0.447	-2.612	-1.279	-1.279	3.441	4.687
MODULE_80 MODULE_80	1.186	-1.326	-1.326	-1.326	-0.702	0.480	0.247	-1.326	0.795	0.247	3.415
MODULE_426 MODULE_426	2.670	-1.054	-1.054	-1.969	-0.751	0.391	-0.350	-1.969	0.257	1.573	2.251
GNF2_DNM1 GNF2_DNM1	0.644	0.446	-2.146	-2.146	-0.732	0.881	-1.519	-0.488	0.289	0.881	3.544
GNF2_TTN GNF2_TTN	0.685	-1.077	-1.077	-1.077	-0.240	1.090	-0.520	-0.240	-1.077	1.090	2.139
MODULE_316 MODULE_316	1.000	-0.647	-0.647	-0.961	-0.263	2.435	-1.394	-2.001	-0.421	0.520	2.001
