GO	[-5.67 -0.60]	[-0.60 -0.33]	[-0.33 -0.18]	[-0.18 -0.08]	[-0.08 0.00]	[0.00 0.01]	[0.01 0.12]	[0.12 0.26]	[0.26 0.50]	[0.50 1.05]	[1.05 7.20]
HP_INCREASED_SERUM_LACTATE HP_INCREASED_SERUM_LACTATE	-1.982	0.391	1.598	3.345	0.293	-3.344	0.293	1.845	1.159	-1.982	-2.878
HP_ABNORMAL_NEUTROPHIL_COUNT HP_ABNORMAL_NEUTROPHIL_COUNT	-4.390	0.467	0.355	0.598	2.340	-3.125	3.654	0.748	0.261	-0.599	-1.854
HP_Y_LINKED_INHERITANCE HP_Y_LINKED_INHERITANCE	-0.704	-0.704	-0.704	-0.704	-0.272	8.959	-0.272	-0.272	-0.272	-0.272	-0.712
HP_DELAYED_MYELINATION HP_DELAYED_MYELINATION	0.508	1.598	0.642	0.968	0.642	-3.944	0.293	1.845	0.293	-3.344	-1.682
HP_WIDE_MOUTH HP_WIDE_MOUTH	-0.358	2.182	-0.258	1.379	0.767	-3.020	0.606	1.154	0.348	-3.648	-1.696
HP_ABNORMALITY_OF_THE_PERIVENTRICULAR_WHITE_MATTER HP_ABNORMALITY_OF_THE_PERIVENTRICULAR_WHITE_MATTER	-2.046	0.950	2.198	1.213	-0.556	-3.761	-0.246	1.213	0.525	-0.556	-1.131
HP_RETINAL_HAMARTOMA HP_RETINAL_HAMARTOMA	-0.912	-0.912	1.361	-0.912	3.356	-0.912	0.491	0.491	0.491	-0.912	-0.921
HP_ABNORMAL_RENAL_MEDULLA_MORPHOLOGY HP_ABNORMAL_RENAL_MEDULLA_MORPHOLOGY	-0.472	3.528	0.818	-0.270	1.524	-1.263	-1.263	-0.784	-0.784	0.818	-2.059
HP_CORTICAL_DYSPLASIA HP_CORTICAL_DYSPLASIA	0.486	1.494	-0.635	2.616	-0.915	-3.423	0.917	-0.635	-0.635	0.486	-0.651
HP_RIGHT_VENTRICULAR_HYPERTROPHY HP_RIGHT_VENTRICULAR_HYPERTROPHY	-0.704	-0.704	1.210	-0.704	0.332	-0.704	2.551	-0.272	-0.704	-0.704	1.197
HP_BIFID_SCROTUM HP_BIFID_SCROTUM	0.404	-0.430	-0.430	-0.430	-1.453	1.457	-0.218	-0.218	-0.797	-1.453	3.733
HP_PULMONARY_EDEMA HP_PULMONARY_EDEMA	3.376	-0.704	-0.704	-0.704	-0.272	-0.272	0.707	-0.704	-0.704	0.707	0.327
HP_HYPERGRANULOSIS HP_HYPERGRANULOSIS	-0.247	-0.247	0.363	-0.663	-0.663	3.571	-0.663	-0.663	-0.663	0.363	0.755
HP_OLIGODONTIA HP_OLIGODONTIA	-1.195	0.370	0.370	0.888	-0.241	-1.195	-1.954	2.584	-0.431	-0.431	0.872
HP_DYSMETRIC_SACCADES HP_DYSMETRIC_SACCADES	-0.704	-0.704	2.551	1.210	-0.272	0.707	-0.704	0.332	-0.272	-0.704	-0.712
HP_ABNORMAL_UPPER_MOTOR_NEURON_MORPHOLOGY HP_ABNORMAL_UPPER_MOTOR_NEURON_MORPHOLOGY	-0.829	-0.351	0.994	0.256	-0.351	-0.829	2.880	0.567	-0.829	-0.829	0.252
HP_ABNORMAL_CIRCULATING_ASPARTATE_FAMILY_AMINO_ACID_CONCENTRATION HP_ABNORMAL_CIRCULATING_ASPARTATE_FAMILY_AMINO_ACID_CONCENTRATION	-0.746	-0.298	1.719	-0.298	1.719	-0.298	-0.746	-0.298	-0.746	-0.746	1.119
HP_AXONAL_LOSS HP_AXONAL_LOSS	-0.663	-0.663	-0.247	-0.663	0.763	-0.247	-0.247	0.363	3.571	-0.663	-0.251
HP_MICROSCOPIC_HEMATURIA HP_MICROSCOPIC_HEMATURIA	-0.580	-0.580	0.435	2.218	0.435	-0.580	-0.580	-0.580	0.893	0.435	-0.586
HP_PALMOPLANTAR_BLISTERING HP_PALMOPLANTAR_BLISTERING	-0.331	-0.331	-0.331	-0.331	-0.331	3.572	-0.331	-0.331	0.273	-0.331	0.789
