GO	[-22.20 -0.66]	[-0.66 -0.24]	[-0.24 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.16]	[0.16 0.48]	[0.48 1.01]	[1.01 24.36]
WU_CELL_MIGRATION WU_CELL_MIGRATION	-1.589	0.301	-0.849	1.358	-7.594	-5.321	-7.594	-2.300	0.967	6.388	12.702
GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_DN GSE36888_STAT5_AB_KNOCKIN_VS_WT_TCELL_IL2_TREATED_2H_DN	-3.139	0.278	0.473	-0.325	-8.177	-8.177	-8.177	2.175	6.829	4.026	2.453
NABA_ECM_GLYCOPROTEINS NABA_ECM_GLYCOPROTEINS	2.237	-0.407	-0.841	5.661	-8.094	-8.094	-8.094	-1.855	0.622	3.767	3.777
GSE2585_CD80_HIGH_VS_LOW_AIRE_KO_MTEC_UP GSE2585_CD80_HIGH_VS_LOW_AIRE_KO_MTEC_UP	-0.597	0.333	-0.467	1.811	-8.344	-8.344	-8.344	0.333	3.512	3.191	4.571
GSE22886_IL2_VS_IL15_STIM_NKCELL_UP GSE22886_IL2_VS_IL15_STIM_NKCELL_UP	-0.658	1.122	-0.516	9.980	-5.730	-8.052	-8.052	-1.256	0.507	2.546	2.554
GSE36078_UNTREATED_VS_AD5_INF_MOUSE_LUNG_DC_UP GSE36078_UNTREATED_VS_AD5_INF_MOUSE_LUNG_DC_UP	0.558	1.008	1.008	6.639	-6.977	-8.302	-8.302	-2.335	0.841	0.841	3.563
REACTOME_MUSCLE_CONTRACTION REACTOME_MUSCLE_CONTRACTION	0.925	0.496	-0.527	2.513	-8.094	-8.094	-8.094	-0.841	1.507	1.977	6.093
GSE22601_DOUBLE_NEGATIVE_VS_IMMATURE_CD4_SP_THYMOCYTE_DN GSE22601_DOUBLE_NEGATIVE_VS_IMMATURE_CD4_SP_THYMOCYTE_DN	-0.886	-0.334	5.093	2.697	-8.219	-8.219	-6.898	-0.561	3.309	0.359	2.704
BUSSLINGER_GASTRIC_X_CELLS BUSSLINGER_GASTRIC_X_CELLS	-0.472	-0.271	0.555	1.870	-7.886	-7.886	-7.886	-0.472	5.127	1.203	4.366
GSE22886_TH1_VS_TH2_48H_ACT_UP GSE22886_TH1_VS_TH2_48H_ACT_UP	0.463	2.413	0.583	2.697	-8.219	-8.219	-8.219	-0.886	1.436	0.583	4.348
GSE14769_UNSTIM_VS_20MIN_LPS_BMDM_UP GSE14769_UNSTIM_VS_20MIN_LPS_BMDM_UP	0.271	3.309	0.583	7.216	-5.880	-8.219	-8.219	-1.331	0.720	0.271	2.420
GSE8835_CD4_VS_CD8_TCELL_DN GSE8835_CD4_VS_CD8_TCELL_DN	0.484	0.908	-0.317	5.200	-8.135	-8.135	-8.135	-0.317	1.483	0.750	3.399
MIR6797_5P MIR6797_5P	-1.389	1.581	4.197	1.171	-7.017	-8.344	-8.344	0.333	2.317	0.432	2.893
GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_UP GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_UP	1.211	1.026	1.026	1.211	-6.938	-8.260	-8.260	-1.109	2.381	-0.342	6.280
GSE23502_BM_VS_COLON_TUMOR_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_UP GSE23502_BM_VS_COLON_TUMOR_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_UP	-0.317	-0.538	-0.684	9.297	-5.805	-6.819	-8.135	0.285	1.483	0.609	4.081
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_6H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_6H_DN	1.631	2.381	-0.724	3.936	-6.938	-8.260	-6.938	-1.109	0.263	0.858	5.052
GSE15659_CD45RA_NEG_CD4_TCELL_VS_RESTING_TREG_UP GSE15659_CD45RA_NEG_CD4_TCELL_VS_RESTING_TREG_UP	-0.658	1.122	2.546	3.811	-8.052	-8.052	-8.052	0.780	0.780	0.507	2.013
GSE35543_IN_VIVO_NTREG_VS_CONVERTED_EX_ITREG_DN GSE35543_IN_VIVO_NTREG_VS_CONVERTED_EX_ITREG_DN	0.442	-0.351	-0.737	5.788	-5.955	-6.977	-8.302	-0.917	1.191	3.553	3.563
GSE11961_PLASMA_CELL_DAY7_VS_MEMORY_BCELL_DAY40_DN GSE11961_PLASMA_CELL_DAY7_VS_MEMORY_BCELL_DAY40_DN	-0.437	1.656	-0.437	7.679	-5.880	-8.219	-6.898	-1.331	2.413	0.720	2.152
ATF2_S_UP.V1_UP ATF2_S_UP.V1_UP	-0.632	0.530	0.530	5.835	-4.827	-7.969	-7.969	-0.992	0.317	2.066	5.432
DURAND_STROMA_NS_UP DURAND_STROMA_NS_UP	-0.620	1.095	2.624	-0.474	-6.929	-6.929	-6.929	-1.258	2.942	2.624	3.637
GSE13229_IMM_VS_INTMATURE_NKCELL_UP GSE13229_IMM_VS_INTMATURE_NKCELL_UP	-0.457	1.191	-0.264	5.382	-8.302	-8.302	-5.955	0.341	1.191	0.558	3.901
GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS	-0.871	0.368	3.033	0.368	-8.177	-8.177	-6.859	2.732	1.459	1.459	2.453
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	0.737	-0.356	-1.552	1.095	-5.679	-6.929	-5.679	-1.258	1.095	6.076	6.550
IL2_UP.V1_DN IL2_UP.V1_DN	-0.278	-0.278	0.325	4.308	-7.927	-7.927	-5.619	-0.620	0.676	2.952	4.694
GSE41978_WT_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP GSE41978_WT_VS_BIM_KO_KLRG1_LOW_EFFECTOR_CD8_TCELL_UP	-0.264	0.841	0.442	2.921	-6.977	-8.302	-8.302	3.230	1.390	-0.351	2.356
GSE6681_DELETED_FOXP3_VS_WT_TREG_UP GSE6681_DELETED_FOXP3_VS_WT_TREG_UP	1.026	0.858	-0.902	7.610	-4.357	-8.260	-8.260	0.706	-0.342	0.350	3.278
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY7_DN	2.115	0.706	-0.447	6.267	-5.074	-8.260	-8.260	-0.724	0.571	0.571	2.966
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP	0.484	0.377	0.484	2.768	-6.819	-8.135	-8.135	0.285	0.484	3.071	4.081
GSE22611_NOD2_VS_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_DN GSE22611_NOD2_VS_MUTANT_NOD2_TRANSDUCED_HEK293T_CELL_DN	-0.856	2.206	1.274	3.071	-6.819	-8.135	-8.135	-0.317	1.274	1.274	2.213
GSE2128_C57BL6_VS_NOD_THYMOCYTE_MIMETOPE_NEGATIVE_SELECTION_UP GSE2128_C57BL6_VS_NOD_THYMOCYTE_MIMETOPE_NEGATIVE_SELECTION_UP	0.720	1.436	-0.561	7.216	-8.219	-5.880	-6.898	-0.561	1.045	0.271	3.004
GSE32034_UNTREATED_VS_ROSIGLIZATONE_TREATED_LY6C_LOW_MONOCYTE_DN GSE32034_UNTREATED_VS_ROSIGLIZATONE_TREATED_LY6C_LOW_MONOCYTE_DN	0.473	-0.871	1.253	1.921	-6.859	-8.177	-6.859	0.278	5.547	0.735	2.453
GOBP_BONE_DEVELOPMENT GOBP_BONE_DEVELOPMENT	-2.112	1.606	0.676	2.651	-5.619	-7.927	-6.622	1.606	0.325	0.542	5.906
GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_UP GSE23114_PERITONEAL_CAVITY_B1A_BCELL_VS_SPLEEN_BCELL_UP	-0.483	-0.278	2.651	2.365	-7.927	-7.927	-6.622	0.425	1.842	0.676	3.277
NOTCH_DN.V1_UP NOTCH_DN.V1_UP	1.113	-0.421	0.490	0.930	-6.385	-7.678	-7.678	-0.318	3.519	0.766	5.011
GOMF_METALLOPEPTIDASE_ACTIVITY GOMF_METALLOPEPTIDASE_ACTIVITY	-1.324	0.293	2.046	5.054	-7.636	-7.636	-5.358	0.293	1.133	0.948	2.916
GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_DN GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_DN	1.083	-0.538	0.908	8.299	-3.110	-8.135	-8.135	-0.684	-0.538	1.274	2.213
GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4_KO_BCELL_UP GSE46606_DAY1_VS_DAY3_CD40L_IL2_IL5_STIMULATED_IRF4_KO_BCELL_UP	0.841	1.838	1.606	1.606	-6.977	-8.302	-8.302	1.606	-0.264	0.442	2.092
GSE10325_MYELOID_VS_LUPUS_MYELOID_UP GSE10325_MYELOID_VS_LUPUS_MYELOID_UP	1.102	1.977	1.296	3.767	-8.094	-6.780	-5.768	-1.855	0.293	0.765	3.118
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN	1.390	1.606	-1.369	4.988	-3.768	-5.955	-6.977	-3.768	0.692	2.085	3.563
PTEN_DN.V1_DN PTEN_DN.V1_DN	0.798	1.358	-1.589	5.948	-7.594	-5.321	-6.307	-0.849	1.581	1.154	2.357
GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN GSE43863_TH1_VS_LY6C_INT_CXCR5POS_MEMORY_CD4_TCELL_DN	0.841	0.442	-0.457	2.627	-8.302	-5.955	-8.302	1.191	1.390	1.191	2.929
GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_DN GSE4811_CLASSSICALY_ACTIVATED_VS_TYPE_2_ACTIVATED_MACROPHAGE_DN	-0.351	2.349	-0.351	4.988	-5.109	-6.977	-8.302	-0.917	1.191	1.606	2.092
GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN GSE7568_CTRL_VS_24H_TGFB_TREATED_MACROPHAGES_WITH_IL4_AND_DEXAMETHASONE_DN	0.452	0.263	0.263	2.958	-5.917	-8.260	-6.938	-0.573	2.381	2.662	2.966
GSE27786_NKCELL_VS_ERYTHROBLAST_DN GSE27786_NKCELL_VS_ERYTHROBLAST_DN	1.838	2.349	0.558	1.191	-6.977	-5.955	-8.302	-0.264	-0.351	0.442	5.000
GSE37532_WT_VS_PPARG_KO_LN_TREG_DN GSE37532_WT_VS_PPARG_KO_LN_TREG_DN	0.353	0.827	-2.504	11.786	-3.975	-3.151	-5.100	-2.504	0.644	0.353	2.806
GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP GSE46606_UNSTIM_VS_CD40L_IL2_IL5_3DAY_STIMULATED_IRF4_KO_BCELL_UP	1.659	0.551	-1.007	9.560	-3.732	-4.408	-7.470	-0.633	-0.490	-0.633	4.113
KRAS.AMP.LUNG_UP.V1_UP KRAS.AMP.LUNG_UP.V1_UP	1.072	-0.579	0.536	9.279	-3.753	-4.629	-5.807	-2.480	-1.271	2.409	2.105
GSE39152_SPLEEN_CD103_NEG_VS_BRAIN_CD103_POS_MEMORY_CD8_TCELL_DN GSE39152_SPLEEN_CD103_NEG_VS_BRAIN_CD103_POS_MEMORY_CD8_TCELL_DN	-0.737	1.191	1.606	2.921	-5.955	-8.302	-6.977	1.191	1.008	0.442	2.356
GSE9037_WT_VS_IRAK4_KO_LPS_1H_STIM_BMDM_DN GSE9037_WT_VS_IRAK4_KO_LPS_1H_STIM_BMDM_DN	-0.573	3.269	0.452	3.595	-5.917	-6.938	-6.938	-0.573	2.115	0.350	2.388
NOTCH_DN.V1_DN NOTCH_DN.V1_DN	-0.301	0.967	-0.301	4.329	-3.830	-7.594	-7.594	-0.849	1.154	1.154	3.969
GSE15750_WT_VS_TRAF6KO_DAY6_EFF_CD8_TCELL_DN GSE15750_WT_VS_TRAF6KO_DAY6_EFF_CD8_TCELL_DN	0.692	1.838	0.341	1.390	-8.302	-6.977	-6.977	1.008	1.008	1.390	2.092
GSE37301_LYMPHOID_PRIMED_MPP_VS_RAG2_KO_NK_CELL_DN GSE37301_LYMPHOID_PRIMED_MPP_VS_RAG2_KO_NK_CELL_DN	-0.389	2.581	2.036	0.309	-6.701	-5.693	-8.011	0.405	0.960	0.796	3.865
GSE3982_NKCELL_VS_TH1_UP GSE3982_NKCELL_VS_TH1_UP	-0.301	0.780	0.942	0.396	-5.730	-8.052	-6.740	0.396	2.840	3.149	2.013
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_UP GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_UP	-0.437	2.995	0.463	1.656	-2.697	-8.219	-8.219	1.893	0.720	-0.561	2.704
KRAS.LUNG.BREAST_UP.V1_DN KRAS.LUNG.BREAST_UP.V1_DN	-0.593	1.513	-0.783	6.482	-3.789	-5.848	-4.667	-2.510	1.050	1.513	2.703
GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN GSE21546_UNSTIM_VS_ANTI_CD3_STIM_SAP1A_KO_AND_ELK1_KO_DP_THYMOCYTES_DN	-0.421	0.490	-1.343	9.672	-3.305	-3.895	-6.385	-1.094	0.379	2.569	2.022
ATM_DN.V1_DN ATM_DN.V1_DN	0.457	-0.370	-1.111	4.747	-4.861	-4.861	-4.861	-1.111	0.942	0.942	6.614
GSE20727_ROS_INH_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_DN GSE20727_ROS_INH_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_DN	0.908	-0.417	-0.684	11.999	-2.235	-4.968	-5.805	-0.538	-0.684	0.377	2.486
GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_UP GSE13485_DAY1_VS_DAY3_YF17D_VACCINE_PBMC_UP	1.820	0.399	-3.244	8.284	-3.830	-3.244	-5.321	-0.672	0.399	0.399	3.277
GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP GSE10147_IL3_AND_HIVP17_VS_IL3_AND_CPG_STIM_PDC_UP	-1.273	1.401	-0.789	2.819	-5.172	-5.172	-6.388	0.973	1.177	1.646	2.826
GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_DN GSE17974_IL4_AND_ANTI_IL12_VS_UNTREATED_4H_ACT_CD4_TCELL_DN	1.113	-0.421	0.619	2.569	-4.582	-4.582	-7.678	-1.343	1.113	2.284	3.195
GSE9988_LPS_VS_LOW_LPS_MONOCYTE_DN GSE9988_LPS_VS_LOW_LPS_MONOCYTE_DN	0.593	1.710	0.593	0.895	-6.464	-6.464	-5.470	-0.441	0.468	2.795	3.115
GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_WITH_IFNA_STIM_DN GSE1740_MCSF_VS_MCSF_AND_IFNG_DAY2_DERIVED_MACROPHAGE_WITH_IFNA_STIM_DN	-1.201	0.425	0.828	5.477	-6.622	-3.489	-5.619	0.425	2.096	-0.483	2.960
GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_STIMULATED_VS_UNSTIMULATED_0DY_VACCINATION_INDEPENDENT_DN GARCIA_PINERES_PBMC_HPV_16_L1_VLP_AGE_18_25YO_STIMULATED_VS_UNSTIMULATED_0DY_VACCINATION_INDEPENDENT_DN	-0.686	0.611	0.975	0.781	-5.599	-5.599	-5.599	-0.265	0.975	2.962	3.338
GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_UP GSE18791_UNSTIM_VS_NEWCATSLE_VIRUS_DC_1H_UP	0.606	0.277	-0.713	6.198	-3.336	-5.432	-5.432	-1.111	-0.326	3.476	2.541
DESCARTES_FETAL_ADRENAL_VASCULAR_ENDOTHELIAL_CELLS DESCARTES_FETAL_ADRENAL_VASCULAR_ENDOTHELIAL_CELLS	4.012	-0.538	-0.717	3.612	-3.646	-4.513	-4.513	-1.532	-0.395	0.744	4.440
BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN BLANCO_MELO_RESPIRATORY_SYNCYTIAL_VIRUS_INFECTION_A594_CELLS_DN	0.413	0.935	-0.311	1.415	-4.893	-3.784	-3.784	-1.430	-0.612	0.935	9.134
GSE11818_WT_VS_DICER_KO_TREG_UP GSE11818_WT_VS_DICER_KO_TREG_UP	0.597	0.759	0.457	4.326	-3.252	-6.056	-6.056	-1.111	1.148	0.339	2.828
GSE15624_CTRL_VS_6H_HALOFUGINONE_TREATED_CD4_TCELL_UP GSE15624_CTRL_VS_6H_HALOFUGINONE_TREATED_CD4_TCELL_UP	-1.144	0.997	1.727	2.015	-4.397	-5.557	-5.557	1.461	0.477	0.351	2.331
GSE45365_NK_CELL_VS_BCELL_DN GSE45365_NK_CELL_VS_BCELL_DN	-1.381	3.587	0.612	3.216	-3.219	-4.822	-6.014	-0.360	0.469	0.349	2.538
GSE37605_C57BL6_VS_NOD_FOXP3_IRES_GFP_TREG_UP GSE37605_C57BL6_VS_NOD_FOXP3_IRES_GFP_TREG_UP	0.880	0.694	-2.184	4.424	-3.398	-2.184	-4.243	-0.812	0.282	-0.448	6.332
GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP GSE41867_DAY8_VS_DAY15_LCMV_ARMSTRONG_EFFECTOR_CD8_TCELL_UP	1.657	1.034	1.034	1.899	-4.722	-4.026	-6.543	-0.595	0.343	0.343	3.359
GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_DN GSE40666_STAT1_KO_VS_STAT4_KO_CD8_TCELL_DN	-0.293	0.814	-0.512	3.651	-3.797	-5.284	-3.797	-1.285	0.814	2.384	2.994
NOUSHMEHR_GBM_SILENCED_BY_METHYLATION NOUSHMEHR_GBM_SILENCED_BY_METHYLATION	-1.293	-0.492	-2.071	1.460	-2.071	-2.071	-2.071	0.317	1.095	2.845	2.849
