GO	[-5.84 -0.55]	[-0.55 -0.28]	[-0.28 -0.14]	[-0.14 -0.04]	[-0.04 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.24]	[0.24 0.48]	[0.48 1.00]	[1.00 24.36]
NABA_ECM_GLYCOPROTEINS NABA_ECM_GLYCOPROTEINS	2.830	-0.844	-2.221	-2.630	-0.528	0.769	-1.551	-1.864	-1.046	3.805	3.778
NABA_ECM_AFFILIATED NABA_ECM_AFFILIATED	1.961	-0.509	-1.979	-1.979	-0.662	1.961	-1.064	-1.625	-0.662	-0.509	6.834
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS	1.249	-3.196	-0.523	-0.944	0.343	-1.232	-1.232	-0.944	-0.263	1.786	5.294
REACTOME_MUSCLE_CONTRACTION REACTOME_MUSCLE_CONTRACTION	1.305	-0.528	-1.551	-1.280	-1.551	-0.672	-1.280	-0.844	0.293	1.748	6.550
KEGG_CELL_ADHESION_MOLECULES_CAMS KEGG_CELL_ADHESION_MOLECULES_CAMS	0.679	-1.084	-2.220	-1.393	-1.084	-0.331	0.273	-1.767	1.071	1.303	5.279
REACTOME_ELASTIC_FIBRE_FORMATION REACTOME_ELASTIC_FIBRE_FORMATION	0.410	0.410	-0.676	-1.865	-1.865	-1.865	0.226	0.226	0.226	0.959	4.546
WP_OXIDATION_BY_CYTOCHROME_P450 WP_OXIDATION_BY_CYTOCHROME_P450	0.459	-0.315	-1.748	-0.507	1.596	0.288	-1.748	-1.181	-1.181	0.677	3.912
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX	1.303	-0.429	-0.997	-0.997	-1.609	0.875	-2.009	-1.275	0.292	2.112	2.738
REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES REACTOME_MOLECULES_ASSOCIATED_WITH_ELASTIC_FIBRES	0.339	0.584	-0.500	-1.575	-1.575	-1.575	-0.266	-0.266	0.339	0.899	3.385
WP_DIFFERENTIATION_PATHWAY WP_DIFFERENTIATION_PATHWAY	-0.256	-1.225	-1.225	-1.990	-0.256	1.182	-0.256	-0.256	-0.755	0.849	3.581
