GO	[-5.85 -0.55]	[-0.55 -0.28]	[-0.28 -0.14]	[-0.14 -0.03]	[-0.03 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.25]	[0.25 0.51]	[0.51 1.02]	[1.02 24.36]
GOMF_HORMONE_ACTIVITY GOMF_HORMONE_ACTIVITY	2.855	-3.944	-3.122	-3.944	2.855	5.448	-0.677	-2.477	-3.122	0.364	2.501
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1.307	-1.261	-2.304	-2.304	-1.261	-0.798	-2.304	-1.009	-0.261	6.106	6.577
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	2.229	-0.509	-1.976	-2.863	1.036	-0.845	0.318	-1.623	-2.386	1.954	4.250
GOMF_CARGO_RECEPTOR_ACTIVITY GOMF_CARGO_RECEPTOR_ACTIVITY	2.148	0.620	-1.549	-2.180	-3.111	-1.091	-0.753	-0.753	0.851	1.120	3.485
GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY GOMF_POTASSIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1.017	-0.435	-4.194	-0.435	0.388	0.660	-1.543	-2.852	-0.435	1.981	4.018
GOMF_HEPARIN_BINDING GOMF_HEPARIN_BINDING	0.966	-1.828	-1.201	-1.828	-0.328	0.966	-0.957	-1.489	-1.201	2.750	4.982
GOBP_ODONTOGENESIS GOBP_ODONTOGENESIS	-0.510	-0.255	-1.209	-1.985	0.644	-0.924	-1.985	-0.924	0.828	0.644	7.484
GOBP_REGULATION_OF_BLOOD_PRESSURE GOBP_REGULATION_OF_BLOOD_PRESSURE	-0.262	-1.487	-4.351	-0.976	-0.976	1.265	-0.776	-0.468	0.577	3.498	2.842
GOMF_SCAVENGER_RECEPTOR_ACTIVITY GOMF_SCAVENGER_RECEPTOR_ACTIVITY	2.562	0.597	-1.191	-1.948	-1.948	-0.431	-0.729	-1.191	0.370	0.370	3.692
GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION	1.395	-1.373	-2.342	-1.654	-0.739	-1.654	-0.739	0.341	1.612	1.010	4.639
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY	0.724	-0.865	-0.397	-2.363	-0.397	-0.865	-0.595	-2.363	0.353	2.695	4.115
GOBP_REGULATION_OF_CELL_SHAPE GOBP_REGULATION_OF_CELL_SHAPE	-1.520	-0.957	-0.567	1.740	-2.821	-1.883	-0.957	0.676	0.676	2.957	2.017
GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY GOMF_TRANSMEMBRANE_RECEPTOR_PROTEIN_TYROSINE_KINASE_ACTIVITY	1.325	-0.738	-0.470	-2.529	-0.470	-0.470	-0.738	-1.677	-0.287	1.325	4.696
GOMF_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY GOMF_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	3.047	0.278	-1.591	-1.591	-0.427	1.066	-1.591	-1.316	-1.316	0.597	3.703
GOMF_MONOOXYGENASE_ACTIVITY GOMF_MONOOXYGENASE_ACTIVITY	1.406	-0.537	-1.029	-1.381	0.359	0.359	-1.828	-1.029	-1.381	1.137	5.038
GOMF_POTASSIUM_CHANNEL_ACTIVITY GOMF_POTASSIUM_CHANNEL_ACTIVITY	0.892	0.272	-3.867	-0.469	0.272	1.358	-1.482	-1.900	-0.332	0.892	2.956
GOBP_ENDOTHELIAL_CELL_PROLIFERATION GOBP_ENDOTHELIAL_CELL_PROLIFERATION	0.325	-2.118	-0.785	-0.978	1.390	1.849	-1.770	-0.978	-1.204	0.999	3.622
HP_JOINT_STIFFNESS HP_JOINT_STIFFNESS	0.769	0.769	1.804	-0.926	-0.926	-4.246	-0.732	-0.436	1.335	-1.155	2.069
GOMF_STEROID_HYDROXYLASE_ACTIVITY GOMF_STEROID_HYDROXYLASE_ACTIVITY	1.278	-0.266	-1.575	-0.500	-0.266	0.898	-1.575	-0.500	-1.575	0.339	3.395
