GO	[-22.20 -0.67]	[-0.67 -0.24]	[-0.24 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.16]	[0.16 0.48]	[0.48 1.01]	[1.01 24.36]
GSE21774_CD62L_POS_CD56_DIM_VS_CD62L_NEG_CD56_DIM_NK_CELL_UP GSE21774_CD62L_POS_CD56_DIM_VS_CD62L_NEG_CD56_DIM_NK_CELL_UP	-1.628	2.958	0.571	-3.197	-8.260	-8.260	-5.917	1.865	3.595	2.958	3.604
ERBB2_UP.V1_UP ERBB2_UP.V1_UP	-2.087	-0.769	0.691	-1.743	-5.581	-5.581	-4.059	0.334	6.387	5.954	4.002
DESCARTES_FETAL_PLACENTA_MEGAKARYOCYTES DESCARTES_FETAL_PLACENTA_MEGAKARYOCYTES	-0.573	0.350	2.662	-3.197	-6.938	-2.724	-8.260	1.026	2.115	4.658	2.388
BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN	-0.633	3.396	0.690	-1.007	-6.189	-6.189	-5.210	-0.372	2.751	2.171	3.073
MIR6887_3P MIR6887_3P	-0.827	1.531	2.006	-0.827	-6.740	-6.740	-4.191	2.006	2.006	-0.301	4.174
DURAND_STROMA_NS_UP DURAND_STROMA_NS_UP	-0.620	1.095	2.324	-2.767	-3.315	-4.731	-3.960	-1.258	2.942	2.624	3.637
GSE22935_WT_VS_MYD88_KO_MACROPHAGE_DN GSE22935_WT_VS_MYD88_KO_MACROPHAGE_DN	-0.457	1.008	2.921	-0.351	-3.226	-5.955	-4.390	-0.917	2.349	0.442	4.253
GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_UP GSE23321_CD8_STEM_CELL_MEMORY_VS_CENTRAL_MEMORY_CD8_TCELL_UP	1.211	1.026	1.026	-1.350	-3.737	-4.357	-3.737	-0.902	2.381	-0.342	6.280
DESCARTES_MAIN_FETAL_IGFBP1_DKK1_POSITIVE_CELLS DESCARTES_MAIN_FETAL_IGFBP1_DKK1_POSITIVE_CELLS	-0.907	0.497	-0.716	-2.489	-3.539	-2.489	-1.710	-0.716	2.983	2.669	7.488
GSE37301_LYMPHOID_PRIMED_MPP_VS_RAG2_KO_NK_CELL_DN GSE37301_LYMPHOID_PRIMED_MPP_VS_RAG2_KO_NK_CELL_DN	-0.389	2.581	2.036	-3.551	-4.158	-2.563	-4.158	0.519	0.960	0.796	3.865
GSE22601_DOUBLE_NEGATIVE_VS_IMMATURE_CD4_SP_THYMOCYTE_DN GSE22601_DOUBLE_NEGATIVE_VS_IMMATURE_CD4_SP_THYMOCYTE_DN	-0.886	-0.334	5.093	-0.561	-3.706	-3.168	-3.706	-0.437	3.309	0.359	2.704
GOMF_CARGO_RECEPTOR_ACTIVITY GOMF_CARGO_RECEPTOR_ACTIVITY	1.119	1.767	-1.547	-3.108	-1.547	-3.108	-2.178	-0.752	1.425	1.767	3.481
MEISSNER_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3 MEISSNER_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3	0.813	-0.340	0.643	-3.860	-2.570	-1.052	-3.153	-0.816	0.495	2.613	6.343
DESCARTES_FETAL_PLACENTA_EXTRAVILLOUS_TROPHOBLASTS DESCARTES_FETAL_PLACENTA_EXTRAVILLOUS_TROPHOBLASTS	0.965	0.499	-2.942	-2.033	-2.033	-0.985	-0.276	-1.423	-0.438	3.275	4.890
MYC_UP.V1_DN MYC_UP.V1_DN	-0.532	1.886	1.189	-2.914	-1.664	-2.434	-3.474	-0.301	0.994	2.155	2.448
BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN BLANCO_MELO_HUMAN_PARAINFLUENZA_VIRUS_3_INFECTION_A594_CELLS_DN	0.376	-0.343	0.263	-0.884	-1.925	-3.082	-1.925	-0.482	1.085	0.515	8.223
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN GSE41176_UNSTIM_VS_ANTI_IGM_STIM_TAK1_KO_BCELL_3H_DN	1.390	1.606	-1.649	-1.127	-1.127	-3.768	-0.737	-1.969	0.692	2.085	3.563
DESCARTES_FETAL_PLACENTA_PAEP_MECOM_POSITIVE_CELLS DESCARTES_FETAL_PLACENTA_PAEP_MECOM_POSITIVE_CELLS	6.142	0.925	-0.606	-2.272	-2.738	-0.990	-1.530	-0.781	0.468	0.260	2.365
MUELLER_METHYLATED_IN_GLIOBLASTOMA MUELLER_METHYLATED_IN_GLIOBLASTOMA	-1.781	-0.624	-0.624	-0.354	-1.781	-1.781	1.039	-0.624	0.715	0.453	6.298
RICKMAN_HEAD_AND_NECK_CANCER_B RICKMAN_HEAD_AND_NECK_CANCER_B	0.246	-0.948	-0.948	-0.948	0.246	-2.279	-0.948	-0.600	0.637	0.637	7.517
GSE25502_WT_VS_KLF13_KO_THYMIC_MEMORY_LIKE_CD8_TCELL_DN GSE25502_WT_VS_KLF13_KO_THYMIC_MEMORY_LIKE_CD8_TCELL_DN	0.277	0.750	-0.326	0.479	-3.336	-1.363	-2.378	-1.363	1.290	1.986	2.840
GSE37605_C57BL6_VS_NOD_FOXP3_IRES_GFP_TREG_UP GSE37605_C57BL6_VS_NOD_FOXP3_IRES_GFP_TREG_UP	0.880	0.694	-2.184	-0.609	-0.609	-1.736	-0.609	-0.448	0.282	-0.448	6.332
MIKKELSEN_IPS_ICP_WITH_H3K27ME3 MIKKELSEN_IPS_ICP_WITH_H3K27ME3	0.910	1.231	-0.948	-2.279	-0.600	0.416	-0.365	-1.465	0.416	-0.948	3.514
DESCARTES_MAIN_FETAL_PDE11A_FAM19A2_POSITIVE_CELLS DESCARTES_MAIN_FETAL_PDE11A_FAM19A2_POSITIVE_CELLS	1.222	-0.454	-1.454	-2.069	-0.688	0.935	-0.454	0.314	-2.069	1.547	2.311
MIR4322 MIR4322	0.359	-0.476	0.940	-1.532	-0.476	-1.532	-0.860	-0.476	0.940	-0.250	3.504
GSE40493_BCL6_KO_VS_WT_TREG_DN GSE40493_BCL6_KO_VS_WT_TREG_DN	1.762	-0.291	-2.284	0.311	-0.581	-0.791	-0.791	-1.380	-0.291	0.774	3.558
REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL REACTOME_SYNTHESIS_OF_BILE_ACIDS_AND_BILE_SALTS_VIA_24_HYDROXYCHOLESTEROL	-0.199	-0.580	-0.199	-0.580	-0.580	-0.199	-0.580	0.434	-0.580	0.892	3.054
