GO	[-4.51 -0.55]	[-0.55 -0.23]	[-0.23 -0.11]	[-0.11 -0.02]	[-0.02 0.00]	[0.00 0.02]	[0.02 0.10]	[0.10 0.19]	[0.19 0.33]	[0.33 0.69]	[0.69 5.34]
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS	-2.038	-1.510	8.572	10.708	-0.247	-1.510	-0.555	-1.510	-1.105	-2.038	-3.769
WP_MRNA_PROCESSING WP_MRNA_PROCESSING	-5.553	-1.446	2.396	3.886	0.256	-0.869	3.482	1.256	-0.869	-1.446	-3.558
WP_ALZHEIMERS_DISEASE WP_ALZHEIMERS_DISEASE	-1.482	-2.270	-0.714	-1.179	8.624	5.544	-0.542	-2.270	0.557	-1.482	-0.728
WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK WP_DNA_REPAIR_PATHWAYS_FULL_NETWORK	-3.102	0.517	2.932	2.223	-1.937	-2.457	4.165	0.517	-0.343	-0.888	-3.128
WP_CELL_DIFFERENTIATION_INDEX_EXPANDED WP_CELL_DIFFERENTIATION_INDEX_EXPANDED	-0.285	-0.810	-1.295	-0.285	2.861	8.414	-2.076	-0.492	-0.492	-2.076	-1.305
WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR WP_DNA_IRDAMAGE_AND_CELLULAR_RESPONSE_VIA_ATR	-1.256	-0.412	1.525	1.215	-1.256	-3.370	3.095	1.868	0.941	-1.744	-3.390
WP_CELL_DIFFERENTIATION_INDEX WP_CELL_DIFFERENTIATION_INDEX	-0.336	-1.025	-1.025	-0.336	1.935	9.117	-1.742	-0.599	-0.336	-1.742	-1.033
WP_PARKINSONS_DISEASE_PATHWAY WP_PARKINSONS_DISEASE_PATHWAY	-0.959	-1.339	-1.339	-0.301	6.034	6.034	-1.339	-0.672	-0.458	-0.959	-1.353
WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA	-2.579	-0.851	-0.301	2.534	0.301	-0.301	3.764	1.536	0.434	-3.347	-3.371
WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY WP_OVERVIEW_OF_INTERFERONSMEDIATED_SIGNALING_PATHWAY	-1.535	-0.250	-1.535	0.359	6.544	1.794	-1.535	-0.861	0.359	-0.477	-1.544
WP_ROLE_OF_OSX_AND_MIRNAS_IN_TOOTH_DEVELOPMENT WP_ROLE_OF_OSX_AND_MIRNAS_IN_TOOTH_DEVELOPMENT	-0.453	0.647	-1.493	-0.453	2.988	5.883	-1.493	-0.829	-0.829	-1.493	-0.836
WP_VITAMIN_D_RECEPTOR_PATHWAY WP_VITAMIN_D_RECEPTOR_PATHWAY	-0.317	-1.356	-1.988	-0.887	0.624	1.552	-1.103	-1.649	-1.649	2.050	5.899
WP_OXIDATIVE_PHOSPHORYLATION WP_OXIDATIVE_PHOSPHORYLATION	-2.576	-0.489	-0.763	2.489	-0.489	0.479	2.489	2.048	-0.300	-2.576	-1.729
WP_LEPTIN_SIGNALING_PATHWAY WP_LEPTIN_SIGNALING_PATHWAY	-3.161	0.265	2.109	0.600	-3.161	-0.776	3.939	0.413	-0.340	-0.340	-0.786
WP_PROTEASOME_DEGRADATION WP_PROTEASOME_DEGRADATION	-2.659	-1.213	0.275	0.441	-0.811	-0.527	4.426	1.211	1.939	-1.213	-1.801
WP_DNA_REPLICATION WP_DNA_REPLICATION	-1.742	-0.599	-0.336	5.709	-0.336	-0.599	0.750	0.269	1.087	-1.742	-1.753
WP_RETINOBLASTOMA_GENE_IN_CANCER WP_RETINOBLASTOMA_GENE_IN_CANCER	-3.663	-0.522	0.559	2.279	-1.972	-0.522	0.559	1.271	1.271	0.763	-2.687
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	-0.942	5.411	0.413	0.578	-1.281	-4.040	0.775	0.413	-0.942	0.413	-0.689
WP_METASTATIC_BRAIN_TUMOR WP_METASTATIC_BRAIN_TUMOR	-1.161	-0.580	-0.279	-1.161	4.787	2.572	-0.279	-1.161	0.324	-0.580	-1.168
WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE WP_MIRNAS_INVOLVED_IN_DNA_DAMAGE_RESPONSE	0.318	-0.810	-0.810	-0.810	4.013	3.416	-1.295	-0.492	0.318	-0.492	-2.088
WP_MIRNAS_INVOLVEMENT_IN_THE_IMMUNE_RESPONSE_IN_SEPSIS WP_MIRNAS_INVOLVEMENT_IN_THE_IMMUNE_RESPONSE_IN_SEPSIS	-1.183	-1.751	-1.183	-0.315	2.425	5.133	-0.787	-1.183	-0.315	-0.508	0.669
WP_INTEGRATED_BREAST_CANCER_PATHWAY WP_INTEGRATED_BREAST_CANCER_PATHWAY	-2.413	0.797	3.211	0.983	-1.282	-2.933	0.368	1.190	0.797	-1.599	-0.347
WP_CILIOPATHIES WP_CILIOPATHIES	0.568	4.237	0.568	-0.794	-2.655	-3.739	0.442	0.568	0.711	-0.269	-0.636
WP_MIRNA_REGULATION_OF_PROSTATE_CANCER_SIGNALING_PATHWAYS WP_MIRNA_REGULATION_OF_PROSTATE_CANCER_SIGNALING_PATHWAYS	-0.692	-0.692	1.417	-2.451	3.739	1.800	-0.260	-0.692	-0.692	-1.065	-0.440
WP_DNA_IRDOUBLE_STRAND_BREAKS_DSBS_AND_CELLULAR_RESPONSE_VIA_ATM WP_DNA_IRDOUBLE_STRAND_BREAKS_DSBS_AND_CELLULAR_RESPONSE_VIA_ATM	-0.950	-0.600	2.486	2.025	-0.950	-2.284	2.025	0.416	-0.600	-0.950	-0.607
WP_NUCLEOTIDE_EXCISION_REPAIR WP_NUCLEOTIDE_EXCISION_REPAIR	-1.091	0.240	2.820	1.375	-1.091	-1.091	1.805	-0.373	0.431	-1.826	-1.100
WP_TRANSLATION_FACTORS WP_TRANSLATION_FACTORS	-1.399	-0.332	1.324	3.152	-0.893	-0.556	0.693	1.324	-0.556	-0.893	-2.214
WP_CELL_CYCLE WP_CELL_CYCLE	-1.539	-0.907	1.576	1.310	-2.489	-0.678	0.502	2.182	1.069	0.254	-1.987
WP_16P112_PROXIMAL_DELETION_SYNDROME WP_16P112_PROXIMAL_DELETION_SYNDROME	-2.185	0.622	0.429	0.277	-3.119	-1.552	0.854	2.161	0.622	0.622	-0.333
WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY WP_B_CELL_RECEPTOR_SIGNALING_PATHWAY	-0.697	0.399	2.548	0.560	-3.043	-1.745	1.832	-0.491	0.977	-0.491	-0.708
