GO	[-5.99 -0.71]	[-0.71 -0.30]	[-0.30 -0.12]	[-0.12 -0.01]	[-0.01 0.00]	[0.00 0.00]	[0.00 0.04]	[0.04 0.16]	[0.16 0.31]	[0.31 0.68]	[0.68 6.04]
MIR940 MIR940	-1.267	0.676	4.062	-0.382	-2.686	-3.188	-1.874	1.005	-0.382	0.676	2.151
TAAWWATAG_RSRFC4_Q2 TAAWWATAG_RSRFC4_Q2	-0.860	1.429	1.014	-0.521	-2.409	-4.102	-1.643	0.534	0.309	1.919	2.489
MIR6890_3P MIR6890_3P	-1.533	-0.571	2.118	0.349	-1.533	-2.768	-0.571	1.168	0.693	-0.390	2.124
NKX22_01 NKX22_01	0.663	0.979	0.530	2.068	-1.221	-2.998	-0.993	-0.379	0.317	-1.789	2.077
AHRARNT_01 AHRARNT_01	-1.316	-0.330	-0.330	0.274	-1.316	-3.123	-0.608	1.246	0.380	2.334	2.038
NRSF_01 NRSF_01	1.858	0.279	-0.939	0.575	0.412	0.412	-0.939	-1.708	-1.708	-0.939	3.409
CAGNWMCNNNGAC_UNKNOWN CAGNWMCNNNGAC_UNKNOWN	1.023	0.576	-0.505	0.782	-0.338	0.267	-1.932	-1.028	-1.419	-1.028	4.086
AR_Q2 AR_Q2	-0.982	0.768	1.711	-0.743	-3.259	-0.982	-0.400	1.191	-0.551	0.321	2.013
RYCACNNRNNRNCAG_UNKNOWN RYCACNNRNNRNCAG_UNKNOWN	-0.341	-1.117	0.412	0.823	-0.341	-3.151	-1.117	1.087	-0.523	0.823	2.100
ARGGGTTAA_UNKNOWN ARGGGTTAA_UNKNOWN	0.848	-0.904	0.500	0.254	-0.904	-3.119	-0.677	-0.677	0.848	0.500	3.238
RTTTNNNYTGGM_UNKNOWN RTTTNNNYTGGM_UNKNOWN	-0.358	1.351	0.756	0.347	-0.822	-3.590	-1.316	-0.482	-0.260	0.756	2.135
FREAC4_01 FREAC4_01	0.500	0.377	0.808	0.377	-0.992	-3.489	-0.992	-0.594	0.500	0.644	2.240
