GO	[-4.40 -0.40]	[-0.40 -0.18]	[-0.18 -0.10]	[-0.10 -0.03]	[-0.03 0.00]	[0.00 0.03]	[0.03 0.09]	[0.09 0.15]	[0.15 0.25]	[0.25 0.48]	[0.48 4.63]
MORF_NPM1 MORF_NPM1	-5.574	-0.311	6.152	7.134	0.520	-0.729	0.665	0.831	-1.466	-4.626	-6.825
GNF2_HPX GNF2_HPX	5.612	-0.375	-1.180	-3.625	1.455	0.340	-4.496	-3.625	-1.504	0.466	5.612
GNF2_CCNB2 GNF2_CCNB2	-2.374	-2.374	-1.543	-1.010	-1.543	-0.647	-1.543	2.845	4.540	5.855	-1.010
MORF_MAP2K7 MORF_MAP2K7	5.410	-0.384	-2.294	-3.840	1.435	1.923	-1.909	-3.249	-1.576	0.317	3.116
GNF2_KPNB1 GNF2_KPNB1	-3.045	-1.044	0.301	0.667	0.911	1.519	3.674	-0.301	0.667	-3.045	-3.045
MORF_PRKAR1A MORF_PRKAR1A	-2.117	-2.117	0.265	1.481	-0.341	-0.628	3.784	3.784	0.497	-1.356	-3.919
MORF_LCAT MORF_LCAT	6.263	-0.489	-1.137	-2.304	1.790	-1.137	-2.304	-1.840	-0.661	0.648	2.090
GCM_HBP1 GCM_HBP1	-2.919	-0.965	0.342	2.903	-0.649	0.342	4.468	-0.423	0.342	-0.649	-2.919
GNF2_MAPT GNF2_MAPT	7.546	-0.994	-1.704	-0.318	-0.318	-0.318	-0.994	-1.704	0.285	-0.575	1.133
GNF2_IGFBP1 GNF2_IGFBP1	0.403	-1.454	-1.454	-1.454	0.403	3.100	-0.798	-0.798	-0.798	0.681	2.491
MORF_CDC16 MORF_CDC16	-3.087	0.288	1.161	2.222	0.288	1.161	0.288	0.446	0.288	-1.527	-3.087
GNF2_MYL2 GNF2_MYL2	0.795	-0.703	-0.703	-0.703	1.653	0.247	-1.329	-0.703	-1.329	-0.703	4.941
GNF2_CDH3 GNF2_CDH3	0.346	-1.121	-1.121	-1.121	-0.260	1.034	-1.121	-0.551	-0.551	0.645	4.978
GNF2_HCK GNF2_HCK	-2.148	1.118	-0.420	-0.609	-2.148	-0.860	-0.860	0.324	0.324	3.257	2.053
MORF_EIF4E MORF_EIF4E	-2.565	-0.475	0.435	-0.475	0.289	0.618	1.378	0.618	2.057	-0.314	-3.551
MORF_GMPS MORF_GMPS	-1.403	-0.558	-0.558	0.693	0.272	0.456	4.983	-0.558	-0.332	0.272	-2.206
GNF2_STAT6 GNF2_STAT6	-2.342	-1.206	-0.384	0.540	-0.384	-2.342	1.287	2.360	0.751	1.001	-0.579
GNF2_SPRR1B GNF2_SPRR1B	-0.996	-0.204	-0.463	-0.996	0.773	4.673	-0.996	-0.463	-0.463	0.426	-0.204
MORF_CSNK1D MORF_CSNK1D	-0.965	0.740	0.342	0.740	-1.401	-1.401	1.306	1.003	0.520	0.740	-2.919
GNF2_CDH11 GNF2_CDH11	2.258	-0.222	-0.222	-1.038	-1.038	-0.492	-0.492	-0.492	-1.038	0.727	2.258
CAR_TNFRSF25 CAR_TNFRSF25	1.803	-0.321	-1.246	-1.246	0.282	-0.321	-1.246	0.282	0.882	-0.641	1.803
GCM_PRKCG GCM_PRKCG	0.678	0.678	-1.187	-1.187	0.287	2.433	-1.757	-0.789	-1.187	0.942	0.942
GNF2_SPINK1 GNF2_SPINK1	1.583	-0.521	-1.079	-0.521	0.685	2.156	-1.079	-0.521	-1.079	-0.241	0.685
