GO	[-3.88 -0.56]	[-0.56 -0.26]	[-0.26 -0.14]	[-0.14 -0.05]	[-0.05 0.00]	[0.00 0.02]	[0.02 0.10]	[0.10 0.19]	[0.19 0.33]	[0.33 0.67]	[0.67 3.97]
HP_ABNORMALITY_OF_THE_MITOCHONDRION HP_ABNORMALITY_OF_THE_MITOCHONDRION	-5.981	-0.695	-0.886	0.527	1.939	-0.886	3.168	4.680	-0.536	-0.406	-3.024
HP_INCREASED_SERUM_LACTATE HP_INCREASED_SERUM_LACTATE	-3.344	-0.693	-0.540	0.642	1.159	-1.982	4.849	3.345	0.293	-0.877	-2.878
HP_LACTIC_ACIDOSIS HP_LACTIC_ACIDOSIS	-2.084	0.515	-0.416	0.293	1.908	-2.509	1.412	4.225	-0.309	-0.903	-2.558
HP_INCREASED_CSF_LACTATE HP_INCREASED_CSF_LACTATE	-2.385	-0.737	-0.737	0.713	1.458	-1.013	4.202	2.470	-1.365	-0.737	-1.391
HP_ABNORMAL_ACTIVITY_OF_MITOCHONDRIAL_RESPIRATORY_CHAIN HP_ABNORMAL_ACTIVITY_OF_MITOCHONDRIAL_RESPIRATORY_CHAIN	-3.592	-0.490	-0.325	0.278	1.063	-0.713	1.665	3.255	0.278	-0.325	-2.635
HP_ABNORMAL_CSF_METABOLITE_LEVEL HP_ABNORMAL_CSF_METABOLITE_LEVEL	-3.049	-0.853	-0.457	0.724	0.925	-0.853	4.812	1.690	-0.632	-0.853	-1.156
HP_PARAGANGLIOMA HP_PARAGANGLIOMA	-0.829	-0.829	0.256	-0.829	0.994	-0.829	0.994	4.583	-0.351	-0.829	-0.837
HP_THROMBOCYTOSIS HP_THROMBOCYTOSIS	-1.297	-2.080	0.785	3.434	1.102	-0.285	-0.285	0.523	0.318	-0.811	-2.101
HP_MITOCHONDRIAL_RESPIRATORY_CHAIN_DEFECTS HP_MITOCHONDRIAL_RESPIRATORY_CHAIN_DEFECTS	-0.746	-0.746	-0.746	-0.298	0.656	-0.298	4.078	1.719	-0.746	-0.746	-0.754
HP_DECREASED_ACTIVITY_OF_MITOCHONDRIAL_COMPLEX_I HP_DECREASED_ACTIVITY_OF_MITOCHONDRIAL_COMPLEX_I	-2.080	0.318	0.318	0.523	0.523	-0.811	-0.285	4.678	0.318	-0.811	-2.101
