GO	[-25.09 -0.74]	[-0.74 -0.27]	[-0.27 -0.07]	[-0.07 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.28]	[0.28 0.62]	[0.62 7.89]
MORF_ANP32B MORF_ANP32B	-6.898	-3.168	9.652	5.093	-8.219	-8.219	-8.219	9.652	11.813	-4.323	-6.889
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX	-3.587	-3.587	-6.472	-5.250	51.846	4.179	-1.315	-0.821	-4.330	-3.587	-2.003
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN	-5.992	-3.255	5.327	1.368	-8.344	-8.344	-8.344	7.941	16.321	0.825	-8.334
GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP	-6.819	-4.968	3.724	0.750	-6.819	-8.135	-8.135	5.200	22.467	0.750	-2.637
GSE22886_NEUTROPHIL_VS_DC_DN GSE22886_NEUTROPHIL_VS_DC_DN	-6.977	-1.369	7.084	2.085	-6.977	-8.302	-8.302	11.079	8.987	-0.457	-6.968
GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_UP GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_UP	-8.177	-0.427	7.283	1.682	-8.177	-8.177	-8.177	6.389	10.796	0.368	-6.849
GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	-6.977	-0.351	3.553	2.085	-6.977	-8.302	-8.302	13.352	9.493	-0.737	-6.968
GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN	-5.880	1.045	9.652	2.413	-8.219	-8.219	-8.219	-0.334	17.320	-1.092	-4.316
GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP	-8.260	-1.946	4.290	1.413	-8.260	-8.260	-8.260	5.041	12.864	2.958	-4.349
GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_DN GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_DN	-8.302	-0.457	2.921	1.390	-8.302	-8.302	-8.302	6.639	16.435	-0.264	-3.219
