GO	[-5.78 -0.58]	[-0.58 -0.24]	[-0.24 -0.11]	[-0.11 -0.02]	[-0.02 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.17]	[0.17 0.32]	[0.32 0.67]	[0.67 6.04]
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	4.810	0.739	-1.009	-1.555	-1.555	-1.009	-3.323	-1.260	-1.555	2.051	4.788
GOBP_CHLORIDE_TRANSPORT GOBP_CHLORIDE_TRANSPORT	0.543	2.376	-0.667	-2.670	-2.670	-0.479	-2.070	-0.479	-0.334	1.428	3.972
GOBP_NEGATIVE_CHEMOTAXIS GOBP_NEGATIVE_CHEMOTAXIS	0.625	0.389	0.625	-1.906	-0.411	-1.906	-1.906	-1.157	0.389	1.679	2.634
GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	1.046	0.841	0.373	-2.798	-1.792	-1.415	-2.246	0.661	-0.341	1.525	2.742
GOBP_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION GOBP_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	0.868	0.335	0.441	-1.830	-1.830	-2.203	-2.203	0.565	0.441	1.460	3.790
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_WOUNDING	-0.247	-0.247	-0.791	-1.101	-1.101	0.942	-1.505	-1.505	-0.791	3.403	3.389
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	2.265	0.629	-0.477	-1.073	-0.834	-0.637	-1.361	-1.073	-2.116	1.690	3.262
GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING GOBP_REGULATION_OF_RESPONSE_TO_WOUNDING	0.631	0.493	-0.751	-1.489	-1.827	1.164	-1.489	-0.956	-0.956	1.874	3.774
GOBP_REGULATION_OF_EXOCYTOSIS GOBP_REGULATION_OF_EXOCYTOSIS	1.490	-0.539	0.286	-0.685	-1.883	-3.119	0.911	1.959	-1.297	-0.317	2.204
GOBP_REGULATION_OF_AXONOGENESIS GOBP_REGULATION_OF_AXONOGENESIS	0.527	0.676	0.847	-2.312	-1.519	-1.883	-1.519	-0.310	0.527	1.039	3.296
