GO	[-5.99 -0.73]	[-0.73 -0.33]	[-0.33 -0.15]	[-0.15 -0.05]	[-0.05 0.00]	[0.00 0.01]	[0.01 0.10]	[0.10 0.21]	[0.21 0.36]	[0.36 0.75]	[0.75 6.04]
DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS	4.863	-1.534	-1.534	-5.654	0.755	7.622	-1.877	-3.937	-0.992	0.260	1.565
DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES	3.133	-0.479	0.270	-3.448	1.164	4.929	-3.448	-3.448	-0.909	-1.594	1.719
DESCARTES_FETAL_INTESTINE_CHROMAFFIN_CELLS DESCARTES_FETAL_INTESTINE_CHROMAFFIN_CELLS	3.799	-0.971	-1.676	-2.163	0.496	6.243	-2.163	-3.562	-0.720	0.356	0.861
DESCARTES_FETAL_KIDNEY_STROMAL_CELLS DESCARTES_FETAL_KIDNEY_STROMAL_CELLS	2.875	-0.851	-1.731	-1.731	-1.093	3.992	-2.637	-2.637	-0.258	-0.490	5.279
DESCARTES_FETAL_INTESTINE_ENS_NEURONS DESCARTES_FETAL_INTESTINE_ENS_NEURONS	5.156	-0.906	-0.301	-2.144	0.406	5.156	-3.134	-1.756	-1.424	-0.906	1.028
DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS	4.418	-0.975	-0.975	-1.909	0.283	4.837	-4.195	-1.234	-1.234	1.227	0.389
DESCARTES_FETAL_PANCREAS_ENS_NEURONS DESCARTES_FETAL_PANCREAS_ENS_NEURONS	3.838	0.284	-0.568	-2.197	-0.568	3.838	-3.197	-2.197	-0.940	-0.568	2.480
DESCARTES_FETAL_STOMACH_MUC13_DMBT1_POSITIVE_CELLS DESCARTES_FETAL_STOMACH_MUC13_DMBT1_POSITIVE_CELLS	3.925	0.290	-0.918	-1.252	-0.312	4.408	-3.985	-2.231	-0.312	-0.312	0.291
DESCARTES_FETAL_ADRENAL_SYMPATHOBLASTS DESCARTES_FETAL_ADRENAL_SYMPATHOBLASTS	3.157	-0.417	-0.792	-1.787	-0.792	4.910	-1.787	-2.913	-0.582	-0.291	1.482
DESCARTES_FETAL_CEREBRUM_OLIGODENDROCYTES DESCARTES_FETAL_CEREBRUM_OLIGODENDROCYTES	4.707	-1.038	-0.471	-1.486	0.463	2.682	-1.486	-2.107	-2.107	-0.301	1.190
DESCARTES_FETAL_CEREBELLUM_ASTROCYTES DESCARTES_FETAL_CEREBELLUM_ASTROCYTES	2.477	-0.568	-0.568	-3.834	0.805	2.791	-2.657	-1.804	0.284	-0.568	2.184
DESCARTES_MAIN_FETAL_PHOTORECEPTOR_CELLS DESCARTES_MAIN_FETAL_PHOTORECEPTOR_CELLS	2.206	-0.677	-0.940	-0.940	0.279	4.835	-2.995	-1.709	-1.277	-0.324	1.863
DESCARTES_FETAL_MUSCLE_SCHWANN_CELLS DESCARTES_FETAL_MUSCLE_SCHWANN_CELLS	3.157	1.480	-0.417	-2.288	0.594	-0.291	-1.787	-2.913	-1.055	-0.417	2.777
DESCARTES_FETAL_LIVER_LYMPHOID_CELLS DESCARTES_FETAL_LIVER_LYMPHOID_CELLS	2.715	1.471	-2.043	-0.963	0.331	-0.727	-2.043	-2.573	-0.388	1.219	2.050
DESCARTES_FETAL_CEREBRUM_INHIBITORY_NEURONS DESCARTES_FETAL_CEREBRUM_INHIBITORY_NEURONS	3.104	-0.242	-0.729	-1.948	-0.242	3.690	0.370	-1.191	-1.191	-1.191	-0.241
DESCARTES_FETAL_SPLEEN_LYMPHOID_CELLS DESCARTES_FETAL_SPLEEN_LYMPHOID_CELLS	2.455	1.532	-0.693	-1.986	0.353	-0.924	-1.209	-3.157	0.644	2.455	-0.365
DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS	2.215	0.660	-2.171	-1.446	-0.310	1.209	-2.171	-2.628	0.292	1.431	1.434
DESCARTES_FETAL_PLACENTA_PAEP_MECOM_POSITIVE_CELLS DESCARTES_FETAL_PLACENTA_PAEP_MECOM_POSITIVE_CELLS	3.693	0.927	-0.463	-1.241	-0.992	-1.241	-2.745	-0.992	0.602	0.260	2.677
DESCARTES_FETAL_LUNG_NEUROENDOCRINE_CELLS DESCARTES_FETAL_LUNG_NEUROENDOCRINE_CELLS	2.215	-0.771	-1.477	-1.999	1.232	1.857	-1.999	-1.477	-0.364	1.529	0.377
DESCARTES_FETAL_HEART_SATB2_LRRC7_POSITIVE_CELLS DESCARTES_FETAL_HEART_SATB2_LRRC7_POSITIVE_CELLS	4.180	0.838	-0.738	-1.309	-0.738	-0.262	-1.704	-1.704	-0.992	0.481	2.553
DESCARTES_FETAL_HEART_EPICARDIAL_FAT_CELLS DESCARTES_FETAL_HEART_EPICARDIAL_FAT_CELLS	3.922	0.380	-1.237	-1.622	0.702	1.681	-1.622	-1.237	-0.930	-0.930	1.397
