GO	[-5.99 -0.79]	[-0.79 -0.28]	[-0.28 -0.07]	[-0.07 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.29]	[0.29 0.63]	[0.63 6.04]
MORF_DAP3 MORF_DAP3	-8.094	-1.855	9.377	2.237	-8.094	-8.094	-8.094	10.972	14.470	-4.933	-6.771
HALLMARK_MYC_TARGETS_V1 HALLMARK_MYC_TARGETS_V1	-8.302	-1.369	7.542	8.493	-8.302	-8.302	-8.302	10.010	8.987	-5.955	-6.968
MORF_NPM1 MORF_NPM1	-6.721	-3.790	20.802	8.413	-6.721	-6.721	-6.721	5.071	2.819	-6.721	-6.713
MORF_ANP32B MORF_ANP32B	-8.219	-2.697	7.216	6.328	-8.219	-8.219	-8.219	12.382	9.652	-4.323	-5.871
MORF_CTBP1 MORF_CTBP1	-6.971	-2.796	4.329	1.074	-6.971	-6.971	-6.971	16.319	16.319	-5.718	-5.710
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_CD8_TCELL_DN	-8.344	-3.799	5.731	2.593	-8.344	-8.344	-8.344	6.577	14.448	1.368	-8.334
MORF_G22P1 MORF_G22P1	-7.137	-2.914	7.135	4.910	-7.137	-7.137	-7.137	11.413	10.265	-5.875	-5.867
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	-7.803	-3.397	7.432	3.731	-7.803	-7.803	-7.803	11.610	9.952	-1.698	-5.499
GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	-8.302	-2.751	11.631	10.010	-6.977	-8.302	-8.302	3.553	8.011	-1.969	-5.101
MORF_RAB1A MORF_RAB1A	-6.622	-2.112	6.769	1.182	-7.927	-7.927	-7.927	17.504	9.181	-1.765	-5.610
MORF_RAD21 MORF_RAD21	-7.428	-2.197	4.152	2.487	-7.428	-7.428	-7.428	14.983	11.898	-2.627	-5.165
HALLMARK_OXIDATIVE_PHOSPHORYLATION HALLMARK_OXIDATIVE_PHOSPHORYLATION	-8.302	-1.969	3.553	4.609	-6.977	-8.302	-8.302	8.987	15.170	-1.127	-5.946
GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN GSE21927_SPLEEN_C57BL6_VS_EL4_TUMOR_BALBC_MONOCYTES_DN	-5.955	-3.226	3.553	2.085	-8.302	-8.302	-8.302	10.539	17.083	-0.585	-5.101
FAN_EMBRYONIC_CTX_MICROGLIA_1 FAN_EMBRYONIC_CTX_MICROGLIA_1	-5.211	-3.553	-0.620	0.259	-6.430	-6.430	-6.430	1.617	30.498	5.959	-5.204
GSE22886_NEUTROPHIL_VS_DC_DN GSE22886_NEUTROPHIL_VS_DC_DN	-8.302	-1.369	5.382	3.230	-8.302	-8.302	-8.302	12.193	8.987	-0.737	-5.101
GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP GSE15750_DAY6_VS_DAY10_TRAF6KO_EFF_CD8_TCELL_UP	-5.992	-1.992	1.811	-0.597	-8.344	-7.017	-5.992	0.678	29.424	6.148	-5.136
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_DN GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IL12_CD8_TCELL_DN	-6.977	-0.917	5.788	2.085	-8.302	-8.302	-8.302	4.988	17.083	-0.351	-6.968
MORF_PSMC1 MORF_PSMC1	-6.582	-2.087	2.686	2.990	-7.886	-7.886	-7.886	11.994	14.388	-1.183	-4.749
GOBP_VIRAL_GENE_EXPRESSION GOBP_VIRAL_GENE_EXPRESSION	-8.219	-1.923	20.038	6.328	-6.898	-6.898	-8.219	2.413	3.980	-0.886	-5.030
GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP GSE22886_NAIVE_TCELL_VS_NEUTROPHIL_UP	-6.938	-1.109	6.267	4.290	-8.260	-8.260	-8.260	13.452	6.267	-1.946	-4.349
MORF_RAD23B MORF_RAD23B	-7.303	-3.034	5.946	2.303	-7.303	-7.303	-7.303	11.027	11.606	-1.441	-4.263
GOCC_SPLICEOSOMAL_COMPLEX GOCC_SPLICEOSOMAL_COMPLEX	-6.622	-2.112	5.894	2.952	-7.927	-6.622	-5.619	11.899	11.332	-2.510	-6.613
MORF_ACTG1 MORF_ACTG1	-5.723	-2.420	19.190	8.892	-5.723	-5.723	-5.723	2.489	1.876	-4.552	-5.717
GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP GSE9988_ANTI_TREM1_VS_ANTI_TREM1_AND_LPS_MONOCYTE_UP	-8.260	-2.310	3.936	0.706	-8.260	-8.260	-8.260	6.267	14.050	3.269	-4.349
GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP	-6.819	-4.968	3.071	1.483	-8.135	-6.819	-8.135	3.724	22.467	1.083	-2.637
MORF_PRKDC MORF_PRKDC	-7.886	-1.443	5.127	4.735	-7.886	-7.886	-7.886	8.751	10.319	-1.183	-4.749
GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_UP GSE14000_UNSTIM_VS_4H_LPS_DC_TRANSLATED_RNA_UP	-8.177	-0.697	8.226	1.921	-8.177	-8.177	-8.177	6.829	9.219	0.473	-6.849
BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP BOYAULT_LIVER_CANCER_SUBCLASS_G3_UP	-7.844	-2.063	1.899	1.899	-7.844	-6.543	-7.844	8.828	18.436	-0.263	-4.714
GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN GSE15930_NAIVE_VS_48H_IN_VITRO_STIM_IFNAB_CD8_TCELL_DN	-8.302	-0.457	5.788	3.230	-8.302	-8.302	-8.302	4.988	12.767	-0.351	-5.946
HALLMARK_E2F_TARGETS HALLMARK_E2F_TARGETS	-6.977	-2.335	4.609	1.838	-8.302	-8.302	-8.302	7.542	13.947	0.692	-4.382
GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP	-6.938	-0.573	6.267	1.026	-8.260	-8.260	-8.260	7.150	8.567	2.115	-8.250
GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_DN GSE22886_NAIVE_CD4_TCELL_VS_48H_ACT_TH1_DN	-6.938	-0.902	3.269	1.865	-8.260	-8.260	-8.260	4.658	19.906	0.263	-4.349
GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_DN GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_OLD_DN	-5.955	-2.335	5.788	0.442	-8.302	-8.302	-8.302	1.838	21.899	1.606	-2.745
BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS BUSSLINGER_DUODENAL_TRANSIT_AMPLIFYING_CELLS	-5.730	-2.185	14.577	9.980	-6.740	-8.052	-6.740	5.309	2.269	-3.582	-3.045
GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP GSE13484_UNSTIM_VS_YF17D_VACCINE_STIM_PBMC_UP	-8.302	-0.264	2.921	2.349	-8.302	-6.977	-8.302	13.352	8.493	-0.457	-5.946
GOBP_TRANSLATIONAL_INITIATION GOBP_TRANSLATIONAL_INITIATION	-5.693	-2.563	20.713	7.091	-4.863	-8.011	-8.011	1.787	3.515	-1.810	-3.544
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT	-5.470	-2.404	18.695	9.505	-6.464	-7.761	-5.470	2.795	2.220	-2.404	-4.644
MORF_HAT1 MORF_HAT1	-4.988	-2.070	3.315	2.983	-7.220	-7.220	-7.220	11.804	12.402	-2.070	-4.981
GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP	-6.977	-0.585	8.011	1.838	-8.302	-8.302	-8.302	4.243	13.947	-0.585	-4.382
GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_DN GSE21927_GMCSF_IL6_VS_GMCSF_GCSF_TREATED_BONE_MARROW_DN	-8.302	-0.737	2.085	1.838	-8.302	-8.302	-8.302	6.207	17.741	0.341	-2.745
GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_DN GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_DN	-5.955	-3.226	2.627	3.230	-8.302	-8.302	-6.977	8.987	15.170	-0.457	-3.219
GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH2_DN GSE22886_NAIVE_CD4_TCELL_VS_12H_ACT_TH2_DN	-8.302	-1.649	6.639	1.606	-8.302	-8.302	-6.977	3.553	15.797	0.692	-3.761
MORF_RPA2 MORF_RPA2	-4.125	-0.798	9.102	3.228	-7.969	-7.969	-7.969	5.835	10.688	-2.536	-5.647
GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN GSE17974_2H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN	-5.880	0.463	10.175	1.656	-8.219	-8.219	-8.219	0.720	17.320	-1.092	-3.698
MORF_NME2 MORF_NME2	-6.430	-2.938	8.470	10.152	-6.430	-6.430	-6.430	5.063	5.063	-2.420	-5.204
GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN GSE22886_UNSTIM_VS_IL2_STIM_NKCELL_DN	-5.145	-2.360	4.937	2.317	-8.344	-8.344	-8.344	6.577	15.062	-0.359	-3.792
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	-5.172	-4.257	0.367	0.628	-6.388	-6.388	-6.388	1.646	28.008	3.518	-3.513
