GO	[-5.99 -0.79]	[-0.79 -0.28]	[-0.28 -0.07]	[-0.07 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.29]	[0.29 0.63]	[0.63 5.89]
chrYp11 chrYp11	-1.331	-2.221	-3.631	0.816	7.150	4.104	4.104	-2.221	-2.838	-2.221	-1.334
chrXq27 chrXq27	-0.244	-3.273	-0.576	1.277	2.333	1.595	2.333	-0.576	-1.673	-1.196	-1.676
chr7q34 chr7q34	-1.461	-1.189	-1.189	-0.344	4.640	1.743	2.560	-0.594	-2.146	-1.189	0.260
chr1p35 chr1p35	-0.829	0.384	-0.829	0.677	-0.331	-4.281	-1.762	-0.460	2.448	2.448	0.857
chr7p11 chr7p11	-1.089	-3.107	-0.327	0.277	1.426	3.477	1.119	-0.327	-0.327	-0.752	-1.092
chr2q21 chr2q21	2.410	-0.994	-2.002	-0.310	2.410	1.543	-0.429	0.292	-2.479	-1.271	0.401
chr8p21 chr8p21	-0.388	-0.537	-0.537	0.332	-0.725	-0.537	-4.051	0.788	3.462	1.217	-0.274
chr13q31 chr13q31	-0.475	-0.676	-0.676	1.254	1.541	0.997	2.202	-1.275	-2.990	0.279	-0.941
chr2q13 chr2q13	0.750	-2.112	-0.836	-0.836	0.302	0.302	0.302	-2.112	0.499	1.056	2.265
chrXq26 chrXq26	-1.252	-0.328	0.644	1.201	1.201	1.428	1.944	-0.593	-1.562	-1.562	-1.934
MT MT	0.359	0.359	-0.476	0.614	-1.532	-1.532	-1.532	1.788	0.614	-0.250	0.938
chr9q32 chr9q32	-0.431	0.598	0.370	-0.431	-1.947	-0.431	-1.947	-0.431	1.620	1.620	0.596
chr16q24 chr16q24	0.445	1.439	0.768	0.445	-0.551	-2.599	-3.256	-0.282	0.445	0.768	0.592
chr10q21 chr10q21	1.763	0.312	-2.907	-0.291	0.983	0.439	0.439	-2.283	0.439	0.775	-0.793
chr2q22 chr2q22	-0.389	0.560	-1.924	0.790	0.790	1.727	1.375	-0.605	-0.908	-1.924	-0.391
chr15q15 chr15q15	0.415	1.096	1.323	-0.301	-3.020	-0.749	-1.975	0.892	0.415	0.892	-0.419
