GO	[-5.99 -0.58]	[-0.58 -0.26]	[-0.26 -0.13]	[-0.13 -0.04]	[-0.04 0.00]	[0.00 0.03]	[0.03 0.10]	[0.10 0.20]	[0.20 0.34]	[0.34 0.69]	[0.69 6.04]
MIR4755_3P MIR4755_3P	-0.349	-1.707	0.483	4.052	-0.834	-3.194	-0.477	0.483	-1.073	1.691	0.624
MIR4257 MIR4257	-0.566	0.579	-0.566	2.989	-1.299	-2.637	-0.291	1.975	0.947	0.311	-2.109
MIR5585_5P MIR5585_5P	0.729	0.311	0.311	2.500	-1.231	-1.559	1.884	-0.292	-1.559	-2.426	0.909
MIR4724_5P MIR4724_5P	-1.926	0.320	0.935	2.219	0.439	-1.535	0.439	0.935	0.935	-2.963	-0.723
MIR4762_5P MIR4762_5P	0.257	-1.707	0.987	3.280	-0.349	-1.707	0.797	-0.477	-0.477	1.200	-2.125
MIR6866_3P MIR6866_3P	-2.107	-0.710	-0.471	1.509	-0.301	-1.486	4.158	0.301	-0.471	0.463	-0.473
MIR4473 MIR4473	-0.730	1.607	0.267	-0.338	-0.505	-0.338	2.316	1.299	-2.621	-1.933	0.265
MIR767_5P MIR767_5P	-0.621	-0.621	2.108	0.426	-2.976	-1.770	1.853	0.326	-0.785	1.392	0.322
MIR6800_5P MIR6800_5P	-0.373	-0.373	3.389	0.684	-1.090	-0.650	-0.650	0.431	1.372	-1.823	-0.652
MIR7975 MIR7975	-1.782	-0.354	2.899	2.356	0.254	-0.624	0.254	-0.624	0.254	-1.057	-0.626
MIR4494 MIR4494	-1.006	-0.399	-0.399	-0.399	-1.006	1.152	1.505	2.342	-2.363	0.380	-0.400
MIR3679_3P MIR3679_3P	-1.853	-0.767	0.772	2.117	-0.767	-0.452	-0.337	2.716	-1.221	-0.974	0.767
MIR5089_3P MIR5089_3P	1.030	-0.935	0.540	0.357	-0.405	-2.862	2.067	0.540	-1.362	-0.405	0.537
MIR6814_5P MIR6814_5P	-0.262	-0.536	0.839	3.742	-0.737	-0.737	-0.737	0.839	-2.194	0.646	-0.741
MIR34C_3P MIR34C_3P	-1.783	0.440	0.651	0.907	-0.329	-0.329	-0.527	2.352	0.907	-1.211	-1.788
