GO	[-5.99 -0.51]	[-0.51 -0.23]	[-0.23 -0.11]	[-0.11 -0.03]	[-0.03 0.00]	[0.00 0.04]	[0.04 0.11]	[0.11 0.19]	[0.19 0.33]	[0.33 0.66]	[0.66 4.24]
MORF_NPM1 MORF_NPM1	-6.759	-1.785	3.921	9.652	1.685	0.293	1.948	-0.309	-1.785	-6.759	-6.799
GNF2_CCNB2 GNF2_CCNB2	-2.365	-2.365	-1.537	-1.537	-1.006	-1.537	0.847	4.512	8.021	0.589	-2.379
MORF_RAB1A MORF_RAB1A	-2.989	-2.529	1.194	1.194	-0.786	1.400	7.354	2.122	-0.786	-2.529	-5.702
MORF_PRKDC MORF_PRKDC	-6.630	-1.190	1.215	2.153	0.438	1.650	1.215	2.723	0.438	-3.485	-4.832
MODULE_92 MODULE_92	2.401	-1.478	-1.478	-3.371	1.088	1.308	-3.371	-1.838	-0.541	0.711	5.463
GNF2_HPX GNF2_HPX	3.366	-0.264	-1.169	-4.458	0.341	1.709	-2.905	-0.904	-1.877	0.466	4.132
GCM_MYST2 GCM_MYST2	-4.910	-1.345	1.022	2.213	-0.676	-0.292	3.146	2.506	-0.395	-0.521	-4.159
MORF_LCAT MORF_LCAT	6.166	-0.868	-0.656	-2.283	1.775	-1.127	-3.521	-0.868	-0.868	0.646	2.044
MORF_MAP2K7 MORF_MAP2K7	3.399	0.318	-1.885	-2.264	1.651	2.448	-3.207	-3.207	-0.285	-0.285	1.186
GNF2_STAT6 GNF2_STAT6	-3.282	-2.329	-0.382	0.750	-0.243	-2.329	2.346	4.212	0.367	0.367	-0.853
MODULE_152 MODULE_152	-3.201	-1.233	0.343	0.630	1.019	0.811	1.509	1.791	0.811	-1.233	-4.059
MODULE_298 MODULE_298	-0.240	-1.077	-1.077	-1.077	2.798	2.798	-1.077	-1.077	-0.520	-0.520	1.571
MODULE_316 MODULE_316	0.739	1.302	-2.907	-1.394	0.520	-0.263	-1.394	-1.394	-0.961	2.885	1.625
MODULE_239 MODULE_239	-3.095	-0.343	0.682	1.604	-0.661	-0.343	2.216	1.092	0.874	-0.886	-3.942
GCM_ING1 GCM_ING1	-2.782	-0.374	0.239	2.620	-0.374	-0.885	1.783	1.100	0.389	-0.374	-2.798
GNF2_DNM1 GNF2_DNM1	2.631	1.157	-1.519	-3.073	-0.488	0.289	-0.313	-2.146	-0.313	0.446	1.805
GNF2_CDKN1C GNF2_CDKN1C	0.347	-1.119	-1.119	-1.119	-0.260	2.681	-0.260	-0.550	-1.119	-0.260	3.357
GNF2_MYL2 GNF2_MYL2	0.795	-0.702	-0.702	-1.326	2.182	-0.702	-1.326	-0.702	-0.702	0.480	3.415
MODULE_400 MODULE_400	2.273	-0.324	-0.787	-0.787	-0.324	0.279	-0.787	-0.787	-0.787	-0.324	3.847
MODULE_91 MODULE_91	-1.534	-0.860	0.359	0.359	-0.250	-0.250	3.513	0.942	0.615	-1.534	-1.543
MODULE_388 MODULE_388	-0.704	-0.704	0.707	-0.704	0.332	-0.272	2.545	1.824	-0.704	-0.704	-0.708
MORF_LMO1 MORF_LMO1	5.070	-0.534	-0.534	0.287	-2.157	0.477	-0.316	-0.534	0.477	-0.865	-0.320
MODULE_51 MODULE_51	2.985	-0.453	-0.453	-1.492	-0.453	-0.828	-0.828	0.381	-0.234	-0.453	2.379
MODULE_557 MODULE_557	1.877	-0.455	-0.455	-0.455	-0.455	1.877	-0.455	-0.455	-0.455	-0.455	1.143
MORF_GSPT1 MORF_GSPT1	-1.260	-1.260	-0.471	0.547	0.816	0.334	1.944	1.517	-0.270	-0.471	-2.044
GNF2_SPINK1 GNF2_SPINK1	1.581	-0.520	-1.077	-1.077	2.152	0.372	-1.077	-0.520	-0.520	0.372	0.679
MODULE_410 MODULE_410	0.647	-0.453	-0.234	-0.828	0.647	0.647	-0.828	-1.492	-1.492	0.986	1.850
MODULE_345 MODULE_345	-0.281	0.597	-1.639	-1.639	-0.552	-0.281	-1.279	0.447	-0.281	1.198	3.406
GNF2_CCNA1 GNF2_CCNA1	0.820	-0.374	0.389	-1.303	2.620	0.389	-2.782	-0.374	0.389	0.239	-0.380
