GO	[-4.27 -0.40]	[-0.40 -0.18]	[-0.18 -0.10]	[-0.10 -0.03]	[-0.03 0.00]	[0.00 0.04]	[0.04 0.09]	[0.09 0.16]	[0.16 0.26]	[0.26 0.50]	[0.50 4.24]
MORF_NPM1 MORF_NPM1	-5.574	-0.311	6.152	5.234	0.831	0.292	0.520	0.665	-1.466	-4.626	-6.825
GNF2_HPX GNF2_HPX	5.132	-0.515	-1.504	-5.670	0.789	0.987	-2.932	-2.365	-1.180	-0.265	6.111
MORF_MAP2K7 MORF_MAP2K7	5.410	-0.286	-3.249	-2.737	2.195	1.923	-3.249	-4.531	-1.288	0.317	3.116
GNF2_CCNB2 GNF2_CCNB2	-2.374	-2.374	-1.543	-1.543	-1.010	-1.543	-0.400	2.358	8.086	3.372	-1.543
MORF_LCAT MORF_LCAT	7.894	-0.353	-2.865	-2.304	0.492	0.362	-3.553	-1.137	-1.455	0.492	3.512
GNF2_KPNB1 GNF2_KPNB1	-3.045	-1.044	-0.301	1.519	-0.473	2.709	3.674	-0.473	0.667	-3.045	-2.120
MORF_EI24 MORF_EI24	-2.117	-1.356	0.265	2.342	-0.628	-0.468	1.019	5.072	1.019	-1.356	-4.814
MORF_RAF1 MORF_RAF1	-2.122	0.380	0.260	0.529	-0.690	0.529	5.458	1.701	-1.248	-0.690	-4.607
GNF2_DNM1 GNF2_DNM1	4.676	0.288	-1.527	-3.087	0.644	-1.070	-1.070	-1.070	-0.735	0.288	3.598
GNF2_KISS1 GNF2_KISS1	0.547	-0.785	-2.039	-2.039	2.428	0.817	-0.785	-2.039	-0.473	0.334	3.521
GCM_HBP1 GCM_HBP1	-2.919	-0.965	0.520	2.030	-0.965	0.740	3.391	0.520	-0.264	-0.649	-2.919
GNF2_MYL2 GNF2_MYL2	0.795	-0.363	-1.329	-1.329	0.795	0.480	-1.329	-0.703	-0.703	-0.703	5.773
GNF2_CDH3 GNF2_CDH3	0.346	-1.121	-1.121	-1.121	-0.551	1.508	-0.551	-1.121	-0.551	1.508	3.384
GNF2_STAT6 GNF2_STAT6	-3.298	-1.206	-0.384	0.751	-0.579	-2.342	1.287	2.360	0.751	0.751	-0.244
GNF2_HCK GNF2_HCK	-1.604	1.398	-0.279	-0.860	-2.148	-0.420	-1.185	-0.420	0.324	4.198	1.118
GNF2_SPRR1B GNF2_SPRR1B	-0.996	-0.204	-0.996	-0.996	3.061	1.749	-0.996	-0.463	-0.463	0.426	0.426
MORF_MYC MORF_MYC	2.307	-0.598	-2.379	-0.598	1.921	0.971	-1.719	-1.233	0.521	-0.255	0.353
GNF2_SPINK1 GNF2_SPINK1	1.583	-0.521	-1.079	-1.079	1.091	1.091	-1.079	-0.521	-1.079	0.685	0.685
GNF2_CDH11 GNF2_CDH11	2.929	-0.492	-1.038	-0.492	-0.222	-1.038	-0.492	-0.492	-0.492	0.398	2.258
GNF2_CD7 GNF2_CD7	1.283	-0.266	-0.501	-0.895	1.283	-0.895	-1.579	-0.895	-0.266	0.339	2.234
