GO	[-5.99 -0.58]	[-0.58 -0.24]	[-0.24 -0.11]	[-0.11 -0.02]	[-0.02 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.18]	[0.18 0.32]	[0.32 0.67]	[0.67 6.04]
GOMF_HORMONE_ACTIVITY GOMF_HORMONE_ACTIVITY	1.852	-0.904	-3.122	-1.957	5.950	4.965	-3.944	-2.477	-2.477	-1.186	2.501
GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GOBP_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	4.402	0.908	-1.009	-1.556	-1.901	-0.798	-2.774	-1.556	-1.556	2.048	4.810
GOMF_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY GOMF_VOLTAGE_GATED_ION_CHANNEL_ACTIVITY	4.785	0.597	-0.873	-1.591	-0.698	0.278	-1.316	-1.906	-3.686	1.257	3.703
GOBP_NEGATIVE_CHEMOTAXIS GOBP_NEGATIVE_CHEMOTAXIS	0.625	0.389	0.625	-1.907	-0.411	-1.907	-1.907	-1.157	0.389	1.678	2.643
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	2.522	1.036	-2.863	-1.063	-0.285	-0.285	-1.976	-0.845	0.318	-0.285	2.837
GOBP_HEAT_GENERATION GOBP_HEAT_GENERATION	-0.247	-0.663	-0.247	-0.247	-0.663	-0.663	-0.663	-0.663	-0.247	1.292	4.520
HP_ABNORMAL_DARK_ADAPTED_ELECTRORETINOGRAM HP_ABNORMAL_DARK_ADAPTED_ELECTRORETINOGRAM	2.400	-0.298	0.655	-0.745	-0.745	-0.745	-0.745	-0.298	-0.745	-0.298	2.401
GOBP_CELLULAR_HORMONE_METABOLIC_PROCESS GOBP_CELLULAR_HORMONE_METABOLIC_PROCESS	1.170	0.451	-0.274	-0.921	-0.921	0.596	-1.899	-1.188	-0.702	0.451	3.682
GOBP_PYRIMIDINE_NUCLEOSIDE_CATABOLIC_PROCESS GOBP_PYRIMIDINE_NUCLEOSIDE_CATABOLIC_PROCESS	0.821	0.457	0.200	-0.953	-0.434	-0.434	-0.953	-0.434	-0.953	0.457	3.191
GOMF_BETA_1_3_GALACTOSYLTRANSFERASE_ACTIVITY GOMF_BETA_1_3_GALACTOSYLTRANSFERASE_ACTIVITY	-0.373	-0.373	1.382	0.240	-0.373	-0.373	0.240	-0.373	-0.373	-0.373	2.230
