GO	[-20.07 -0.90]	[-0.90 -0.37]	[-0.37 -0.18]	[-0.18 -0.06]	[-0.06 0.00]	[0.00 0.05]	[0.05 0.19]	[0.19 0.43]	[0.43 0.73]	[0.73 1.24]	[1.24 20.01]
YBX3_TARGET_GENES YBX3_TARGET_GENES	-4.596	0.284	4.224	2.478	-0.939	-1.803	-0.319	-0.430	0.646	-0.568	0.282
CREB3L2_TARGET_GENES CREB3L2_TARGET_GENES	-3.262	0.446	3.420	1.715	-1.276	-0.743	2.011	-0.743	0.446	-0.551	-2.078
RUVBL1_TARGET_GENES RUVBL1_TARGET_GENES	-2.144	0.778	2.876	3.230	0.470	-2.144	0.349	-0.489	-1.383	-1.731	0.346
TMTCGCGANR_UNKNOWN TMTCGCGANR_UNKNOWN	-1.707	-0.518	1.280	4.851	-0.284	-3.697	0.708	0.708	-0.872	-0.518	-0.521
KCCGNSWTTT_UNKNOWN KCCGNSWTTT_UNKNOWN	-2.398	0.359	0.508	0.688	1.407	-0.751	3.601	0.688	-1.028	-1.381	-1.833
MIR943 MIR943	0.456	-2.197	0.456	0.456	-0.556	-0.556	2.618	-0.332	2.140	-0.892	-2.201
ZNF354B_TARGET_GENES ZNF354B_TARGET_GENES	-1.507	-0.479	0.707	4.176	-1.230	0.335	1.047	0.707	-1.830	0.565	-2.211
MIR500A_5P MIR500A_5P	0.555	0.310	-0.540	2.386	-2.256	-0.921	3.047	1.083	-1.173	-0.921	-1.178
GTTNYYNNGGTNA_UNKNOWN GTTNYYNNGGTNA_UNKNOWN	-1.419	-0.338	0.405	0.783	-0.730	-0.505	2.315	3.601	-1.028	-0.730	-1.938
MYC_Q2 MYC_Q2	-1.114	-1.658	1.511	0.370	-2.385	-0.326	-1.996	0.916	0.370	1.295	2.252
MIR4713_3P MIR4713_3P	-1.057	1.041	1.041	1.041	-1.782	-1.057	0.254	0.254	-0.354	1.863	-1.785
SGCGSSAAA_E2F1DP2_01 SGCGSSAAA_E2F1DP2_01	-1.827	-0.751	0.375	2.148	-1.489	-1.489	3.791	0.493	0.276	0.276	-0.585
ZNF667_TARGET_GENES ZNF667_TARGET_GENES	-2.604	-0.743	3.035	1.442	-0.399	-1.276	0.769	-0.551	0.969	0.321	-1.281
HOXA7_TARGET_GENES HOXA7_TARGET_GENES	-2.297	0.398	0.972	3.346	-0.336	-1.738	1.509	-0.336	-0.490	-0.490	-0.965
MIR4728_3P MIR4728_3P	0.252	1.110	0.883	1.110	-0.702	-0.507	1.110	1.647	-2.132	-1.648	-2.138
TCTATGA_MIR376A_MIR376B TCTATGA_MIR376A_MIR376B	0.468	0.314	-0.289	-0.934	0.468	-0.652	4.932	0.314	-1.803	0.314	-1.808
MIR183_3P MIR183_3P	1.216	-0.903	-1.952	-0.342	-1.632	0.264	1.874	2.393	1.030	-0.903	-1.118
MIR337_3P MIR337_3P	-0.332	0.530	-1.482	0.388	-0.332	-2.413	1.926	1.113	0.388	1.359	-2.420
MIR522_3P MIR522_3P	1.915	-0.490	0.692	0.692	-1.853	-0.805	1.027	1.222	0.692	-1.853	-2.237
SNACANNNYSYAGA_UNKNOWN SNACANNNYSYAGA_UNKNOWN	-0.812	0.915	0.505	1.774	-0.571	-0.571	0.915	1.170	-2.769	0.350	-2.070
MIR4302 MIR4302	0.595	-0.743	1.193	0.595	-2.604	-0.399	0.595	1.193	0.969	-3.262	-0.284
MIR505_3P MIR505_3P	0.380	-1.237	0.906	1.994	-0.493	-0.493	2.694	0.261	-2.101	-0.345	-1.627
MIR6738_3P MIR6738_3P	0.847	-0.956	1.039	0.676	-0.956	-1.213	1.741	2.311	-0.567	-1.213	-1.890
MIR1825 MIR1825	0.463	0.936	0.600	1.594	-2.454	-0.259	0.600	1.594	-0.822	-1.048	-2.463
MSX1_TARGET_GENES MSX1_TARGET_GENES	-0.582	-1.173	2.313	3.246	-1.444	-1.760	-0.336	0.754	-0.336	-0.582	0.267
MIR6722_3P MIR6722_3P	-0.479	0.707	0.707	-0.620	-2.203	-1.830	1.047	3.809	-0.620	-0.269	-0.482
KAT2A_TARGET_GENES KAT2A_TARGET_GENES	-0.981	-0.981	2.830	1.686	-0.690	-2.547	0.435	0.435	-0.313	0.616	-0.694
TOX4_TARGET_GENES TOX4_TARGET_GENES	-0.728	-0.441	1.966	1.966	-0.441	-1.131	1.273	1.273	-1.680	-0.728	-1.688
SREBP1_01 SREBP1_01	-1.926	-0.813	0.336	1.284	-0.813	1.078	2.599	1.078	-0.365	-0.813	-1.933
EGFR_TARGET_GENES EGFR_TARGET_GENES	1.150	-0.222	-0.491	-0.222	-1.035	-1.035	1.659	2.250	-1.035	-0.491	-0.492
MIR6514_5P MIR6514_5P	0.664	-0.578	-2.238	1.654	0.664	1.654	-0.920	0.664	-0.348	-0.578	-1.434
GGCNKCCATNK_UNKNOWN GGCNKCCATNK_UNKNOWN	-0.828	-0.613	0.938	3.055	-0.613	-0.828	2.680	-0.311	-0.828	-0.613	-1.437
MIR302D_5P MIR302D_5P	-0.672	-0.527	1.106	-0.309	-0.527	0.767	4.143	0.623	-1.044	-1.278	-1.868
MIR224_5P MIR224_5P	1.108	-2.550	0.363	-0.446	-0.746	1.108	3.246	-1.173	-1.173	0.269	0.360
WCTCNATGGY_UNKNOWN WCTCNATGGY_UNKNOWN	-0.633	-0.910	1.814	0.326	0.485	-1.280	-0.910	0.679	-0.427	-1.771	3.003
MIR654_3P MIR654_3P	0.725	-0.255	1.244	-0.864	0.353	-3.318	0.725	-0.255	-1.707	0.353	1.239
SUPT16H_TARGET_GENES SUPT16H_TARGET_GENES	1.284	0.336	1.078	1.510	-1.280	-1.926	2.018	-0.268	-1.280	-0.634	-1.286
CRGAARNNNNCGA_UNKNOWN CRGAARNNNNCGA_UNKNOWN	-1.906	-0.228	0.625	0.920	-1.906	0.625	0.625	1.272	-0.702	-1.157	0.623
MIR7158_3P MIR7158_3P	0.520	0.520	1.368	-0.452	-1.092	-2.487	1.741	1.040	-0.273	-0.714	-1.096
MIR6502_5P MIR6502_5P	-0.332	3.698	-0.556	-1.396	0.272	0.981	0.692	0.456	-0.892	-0.892	-1.400
PRMT5_TARGET_GENES PRMT5_TARGET_GENES	-0.738	1.326	1.326	-0.287	-2.529	-0.470	-0.287	2.542	-0.470	-0.738	-0.472
ZBTB1_TARGET_GENES ZBTB1_TARGET_GENES	-0.301	-1.226	-0.446	2.684	-0.446	-0.641	3.533	-0.301	-1.226	-0.301	-0.900
MIR4257 MIR4257	1.274	-2.508	1.274	0.829	-1.558	-1.208	1.274	0.645	-0.254	-1.208	0.351
MIR3925_3P MIR3925_3P	-0.319	-1.803	-0.939	1.646	-0.939	-1.467	0.646	3.474	0.506	-0.319	-0.433
MIR1301_5P MIR1301_5P	-0.316	3.794	-0.534	-1.362	0.287	1.018	0.721	0.287	-0.864	-0.864	-1.365
MIR4649_3P MIR4649_3P	1.874	1.419	-0.903	1.030	-0.573	-1.632	1.419	0.453	-1.354	-1.952	-0.345
MIR619_5P MIR619_5P	2.710	0.491	0.491	1.022	-0.866	-2.276	0.256	0.821	-1.439	0.362	-1.444
MIR4678 MIR4678	2.743	-0.334	-1.213	0.393	-0.334	-1.213	-0.334	2.376	0.543	-0.909	-1.599
MIR4499 MIR4499	0.322	-0.281	-1.033	1.247	-1.358	-0.566	1.513	3.212	-0.566	-0.773	-1.363
GGAANCGGAANY_UNKNOWN GGAANCGGAANY_UNKNOWN	-2.568	-0.617	0.784	2.159	-0.848	-0.617	1.526	-0.437	-0.848	1.251	-0.440
MIR1243 MIR1243	0.702	0.971	0.302	0.478	-1.712	-0.301	2.039	-0.489	-1.712	-1.712	0.699
MIR143_5P MIR143_5P	-0.595	-0.435	0.903	0.713	-1.042	-1.042	1.617	2.540	-0.795	0.292	-2.166
MIR4701_5P MIR4701_5P	-0.982	1.193	-1.276	0.446	-0.551	-0.982	-1.276	2.672	0.595	-0.982	1.435
