GO	[-20.07 -0.73]	[-0.73 -0.32]	[-0.32 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.26]	[0.26 0.46]	[0.46 0.96]	[0.96 22.12]
GO:0008168 methyltransferase activity	-1.381	-0.441	5.699	-2.402	-7.754	-7.754	-6.458	5.285	-0.726	2.792	4.888
GO:0042254 ribosome biogenesis	-3.101	-2.360	4.589	-1.794	-4.143	-3.101	-4.143	-1.004	-0.732	5.093	12.049
GO:0016874 ligase activity	0.385	0.505	4.593	-1.463	-6.757	-6.757	-6.757	1.401	-1.797	3.106	5.009
GO:0070126 mitochondrial translational termination	-3.563	0.595	2.359	-0.488	-3.563	-3.563	-3.563	-1.389	-0.488	4.145	6.974
GO:0016829 lyase activity	0.568	-0.391	4.209	-2.221	-4.935	-3.316	-6.135	2.109	0.724	0.319	3.816
GO:0007156 homophilic cell adhesion via plasma membrane adhesion molecules	1.877	-0.469	1.153	-2.935	-5.206	-3.550	-2.418	-0.348	0.259	3.466	5.060
GO:0001822 kidney development	0.663	-0.368	0.859	-2.768	-0.969	-4.641	-4.641	5.179	0.356	-0.521	3.786
GO:0001843 neural tube closure	-0.886	-0.266	1.514	-1.736	-3.355	-2.396	-3.355	4.022	0.339	1.208	2.228
GO:0030018 Z disc	0.869	0.869	1.592	-3.079	-5.014	-1.923	-3.079	0.376	1.592	0.869	2.198
GO:0071805 potassium ion transmembrane transport	0.495	0.266	-0.339	-1.051	-1.677	-3.857	-2.568	0.266	1.005	1.713	5.379
GO:0006626 protein targeting to mitochondrion	-0.733	-0.385	2.667	-1.366	-1.366	-1.366	-1.366	-0.733	-0.385	3.303	2.091
GO:0051287 NAD binding	0.820	-0.300	2.597	-0.957	-1.656	-1.656	-1.656	-0.549	-0.957	0.527	3.811
GO:0003341 cilium movement	1.787	0.614	-0.250	-1.532	-0.860	-1.532	-1.532	0.359	-0.250	0.359	2.303
GO:0030695 GTPase regulator activity	-0.745	0.655	-0.745	-0.745	-0.745	-0.745	-0.745	0.655	1.712	-0.298	2.399
GO:0009451 RNA modification	-0.621	-0.223	0.396	-0.621	-0.621	-0.621	-0.621	0.396	-0.621	0.396	4.781
GO:0000177 cytoplasmic exosome (RNase complex)	-0.455	-0.455	0.187	-0.455	-0.455	-0.455	-0.455	1.148	-0.455	0.187	3.761
GO:0006166 purine ribonucleoside salvage	-0.207	-0.207	-0.207	1.164	-0.207	-0.207	-0.207	-0.207	-0.207	-0.207	2.186
