GO	[-5.59 -0.39]	[-0.39 -0.22]	[-0.22 -0.13]	[-0.13 -0.05]	[-0.05 0.00]	[0.00 0.04]	[0.04 0.13]	[0.13 0.23]	[0.23 0.45]	[0.45 0.92]	[0.92 6.96]
GNF2_KISS1 GNF2_KISS1	-0.411	-0.703	-1.908	-1.908	0.626	0.921	-1.908	-1.908	-0.411	3.804	3.194
GNF2_TIMP2 GNF2_TIMP2	-0.373	-0.650	-1.825	-1.825	0.431	0.685	-1.825	-1.825	-0.373	4.022	3.387
GNF2_MMP11 GNF2_MMP11	-0.300	-0.549	-1.659	-1.659	0.528	0.821	-1.659	-1.659	-0.549	3.825	2.599
GNF2_IGFBP1 GNF2_IGFBP1	-0.430	-0.797	-1.451	-1.451	-0.430	1.452	-0.797	-1.451	-0.797	3.750	3.081
GNF2_EGFR GNF2_EGFR	-0.363	-0.702	-1.327	-1.327	-0.363	0.247	-1.327	-1.327	0.247	4.150	3.426
MODULE_146 MODULE_146	2.039	-1.384	-3.153	-0.753	-0.373	0.509	-0.537	-1.384	-1.031	2.039	3.605
MODULE_289 MODULE_289	1.117	-1.487	-1.906	-0.868	-0.469	0.895	-1.145	-1.906	-0.646	2.602	4.194
GNF2_CDKN1C GNF2_CDKN1C	-0.550	-0.550	-1.119	-1.119	-0.550	0.645	-1.119	-1.119	-0.260	3.374	3.367
GNF2_DNM1 GNF2_DNM1	1.642	-0.962	-0.263	-0.962	-0.962	0.342	-2.002	-2.002	-0.647	2.020	3.873
MORF_MAP2K7 MORF_MAP2K7	0.310	-1.085	-1.653	-2.907	0.310	0.840	-0.677	-1.085	0.310	2.506	3.837
MORF_KDR MORF_KDR	1.572	-1.451	-0.522	-3.659	-1.055	0.761	0.390	-0.522	-0.351	0.761	2.659
MODULE_122 MODULE_122	0.917	-0.407	-2.435	-0.553	-1.235	0.311	-0.553	-0.961	0.427	-0.292	6.270
GNF2_MLF1 GNF2_MLF1	1.337	-1.394	-0.711	-1.007	0.278	0.809	-0.711	-3.576	0.420	1.056	2.365
MODULE_199 MODULE_199	-0.382	-1.503	-0.623	0.397	-1.503	-2.324	0.397	-0.382	0.613	1.555	3.428
MODULE_111 MODULE_111	2.354	-0.454	-0.802	-1.038	-1.038	-1.322	-0.610	-0.802	-1.038	3.029	2.668
MORF_IL4 MORF_IL4	-0.373	-1.255	-1.536	-1.863	-0.373	1.229	-0.635	-0.808	-0.373	2.483	3.777
GNF2_HPX GNF2_HPX	2.862	-0.611	-2.196	-0.611	-0.611	0.697	-1.066	-1.373	-0.815	1.593	2.171
MORF_PTPRR MORF_PTPRR	-0.324	-0.678	-0.476	-1.713	-0.324	1.868	-0.476	-2.270	-0.942	2.591	2.206
GNF2_RAB3A GNF2_RAB3A	1.515	-1.410	0.427	-1.410	-0.407	-0.765	-0.765	-0.765	-0.407	1.080	3.191
CAR_IGFBP1 CAR_IGFBP1	0.912	0.416	-2.283	-0.950	0.245	0.245	-1.468	-1.468	0.245	2.022	2.014
MODULE_113 MODULE_113	1.346	-1.076	-1.893	-0.569	0.335	-0.398	-0.569	-1.893	-0.398	1.956	3.060
MODULE_316 MODULE_316	0.342	-0.263	-2.002	-0.647	-0.647	0.342	-1.395	-1.395	0.520	2.435	2.874
GNF2_TM4SF2 GNF2_TM4SF2	0.684	-0.520	-0.520	-1.077	-0.240	-0.240	-1.077	-0.520	-1.077	1.581	3.507
MORF_CDH4 MORF_CDH4	-0.436	-1.046	-1.349	-2.166	-0.311	0.715	-0.311	-0.596	-0.436	3.682	2.210
GNF2_MMP1 GNF2_MMP1	-0.702	-0.702	-0.702	-1.327	-0.363	-0.363	-1.327	1.186	0.247	1.650	2.770
MORF_IFNA1 MORF_IFNA1	0.666	-0.635	-0.999	-2.558	-0.380	0.817	-0.802	-0.635	-0.802	2.091	3.258
MODULE_85 MODULE_85	0.317	-1.295	-0.810	0.522	-2.075	-1.295	0.317	-0.285	0.317	1.465	2.848
MODULE_455 MODULE_455	-0.283	-1.617	-1.617	0.320	-0.525	-0.283	-0.525	-0.525	0.320	2.149	2.687
MODULE_121 MODULE_121	0.279	-0.942	-0.476	-0.678	-0.678	-0.324	-1.280	-0.476	-0.678	2.994	3.411
MODULE_223 MODULE_223	-1.303	-1.005	-0.291	-0.291	-0.762	0.311	-1.303	-0.291	-0.412	2.642	2.991
MORF_CTSB MORF_CTSB	-0.327	-0.734	-0.929	-2.112	0.487	1.134	-0.929	-0.734	-0.436	2.364	2.069
