GO	[-5.59 -0.39]	[-0.39 -0.22]	[-0.22 -0.12]	[-0.12 -0.05]	[-0.05 0.00]	[0.00 0.05]	[0.05 0.13]	[0.13 0.24]	[0.24 0.43]	[0.43 0.91]	[0.91 5.32]
HALLMARK_E2F_TARGETS HALLMARK_E2F_TARGETS	-8.314	0.488	0.925	2.869	1.306	0.616	1.306	2.566	-0.318	-4.366	-8.314
HALLMARK_G2M_CHECKPOINT HALLMARK_G2M_CHECKPOINT	-3.803	0.731	1.705	0.890	1.705	0.466	4.918	1.475	-1.972	-8.401	-6.025
HALLMARK_MYC_TARGETS_V1 HALLMARK_MYC_TARGETS_V1	-0.668	1.147	1.573	2.345	2.636	-0.668	1.573	0.300	-0.842	-8.227	-8.227
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.716	-2.796	-1.996	-3.282	-1.668	0.350	-0.451	-2.796	0.577	4.102	9.552
HALLMARK_OXIDATIVE_PHOSPHORYLATION HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.904	1.705	0.731	1.705	0.466	1.067	0.466	1.067	0.269	-5.167	-8.401
HALLMARK_KRAS_SIGNALING_DN HALLMARK_KRAS_SIGNALING_DN	2.906	-1.581	-3.706	-0.857	0.499	2.601	-1.901	-3.161	-0.682	1.127	3.567
HALLMARK_MTORC1_SIGNALING HALLMARK_MTORC1_SIGNALING	-1.668	1.679	0.262	0.873	1.241	-0.344	1.679	1.679	0.262	-3.835	-6.064
HALLMARK_DNA_REPAIR HALLMARK_DNA_REPAIR	-2.207	0.767	4.466	1.168	1.402	-1.427	1.168	-0.267	-0.879	-1.784	-4.040
HALLMARK_MYOGENESIS HALLMARK_MYOGENESIS	1.475	-1.362	-2.344	-0.335	-0.722	0.731	-1.972	-1.116	-0.569	2.796	3.440
HALLMARK_UNFOLDED_PROTEIN_RESPONSE HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-1.299	0.356	1.634	-0.525	1.095	-0.726	-0.525	2.281	1.351	-1.696	-2.807
HALLMARK_MITOTIC_SPINDLE HALLMARK_MITOTIC_SPINDLE	-1.877	0.300	0.397	0.793	1.147	0.397	0.511	1.813	0.793	-3.673	-1.877
HALLMARK_MYC_TARGETS_V2 HALLMARK_MYC_TARGETS_V2	-2.418	-0.417	1.119	0.362	0.362	0.818	1.467	-0.247	0.818	-1.040	-2.418
HALLMARK_COAGULATION HALLMARK_COAGULATION	1.796	-1.139	-1.844	-1.459	0.493	0.254	-0.662	-1.459	0.829	3.136	0.493
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-0.432	0.370	0.886	-0.432	-0.242	-1.196	0.599	4.362	-1.196	-0.731	-1.196
HALLMARK_P53_PATHWAY HALLMARK_P53_PATHWAY	-1.603	-0.545	0.761	-0.545	-2.712	0.284	1.758	1.758	1.306	-0.318	-0.873
HALLMARK_ESTROGEN_RESPONSE_EARLY HALLMARK_ESTROGEN_RESPONSE_EARLY	1.284	0.368	-2.740	-0.888	-1.948	0.368	-0.557	0.603	-0.327	1.499	1.499
