GO	[-5.59 -0.44]	[-0.44 -0.22]	[-0.22 -0.12]	[-0.12 -0.03]	[-0.03 0.00]	[0.00 0.04]	[0.04 0.13]	[0.13 0.26]	[0.26 0.46]	[0.46 0.94]	[0.94 9.50]
RBM10_HEK293_Plass RBM10_HEK293_Plass	-1.406	2.770	2.475	1.935	-1.703	-0.584	2.475	1.056	-1.150	-4.006	-5.515
CF_Im59_HEK293_Plass CF_Im59_HEK293_Plass	0.317	2.927	1.165	2.074	-1.793	-0.286	2.074	0.531	-1.793	-4.138	-4.130
CF_Im68_HEK293_Plass CF_Im68_HEK293_Plass	-0.821	1.884	1.638	0.832	-0.647	-0.382	1.410	1.638	-0.647	-5.262	-3.187
ZC3H7B_HEK293_Plass ZC3H7B_HEK293_Plass	-0.594	3.053	0.676	1.517	-0.784	-2.516	1.273	0.853	0.392	-3.797	-2.030
NOP58_HEK293_Plass NOP58_HEK293_Plass	-0.538	0.991	3.881	0.788	-1.254	-0.273	1.218	0.991	-2.043	-3.228	-2.039
IMP1_HEK293_Plass IMP1_HEK293_Plass	0.340	1.699	1.985	0.464	-1.872	-0.265	1.195	1.436	-1.167	-2.336	-3.577
FMR1_HEK293_Plass FMR1_HEK293_Plass	-1.093	2.225	2.540	-0.258	-1.093	-0.360	1.405	1.405	-0.851	-3.226	-2.140
HNRNPM_K562_POSTAR_eCLIP HNRNPM_K562_POSTAR_eCLIP	-3.134	-0.409	0.841	2.249	-0.543	-3.766	1.457	1.231	0.841	0.301	-1.420
MOV10_HEK293_Plass MOV10_HEK293_Plass	-1.125	3.443	0.255	1.246	-1.819	-0.866	3.443	0.255	-0.656	-1.125	-1.815
DICER1_HEK293_Plass DICER1_HEK293_Plass	0.243	1.638	1.025	1.998	-0.820	-0.820	1.025	0.558	-0.820	-2.290	-3.232
FBL_HEK293_Plass FBL_HEK293_Plass	1.376	1.376	3.507	-0.390	-0.606	-1.927	0.372	0.560	-1.927	-1.332	-1.330
GPKOW_K562_POSTAR_eCLIP GPKOW_K562_POSTAR_eCLIP	-0.408	-0.408	4.506	1.512	-2.217	-0.672	0.766	0.927	-0.408	-2.217	-1.544
C22orf28_HEK293_Plass C22orf28_HEK293_Plass	-0.476	1.543	1.543	1.255	-0.677	-0.940	2.205	0.279	-0.677	-2.264	-2.990
YTHDF2_HeLa_POSTAR_Piranha_0.01 YTHDF2_HeLa_POSTAR_Piranha_0.01	-2.706	2.423	0.463	0.584	-1.612	-2.706	2.423	0.721	-0.437	-0.712	0.587
CPSF-30_HEK293_Plass CPSF-30_HEK293_Plass	0.541	0.384	2.868	-0.506	-0.984	-1.329	2.868	0.728	-0.714	-1.329	-2.327
CPSF1_HEK293_POSTAR_Piranha_0.01 CPSF1_HEK293_POSTAR_Piranha_0.01	-1.281	3.598	0.336	1.753	-2.804	-1.281	1.283	-0.269	-0.269	-0.365	-1.277
