GO	[-5.59 -0.42]	[-0.42 -0.22]	[-0.22 -0.12]	[-0.12 -0.04]	[-0.04 0.00]	[0.00 0.03]	[0.03 0.12]	[0.12 0.25]	[0.25 0.46]	[0.46 0.92]	[0.92 6.96]
GO_RNA_BINDING_INVOLVED_IN_POSTTRANSCRIPTIONAL_GENE_SILENCING GO_RNA_BINDING_INVOLVED_IN_POSTTRANSCRIPTIONAL_GENE_SILENCING	-1.170	-3.235	-3.235	-2.289	15.127	17.931	-3.235	-3.235	-1.170	-3.235	-3.247
GO_ODORANT_BINDING GO_ODORANT_BINDING	-0.842	-3.277	-3.277	-3.277	4.734	7.824	-2.326	-1.198	-0.244	1.599	-0.386
GO_RIBOSOMAL_SUBUNIT GO_RIBOSOMAL_SUBUNIT	-1.211	7.729	3.860	1.977	-1.486	-0.607	1.068	-0.607	-1.807	-5.151	-5.174
GO_ESTABLISHMENT_OF_RNA_LOCALIZATION GO_ESTABLISHMENT_OF_RNA_LOCALIZATION	-2.918	4.068	2.447	3.373	-0.462	-2.465	1.910	0.569	-1.426	-2.069	-6.589
GO_DNA_DEPENDENT_DNA_REPLICATION GO_DNA_DEPENDENT_DNA_REPLICATION	-6.027	3.233	3.606	3.233	-0.651	-1.093	0.614	0.349	-0.258	-2.637	-4.852
GO_HORMONE_ACTIVITY GO_HORMONE_ACTIVITY	0.737	-1.098	-4.901	-2.982	3.874	4.314	-2.350	-1.843	-1.098	1.699	1.156
GO_TRNA_METABOLIC_PROCESS GO_TRNA_METABOLIC_PROCESS	-0.594	1.512	0.738	1.512	-1.192	-0.594	4.280	0.738	0.354	-4.317	-7.390
GO_KERATIN_FILAMENT GO_KERATIN_FILAMENT	-0.329	-1.783	-1.783	-1.783	2.812	10.035	-1.783	-1.211	-1.211	0.441	-0.332
GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX GO_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	0.420	5.031	2.251	0.732	-3.333	-1.022	0.301	0.732	-0.301	-2.130	-5.336
GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES GO_HOMOPHILIC_CELL_ADHESION_VIA_PLASMA_MEMBRANE_ADHESION_MOLECULES	1.565	0.355	-1.877	-1.877	-1.533	-2.745	-0.782	-1.877	0.260	4.073	6.151
GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT GO_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	0.860	-0.692	-1.123	-0.888	-0.530	-0.292	-3.732	-2.570	-0.530	1.734	9.707
GO_HISTONE_BINDING GO_HISTONE_BINDING	-0.843	-0.527	3.794	5.705	-2.217	-0.843	0.929	0.768	-0.309	-4.238	-2.643
GO_LIGAND_GATED_ION_CHANNEL_ACTIVITY GO_LIGAND_GATED_ION_CHANNEL_ACTIVITY	0.452	-1.510	-3.618	-2.365	-0.273	-0.702	-0.921	-1.188	0.765	4.960	4.933
GO_PEPTIDE_RECEPTOR_ACTIVITY GO_PEPTIDE_RECEPTOR_ACTIVITY	1.129	-1.132	-3.293	-3.293	0.584	0.925	-1.132	-1.781	0.329	7.074	0.735
GO_POSITIVE_REGULATION_OF_VIRAL_PROCESS GO_POSITIVE_REGULATION_OF_VIRAL_PROCESS	-2.398	-0.372	2.386	0.688	-0.751	-0.751	0.898	3.603	0.688	-2.398	-3.158
GO_FICOLIN_1_RICH_GRANULE GO_FICOLIN_1_RICH_GRANULE	-1.432	-0.442	0.413	2.682	-0.311	-0.612	0.562	4.314	-0.442	-1.098	-4.918
GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING GO_TRANSLATION_FACTOR_ACTIVITY_RNA_BINDING	-0.411	0.938	3.543	3.076	-0.266	-1.739	0.340	-0.266	-1.739	-3.360	-1.260
GO_CHEMOKINE_ACTIVITY GO_CHEMOKINE_ACTIVITY	-0.892	-1.574	-0.892	-0.892	1.279	4.771	-1.574	-1.574	0.339	0.339	1.273
GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY GO_TRANSMEMBRANE_RECEPTOR_PROTEIN_KINASE_ACTIVITY	1.089	-1.117	-1.117	-0.775	-2.216	-1.117	-1.580	0.825	-0.523	3.915	2.929
GO_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT GO_POST_GOLGI_VESICLE_MEDIATED_TRANSPORT	-2.297	1.226	0.750	2.532	-0.961	-1.303	2.532	0.973	-0.695	-3.032	-0.969
GO_SM_LIKE_PROTEIN_FAMILY_COMPLEX GO_SM_LIKE_PROTEIN_FAMILY_COMPLEX	-0.646	0.999	0.999	1.299	1.638	-1.393	0.738	0.999	-1.998	-1.998	-2.913
GO_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY GO_SERINE_TYPE_ENDOPEPTIDASE_INHIBITOR_ACTIVITY	0.267	-0.730	-2.621	-1.028	0.267	1.607	-2.621	-0.730	0.405	1.025	4.068
GO_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX GO_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	-0.855	1.091	3.350	1.091	-0.377	-0.275	0.440	0.440	-0.377	-1.683	-5.362
GO_CILIARY_BASAL_BODY_PLASMA_MEMBRANE_DOCKING GO_CILIARY_BASAL_BODY_PLASMA_MEMBRANE_DOCKING	-1.534	0.505	2.907	0.505	-0.571	-0.812	-0.257	2.501	0.505	-1.534	-2.781
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_A_SULFUR_GROUP_OF_DONORS	-0.645	-0.398	1.152	0.380	-1.005	-1.535	1.902	2.824	0.380	-2.363	-1.011
