GO	[-18.86 -0.71]	[-0.71 -0.32]	[-0.32 -0.06]	[-0.06 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.26]	[0.26 0.46]	[0.46 0.94]	[0.94 29.70]
TNRC6C_HEK293_Plass TNRC6C_HEK293_Plass	-0.425	-0.425	6.517	0.631	-7.214	-4.983	-4.983	7.959	-0.318	-0.556	0.284
TNRC6A_HEK293_Plass TNRC6A_HEK293_Plass	0.548	-0.594	3.250	0.292	-4.202	-5.346	-4.202	10.411	-0.435	-1.342	0.546
PTBP1_HeLa_POSTAR_CIMS PTBP1_HeLa_POSTAR_CIMS	0.753	0.469	4.431	-0.462	-5.635	-2.735	-6.881	2.981	-0.606	1.116	0.599
HNRNPA1_K562_POSTAR_eCLIP HNRNPA1_K562_POSTAR_eCLIP	0.812	-0.379	4.255	0.531	-4.120	-4.822	-5.649	3.897	0.663	-1.218	1.159
HLTF_K562_POSTAR_eCLIP HLTF_K562_POSTAR_eCLIP	0.445	0.768	1.437	-2.598	-5.221	-2.598	-5.221	2.321	0.967	0.768	2.656
YWHAG_K562_POSTAR_eCLIP YWHAG_K562_POSTAR_eCLIP	-0.848	0.967	3.266	-1.057	-4.507	-4.507	-4.507	2.638	0.301	1.153	2.633
FUS_HEK293T_POSTAR_Piranha_0.01 FUS_HEK293T_POSTAR_Piranha_0.01	0.960	0.519	4.960	-1.007	-4.153	-4.857	-4.153	3.852	0.309	0.649	-0.294
HNRNPU_K562_POSTAR_eCLIP HNRNPU_K562_POSTAR_eCLIP	-0.269	0.441	2.202	-1.502	-3.696	-3.120	-4.369	3.436	-1.226	2.202	2.781
TNRC6C_HEK293_POSTAR_Piranha_0.01 TNRC6C_HEK293_POSTAR_Piranha_0.01	0.326	-2.652	4.867	-0.277	-3.150	-3.728	-3.150	3.392	1.659	0.690	-0.278
BCCIP_HepG2_POSTAR_eCLIP BCCIP_HepG2_POSTAR_eCLIP	-0.285	0.531	3.897	-0.991	-1.785	-4.822	-4.120	3.553	-1.481	1.362	1.359
HNRNPU_HeLa_POSTAR_CIMS HNRNPU_HeLa_POSTAR_CIMS	-0.310	0.659	3.500	-0.554	-3.786	-3.154	-5.479	3.150	0.395	1.205	0.394
TNRC6C_HEK293_POSTAR_PARalyzer TNRC6C_HEK293_POSTAR_PARalyzer	1.003	-0.920	4.250	-0.920	-3.786	-3.786	-3.154	1.927	1.427	0.821	0.394
MBNL2_frontalcortex_POSTAR_CIMS MBNL2_frontalcortex_POSTAR_CIMS	0.690	0.318	0.423	0.318	-2.852	-5.791	-4.059	2.820	1.233	0.318	2.506
NPM1_K562_POSTAR_eCLIP NPM1_K562_POSTAR_eCLIP	-0.606	0.790	4.283	-0.457	-2.389	-2.904	-3.516	4.283	-0.788	-0.606	1.174
IGF2BP3_PL45_POSTAR_Piranha_0.01 IGF2BP3_PL45_POSTAR_Piranha_0.01	0.832	0.274	2.995	-1.032	-3.821	-2.538	-4.702	2.027	0.381	1.245	0.830
TARBP2_MDA-LM2_POSTAR_CIMS TARBP2_MDA-LM2_POSTAR_CIMS	-0.373	0.464	1.694	0.341	-5.595	-1.482	-4.432	2.285	-0.265	0.781	1.691
SLBP_K562_POSTAR_eCLIP SLBP_K562_POSTAR_eCLIP	-0.258	0.349	3.584	0.470	-2.628	-4.818	-2.628	0.612	-0.849	2.530	0.961
EZH2_HCT116_POSTAR_Piranha_0.01 EZH2_HCT116_POSTAR_Piranha_0.01	2.342	-0.290	1.651	-1.199	-2.876	-3.894	-2.876	1.651	0.456	1.079	0.455
EZH2_HCT116_POSTAR_iCLIP EZH2_HCT116_POSTAR_iCLIP	2.342	-0.290	1.651	-1.199	-2.876	-3.894	-2.876	1.651	0.456	1.079	0.455
YTHDF3_HEK293T_POSTAR_Piranha_0.01 YTHDF3_HEK293T_POSTAR_Piranha_0.01	1.167	0.330	2.570	-0.524	-2.358	-2.920	-4.471	1.944	0.451	0.451	0.594
PPIL4_K562_POSTAR_eCLIP PPIL4_K562_POSTAR_eCLIP	-0.900	0.464	1.694	-0.265	-2.888	-1.866	-2.888	4.123	0.611	-0.511	1.190
YTHDC2_HEK293T_POSTAR_Piranha_0.01 YTHDC2_HEK293T_POSTAR_Piranha_0.01	0.271	0.927	2.368	0.271	-2.665	-2.066	-4.516	0.721	0.721	0.721	0.541
HNRNPUL1_K562_POSTAR_eCLIP HNRNPUL1_K562_POSTAR_eCLIP	-0.338	-0.504	5.113	-0.504	-0.729	-3.604	-1.930	1.602	-0.338	0.576	0.267
TARDBP_H9_POSTAR_iCLIP TARDBP_H9_POSTAR_iCLIP	0.312	1.216	3.146	-1.053	-1.783	-1.379	-3.705	1.762	-0.291	0.439	0.311
TAF15_Brain_POSTAR_CIMS TAF15_Brain_POSTAR_CIMS	-0.372	0.896	2.376	-1.027	-1.824	-2.393	-2.393	1.135	-0.372	2.025	0.506
TARDBP_H9_POSTAR_CIMS TARDBP_H9_POSTAR_CIMS	0.356	0.859	2.964	-0.969	-1.672	-1.282	-3.553	1.909	-0.252	0.356	0.355
HNRNPM_HEK293T_POSTAR_CIMS HNRNPM_HEK293T_POSTAR_CIMS	-0.592	0.994	0.994	-0.446	-1.251	-2.361	-3.482	1.941	0.808	-0.328	1.671
NSUN2_K562_POSTAR_eCLIP NSUN2_K562_POSTAR_eCLIP	0.774	-0.790	0.982	-0.291	-1.783	-2.282	-2.282	2.765	-0.291	0.439	1.474
TNRC6B_HEK293_POSTAR_Piranha_0.01 TNRC6B_HEK293_POSTAR_Piranha_0.01	-0.397	-0.863	1.900	0.520	-1.704	-1.704	-1.704	2.278	0.965	0.353	-0.255
HNRNPA1_HEK293T_POSTAR_CIMS HNRNPA1_HEK293T_POSTAR_CIMS	-1.023	0.749	1.083	0.477	-1.739	-1.023	-1.739	1.477	-0.336	0.749	0.476
