GO	[-16.09 -0.83]	[-0.83 -0.36]	[-0.36 -0.18]	[-0.18 -0.06]	[-0.06 0.00]	[0.00 0.04]	[0.04 0.18]	[0.18 0.39]	[0.39 0.65]	[0.65 1.16]	[1.16 19.61]
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_8D_DN	16.794	1.077	-1.681	-1.131	-0.728	-1.681	-1.681	-1.681	-0.571	-1.681	1.070
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_DN	10.839	2.026	0.380	-1.096	-1.346	-3.906	-1.346	0.380	-0.700	-0.882	-0.551
CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN CHIANG_LIVER_CANCER_SUBCLASS_CTNNB1_DN	10.904	-0.346	-0.991	-1.240	-1.240	0.602	-0.991	-1.240	-0.782	-0.782	0.922
PODAR_RESPONSE_TO_ADAPHOSTIN_UP PODAR_RESPONSE_TO_ADAPHOSTIN_UP	9.528	0.359	-0.349	-1.361	-0.637	-1.706	-0.477	1.434	-2.117	-0.477	-0.838
STEARMAN_TUMOR_FIELD_EFFECT_UP STEARMAN_TUMOR_FIELD_EFFECT_UP	4.753	1.131	-0.385	-1.367	-0.733	-1.367	-1.367	-0.733	0.231	2.093	-1.370
TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP TAKEDA_TARGETS_OF_NUP98_HOXA9_FUSION_3D_UP	5.182	-0.569	-0.436	-0.731	-0.925	-1.423	-2.523	0.940	-0.731	0.619	1.329
LIEN_BREAST_CARCINOMA_METAPLASTIC LIEN_BREAST_CARCINOMA_METAPLASTIC	2.093	0.231	-1.367	-1.367	0.231	-0.733	-1.367	0.453	1.579	-0.733	1.128
REACTOME_SMOOTH_MUSCLE_CONTRACTION REACTOME_SMOOTH_MUSCLE_CONTRACTION	4.184	0.359	-1.533	-0.860	-0.476	-0.476	0.359	0.359	-0.476	0.940	-1.536
CHEBOTAEV_GR_TARGETS_UP CHEBOTAEV_GR_TARGETS_UP	4.073	-0.488	-2.143	-0.488	-0.488	-1.064	1.468	-1.064	-0.488	0.289	0.875
KIM_MYC_AMPLIFICATION_TARGETS_DN KIM_MYC_AMPLIFICATION_TARGETS_DN	3.276	0.337	-1.563	0.488	-2.097	-1.151	-0.268	1.734	-0.268	-1.151	0.486
STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP STARK_PREFRONTAL_CORTEX_22Q11_DELETION_UP	2.930	0.416	0.317	0.532	-0.494	-1.222	2.076	0.317	-1.487	-3.003	-0.382
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	3.112	-1.201	0.572	-0.610	0.572	-1.201	0.303	-1.201	-0.610	0.303	0.571
WANG_METASTASIS_OF_BREAST_CANCER_ESR1_DN WANG_METASTASIS_OF_BREAST_CANCER_ESR1_DN	2.566	-0.279	0.607	-0.279	-1.160	-1.160	0.607	0.979	-0.579	-1.160	-0.280
PID_INTEGRIN4_PATHWAY PID_INTEGRIN4_PATHWAY	2.749	-0.455	-0.455	-0.455	-0.455	-0.455	-0.455	0.187	0.579	-0.455	1.146
