GO	[-23.89 -0.93]	[-0.93 -0.52]	[-0.52 -0.27]	[-0.27 -0.18]	[-0.18 0.00]	[0.00 0.00]	[0.00 0.22]	[0.22 0.56]	[0.56 1.22]	[1.22 2.16]	[2.16 10.00]
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	0.580	28.597	13.442	-2.437	0.351	-7.819	-1.150	-3.405	-7.819	-7.819	-7.802
SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM SCHLOSSER_MYC_TARGETS_REPRESSED_BY_SERUM	7.489	22.642	2.247	-0.707	-0.707	-5.455	-1.755	-2.143	-5.455	-6.692	-6.677
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	7.784	16.792	1.900	-0.918	-1.679	-3.984	-1.679	-3.984	-3.984	-2.956	-3.975
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	-1.424	-1.424	-2.944	-0.986	0.499	32.700	-0.668	-2.944	-2.944	-0.986	-2.029
REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT REACTOME_THE_CITRIC_ACID_TCA_CYCLE_AND_RESPIRATORY_ELECTRON_TRANSPORT	0.451	17.881	6.287	-0.608	-0.468	-4.349	-0.776	-0.468	-3.676	-4.349	-6.108
PUJANA_XPRSS_INT_NETWORK PUJANA_XPRSS_INT_NETWORK	-1.027	7.458	8.479	1.751	2.014	-6.984	0.336	-2.803	-2.803	-5.730	-4.765
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	-0.645	6.103	15.123	0.697	-0.333	-3.866	-0.866	-1.482	-3.866	-3.866	-3.856
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	10.749	11.629	-0.452	-2.488	-1.093	-1.641	-1.641	-1.641	-2.488	-2.488	-2.482
VERHAAK_AML_WITH_NPM1_MUTATED_UP VERHAAK_AML_WITH_NPM1_MUTATED_UP	-1.996	-2.384	-1.996	-1.658	-2.384	-1.658	-3.344	0.479	1.991	1.991	18.276
CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN CHIANG_LIVER_CANCER_SUBCLASS_UNANNOTATED_DN	0.301	7.520	8.988	-1.259	0.301	-6.756	0.507	-0.301	-0.828	-4.910	-4.188
WELCSH_BRCA1_TARGETS_DN WELCSH_BRCA1_TARGETS_DN	9.215	6.503	1.272	-0.784	-0.784	-3.093	-1.015	0.391	-3.796	-3.093	-3.083
SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_UP SCHLOSSER_MYC_TARGETS_AND_SERUM_RESPONSE_UP	10.760	6.447	-0.431	-1.191	-0.431	-1.948	-1.191	-1.948	-1.948	-1.948	-1.944
HUANG_GATA2_TARGETS_UP HUANG_GATA2_TARGETS_UP	-4.157	-2.312	-0.957	-2.820	-0.567	-6.275	0.526	1.738	6.258	4.063	1.044
KONDO_PROSTATE_CANCER_WITH_H3K27ME3 KONDO_PROSTATE_CANCER_WITH_H3K27ME3	0.636	-4.910	-4.910	2.275	-1.837	4.550	-1.027	-3.060	-0.828	3.825	2.023
DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER	-1.355	3.223	3.658	-0.521	2.813	-4.150	1.438	0.371	-1.355	-4.150	-4.141
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	-2.306	1.730	6.034	0.477	0.998	-5.566	3.389	-0.499	-2.306	-1.845	-2.297
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	-2.158	-2.701	-2.701	0.291	0.902	13.125	-0.795	-3.368	-0.436	0.407	0.907
XIE_ST_HSC_S1PR3_OE_UP XIE_ST_HSC_S1PR3_OE_UP	0.270	-1.680	-2.410	-1.386	-1.680	-2.020	-1.132	-0.728	0.468	4.911	10.663
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	-0.701	3.881	1.769	0.491	0.767	-6.400	2.291	0.932	-0.548	-3.314	-4.580
REACTOME_ANTIMICROBIAL_PEPTIDES REACTOME_ANTIMICROBIAL_PEPTIDES	-1.252	-2.230	-2.230	0.290	0.426	12.698	-1.679	-1.252	-1.679	0.426	1.292
