GO	[-6.83 -0.55]	[-0.55 -0.44]	[-0.44 -0.19]	[-0.19 -0.08]	[-0.08 -0.00]	[-0.00 0.00]	[0.00 0.05]	[0.05 0.15]	[0.15 0.30]	[0.30 0.78]	[0.78 8.38]
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS	-0.986	-0.986	-2.036	-2.946	-2.946	26.513	3.796	-2.946	-2.946	-2.036	-0.992
REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE	-1.043	8.673	-1.043	-4.218	-5.365	14.637	1.119	-4.218	-1.715	-1.043	-1.726
REACTOME_MRNA_SPLICING REACTOME_MRNA_SPLICING	-2.895	-4.711	1.943	7.518	4.501	-4.013	0.352	2.206	0.263	-2.442	-6.560
REACTOME_S_PHASE REACTOME_S_PHASE	-3.806	-4.567	-0.310	7.459	1.436	-6.746	0.293	2.523	1.941	0.293	-3.825
REACTOME_MITOCHONDRIAL_TRANSLATION REACTOME_MITOCHONDRIAL_TRANSLATION	-2.232	-3.987	-0.312	1.906	2.257	-3.987	-0.659	6.015	2.257	-0.918	-4.001
WP_CELL_DIFFERENTIATION_INDEX_EXPANDED WP_CELL_DIFFERENTIATION_INDEX_EXPANDED	-1.293	-0.809	-0.809	-2.073	-0.492	16.197	1.464	-0.492	-2.073	-2.073	-0.814
REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS	2.194	1.470	-0.699	-5.030	-3.155	7.370	1.695	-4.313	-2.271	-0.325	0.468
REACTOME_DEFENSINS REACTOME_DEFENSINS	-1.328	0.499	-0.513	-1.328	-2.115	11.775	2.773	-1.328	-2.115	-1.328	-0.842
REACTOME_CELLULAR_RESPONSE_TO_STARVATION REACTOME_CELLULAR_RESPONSE_TO_STARVATION	-3.635	-2.487	2.717	-0.649	1.332	-3.012	-0.267	2.402	4.566	-0.367	-3.029
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS	-2.103	-2.640	1.979	0.433	2.994	-3.302	-0.291	1.685	1.415	0.580	-5.300
NABA_ECM_GLYCOPROTEINS NABA_ECM_GLYCOPROTEINS	1.109	2.535	-1.280	-3.632	-3.632	0.497	-0.844	-1.551	-0.844	0.624	7.465
REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS REACTOME_SUMOYLATION_OF_DNA_DAMAGE_RESPONSE_AND_REPAIR_PROTEINS	-1.612	-2.254	2.051	4.366	2.451	-3.196	-0.354	0.397	-0.797	0.397	-3.207
REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION REACTOME_REGULATION_OF_PLK1_ACTIVITY_AT_G2_M_TRANSITION	-1.392	-1.902	1.055	2.777	2.370	-3.571	0.420	-1.005	2.777	-0.710	-2.597
REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL REACTOME_RRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	-1.642	-1.642	-0.714	3.106	4.205	-1.642	-0.452	1.370	1.041	-1.642	-2.497
WP_METASTATIC_BRAIN_TUMOR WP_METASTATIC_BRAIN_TUMOR	-1.160	-1.160	-0.579	-1.160	-0.579	10.841	0.607	-0.279	-0.579	-1.160	-0.281
REACTOME_PROTEIN_LOCALIZATION REACTOME_PROTEIN_LOCALIZATION	-2.227	-1.491	0.632	0.494	1.622	-4.641	-0.441	2.155	3.805	0.494	-2.707
PID_MYC_ACTIV_PATHWAY PID_MYC_ACTIV_PATHWAY	-3.279	-1.198	-0.244	2.760	1.600	-3.279	-0.244	1.954	1.281	-0.577	-1.684
REACTOME_L1CAM_INTERACTIONS REACTOME_L1CAM_INTERACTIONS	6.580	1.893	-0.482	-0.661	0.377	-3.910	-1.165	0.263	-1.165	-0.343	-0.488
REACTOME_AMINE_LIGAND_BINDING_RECEPTORS REACTOME_AMINE_LIGAND_BINDING_RECEPTORS	0.269	2.993	-1.741	-1.741	-0.599	1.931	0.477	-1.024	-1.741	-1.024	1.922
REACTOME_RAB_REGULATION_OF_TRAFFICKING REACTOME_RAB_REGULATION_OF_TRAFFICKING	-0.496	-3.126	-0.354	2.169	1.857	-3.948	0.365	0.501	2.505	-0.496	-1.196
REACTOME_DISEASES_OF_GLYCOSYLATION REACTOME_DISEASES_OF_GLYCOSYLATION	2.041	1.032	-0.330	-1.035	-0.330	-2.064	-4.722	-0.801	-0.453	1.756	2.329
REACTOME_POTASSIUM_CHANNELS REACTOME_POTASSIUM_CHANNELS	3.486	1.083	-0.270	-1.434	-2.468	-0.568	-0.568	-0.568	-2.468	1.344	1.334
WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR	-0.677	-2.266	0.412	2.211	0.773	-2.997	0.279	1.547	0.412	1.000	-2.277
KEGG_APOPTOSIS KEGG_APOPTOSIS	-1.420	-1.420	0.405	1.301	0.784	-1.934	0.784	0.784	1.025	1.025	-3.625
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	5.523	0.628	-1.241	-0.835	-1.820	-0.835	0.423	-0.835	-0.835	0.262	1.162
WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II	1.778	2.303	-0.701	-0.883	-2.809	0.770	-1.976	-0.548	-0.548	-0.548	2.570
REACTOME_RAC1_GTPASE_CYCLE REACTOME_RAC1_GTPASE_CYCLE	1.161	-1.309	2.093	2.093	0.650	-4.534	-1.309	-0.524	-0.301	-0.401	0.394
REACTOME_TRNA_AMINOACYLATION REACTOME_TRNA_AMINOACYLATION	-0.599	-1.024	-0.599	0.269	1.480	-1.741	1.931	2.436	-0.336	-0.336	-1.747
REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES REACTOME_IRE1ALPHA_ACTIVATES_CHAPERONES	-1.293	-0.809	-0.285	-0.809	2.344	-2.073	-0.285	1.097	1.464	1.097	-1.299
REACTOME_STIMULI_SENSING_CHANNELS REACTOME_STIMULI_SENSING_CHANNELS	0.433	2.520	0.433	-0.849	-1.514	-1.514	-0.617	-1.144	-1.144	1.529	2.149
WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALLING WP_STEROL_REGULATORY_ELEMENTBINDING_PROTEINS_SREBP_SIGNALLING	-1.487	-1.038	-0.471	1.190	0.463	-0.301	0.908	2.260	-0.471	0.666	-3.040
REACTOME_DIGESTION_AND_ABSORPTION REACTOME_DIGESTION_AND_ABSORPTION	0.324	0.324	-0.279	-0.579	-1.160	3.239	-0.579	-1.160	-1.160	0.324	1.427
WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION WP_PHOSPHODIESTERASES_IN_NEURONAL_FUNCTION	0.638	1.234	-0.600	-0.949	0.416	-0.949	-0.600	-2.281	0.246	-0.364	3.505
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.727	0.727	-0.222	-0.491	-1.035	2.920	-0.222	-1.035	-1.035	-1.035	0.723
KEGG_AUTOIMMUNE_THYROID_DISEASE KEGG_AUTOIMMUNE_THYROID_DISEASE	0.783	2.853	-1.293	-0.809	-0.492	2.344	0.318	-1.293	-0.809	-0.809	-0.288
NABA_COLLAGENS NABA_COLLAGENS	1.801	0.999	0.240	-1.090	-1.090	0.685	-1.090	-1.824	-0.373	-0.373	1.792
REACTOME_RUNX3_REGULATES_P14_ARF REACTOME_RUNX3_REGULATES_P14_ARF	-0.414	-0.414	-0.414	-0.414	-0.414	-0.414	-0.414	1.257	0.211	4.072	-0.415
REACTOME_CREATINE_METABOLISM REACTOME_CREATINE_METABOLISM	0.187	0.187	-0.455	-0.455	-0.455	-0.455	0.579	-0.455	-0.455	-0.455	4.912
WP_DEVELOPMENT_OF_URETERIC_COLLECTION_SYSTEM WP_DEVELOPMENT_OF_URETERIC_COLLECTION_SYSTEM	1.227	1.623	-1.191	-1.948	-0.728	-0.431	-0.728	-0.728	-0.241	0.598	2.060
WP_NUCLEOTIDE_METABOLISM WP_NUCLEOTIDE_METABOLISM	-0.787	-0.787	-0.787	2.271	0.279	-0.787	1.615	-0.324	0.609	0.279	-0.790
REACTOME_SIGNALING_BY_CTNNB1_PHOSPHO_SITE_MUTANTS REACTOME_SIGNALING_BY_CTNNB1_PHOSPHO_SITE_MUTANTS	-0.621	-0.621	2.070	0.396	2.070	-0.621	-0.621	-0.621	-0.223	0.396	-0.623
REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL REACTOME_TRNA_MODIFICATION_IN_THE_NUCLEUS_AND_CYTOSOL	-1.782	-0.624	0.716	1.041	0.716	-1.782	-0.354	1.425	0.716	0.254	-1.062
REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	-2.120	-0.835	1.437	1.972	0.629	-2.610	-0.637	0.257	0.989	0.360	0.254
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	1.837	0.458	-0.953	-0.434	1.284	-0.434	0.458	-0.953	-0.953	-0.953	0.818
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	-1.824	-1.090	-1.090	1.372	0.685	-1.090	0.685	0.685	0.685	-0.650	0.994
REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA	-0.704	-0.704	-0.272	-0.704	0.332	-0.704	-0.704	1.823	1.823	0.707	-0.274
REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS	0.332	-0.704	-0.272	-0.272	-0.704	-0.704	-0.272	-0.272	-0.704	3.364	1.203
REACTOME_PROCESSING_OF_SMDT1 REACTOME_PROCESSING_OF_SMDT1	-0.662	-0.662	0.362	-0.662	1.941	-0.662	-0.662	-0.247	1.941	0.362	-0.249
REACTOME_PYRIMIDINE_SALVAGE REACTOME_PYRIMIDINE_SALVAGE	-0.455	-0.455	0.579	0.187	-0.455	-0.455	-0.455	3.764	0.187	-0.455	0.187
BIOCARTA_PEPI_PATHWAY BIOCARTA_PEPI_PATHWAY	0.795	-0.331	-0.331	-0.331	-0.331	0.273	-0.331	-0.331	-0.331	3.565	-0.332
