GO	[-9.50 -0.56]	[-0.56 -0.44]	[-0.44 -0.20]	[-0.20 -0.09]	[-0.09 -0.01]	[-0.01 0.00]	[0.00 0.06]	[0.06 0.16]	[0.16 0.32]	[0.32 0.83]	[0.83 5.93]
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX	-5.269	-0.358	-5.269	-6.494	-5.269	56.098	9.572	-6.494	-5.269	-4.347	-3.605
GOCC_T_CELL_RECEPTOR_COMPLEX GOCC_T_CELL_RECEPTOR_COMPLEX	-1.363	0.797	-2.120	-3.910	-3.910	35.384	2.926	-5.992	-2.610	-5.992	-0.479
GOCC_KERATIN_FILAMENT GOCC_KERATIN_FILAMENT	-1.651	2.303	-2.199	-2.922	-2.199	20.714	3.538	-3.946	-3.946	-2.922	-0.899
GOCC_SPLICEOSOMAL_COMPLEX GOCC_SPLICEOSOMAL_COMPLEX	-2.522	-4.112	2.110	3.295	6.388	-1.773	0.679	2.110	0.325	-4.816	-6.659
GOCC_CHROMOSOME_CENTROMERIC_REGION GOCC_CHROMOSOME_CENTROMERIC_REGION	-3.694	-5.029	3.713	5.196	1.693	-5.029	0.598	1.069	1.468	-1.080	-4.318
GOCC_RIBOSOMAL_SUBUNIT GOCC_RIBOSOMAL_SUBUNIT	-4.675	-4.675	1.078	1.489	1.970	-2.416	-0.335	4.169	3.808	-0.572	-5.501
GOCC_ANCHORED_COMPONENT_OF_MEMBRANE GOCC_ANCHORED_COMPONENT_OF_MEMBRANE	1.700	5.934	-1.064	-2.390	-7.081	1.038	-0.510	-1.323	-1.626	0.548	1.955
GOCC_AZUROPHIL_GRANULE GOCC_AZUROPHIL_GRANULE	-5.191	-2.401	-1.012	0.367	1.408	-1.963	2.207	3.181	3.181	0.488	-3.537
GOCC_PRERIBOSOME GOCC_PRERIBOSOME	-3.238	-2.291	0.773	3.763	2.000	-1.172	1.026	0.773	0.558	-2.291	-2.293
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	-1.659	-1.659	1.491	0.835	1.031	-4.722	0.381	2.670	1.250	0.509	-3.842
GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	3.364	4.259	-2.537	-0.601	-1.950	-0.424	0.312	-2.537	-1.488	0.312	1.279
GOCC_COLLAGEN_TRIMER GOCC_COLLAGEN_TRIMER	1.947	1.607	-0.338	-1.935	-2.623	1.607	-0.731	-2.623	-1.421	-0.505	3.601
GOCC_RNA_POLYMERASE_COMPLEX GOCC_RNA_POLYMERASE_COMPLEX	-1.144	-2.571	-0.617	2.518	2.900	-1.515	2.162	1.003	0.301	-1.144	-2.574
GOCC_SITE_OF_DOUBLE_STRAND_BREAK GOCC_SITE_OF_DOUBLE_STRAND_BREAK	-1.964	-2.863	1.031	1.338	2.945	-1.363	-0.405	0.764	0.357	0.539	-1.966
GOCC_MOTILE_CILIUM GOCC_MOTILE_CILIUM	2.285	2.285	-0.517	-0.398	-1.029	0.301	-2.196	-1.531	-2.603	-0.301	3.496
GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX	-3.302	-2.103	0.579	0.433	2.631	-1.663	-0.291	2.293	1.684	-0.761	-0.763
GOCC_CORNIFIED_ENVELOPE GOCC_CORNIFIED_ENVELOPE	0.226	3.292	-1.124	-1.124	-1.866	2.726	0.409	-1.124	-0.392	-0.392	0.226
GOCC_INTRINSIC_COMPONENT_OF_GOLGI_MEMBRANE GOCC_INTRINSIC_COMPONENT_OF_GOLGI_MEMBRANE	-0.566	-1.272	-1.272	-0.566	-1.272	-1.272	0.604	0.405	3.672	2.678	-0.360
GOCC_CUL2_RING_UBIQUITIN_LIGASE_COMPLEX GOCC_CUL2_RING_UBIQUITIN_LIGASE_COMPLEX	-0.621	-0.621	-0.621	1.386	2.867	-0.621	-0.223	1.386	-0.621	-0.621	-0.622
GOCC_AUTOPHAGOSOME GOCC_AUTOPHAGOSOME	-0.985	-1.330	0.385	1.783	2.119	-3.072	-0.715	1.475	0.385	0.385	-0.986
GOCC_MEMBRANE_COAT GOCC_MEMBRANE_COAT	-1.152	-1.152	1.140	1.735	1.140	-1.564	0.488	1.140	-0.833	0.673	-2.812
GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX	3.363	1.822	0.332	-0.704	-0.704	0.332	-0.704	-0.704	-0.704	-0.272	-0.705
GOCC_PHOTORECEPTOR_DISC_MEMBRANE GOCC_PHOTORECEPTOR_DISC_MEMBRANE	0.457	0.457	0.821	-0.953	-0.953	2.474	-0.953	-0.434	-0.953	-0.953	1.282
GOCC_CONNEXIN_COMPLEX GOCC_CONNEXIN_COMPLEX	0.527	2.038	-0.378	-0.378	-0.870	0.930	2.038	-0.870	-0.870	-0.870	-0.871
GOCC_LAMELLIPODIUM GOCC_LAMELLIPODIUM	0.912	-0.540	-0.540	-1.573	1.282	-3.662	-1.573	1.282	1.088	1.088	0.484
GOCC_EXORIBONUCLEASE_COMPLEX GOCC_EXORIBONUCLEASE_COMPLEX	-1.077	-1.077	0.684	-0.520	1.580	-0.520	-1.077	2.150	0.684	0.371	-1.078
GOCC_NUCLEOID GOCC_NUCLEOID	-1.124	-1.124	-0.676	-0.392	0.959	-1.124	0.959	1.738	0.959	0.959	-1.867
GOCC_PROTEASOME_ACCESSORY_COMPLEX GOCC_PROTEASOME_ACCESSORY_COMPLEX	-0.994	-0.994	-0.204	1.745	0.426	-0.994	-0.204	1.745	0.772	-0.994	-0.463
GOCC_ATPASE_COMPLEX GOCC_ATPASE_COMPLEX	-1.075	-1.435	1.950	0.851	2.294	-1.435	-1.435	0.477	-0.398	-0.270	0.334
GOCC_SARCOPLASM GOCC_SARCOPLASM	2.000	0.773	-0.559	-0.820	-2.291	-0.820	-1.172	-0.368	0.558	0.558	1.638
GOCC_EUKARYOTIC_48S_PREINITIATION_COMPLEX GOCC_EUKARYOTIC_48S_PREINITIATION_COMPLEX	-0.621	-0.621	0.396	-0.621	3.773	-0.621	0.396	-0.223	0.396	-0.621	-0.223
GOCC_CHROMATOID_BODY GOCC_CHROMATOID_BODY	1.603	-0.538	-0.538	-0.176	-0.538	-0.538	-0.176	-0.538	0.968	-0.538	1.602
GOCC_PARANODAL_JUNCTION GOCC_PARANODAL_JUNCTION	2.453	-0.331	0.273	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	1.528	-0.331
GOCC_DEATH_INDUCING_SIGNALING_COMPLEX GOCC_DEATH_INDUCING_SIGNALING_COMPLEX	-0.373	-0.373	0.240	3.246	-0.373	0.712	-0.373	-0.373	-0.373	0.240	-0.373
GOCC_MULTIVESICULAR_BODY_LUMEN GOCC_MULTIVESICULAR_BODY_LUMEN	2.721	0.313	-0.290	-0.290	-0.290	0.894	-0.290	-0.290	-0.290	-0.290	-0.290
GOCC_HULC_COMPLEX GOCC_HULC_COMPLEX	-0.207	0.421	-0.207	3.501	-0.207	-0.207	-0.207	-0.207	-0.207	-0.207	-0.207
