GO	[-10.12 -0.93]	[-0.93 -0.57]	[-0.57 -0.30]	[-0.30 -0.08]	[-0.08 0.00]	[0.00 0.00]	[0.00 0.12]	[0.12 0.38]	[0.38 0.73]	[0.73 1.74]	[1.74 23.61]
GOCC_IMMUNOGLOBULIN_COMPLEX GOCC_IMMUNOGLOBULIN_COMPLEX	-3.595	-4.340	-6.485	-5.261	-5.261	14.517	59.397	-6.485	-6.485	-5.261	-3.592
GOCC_T_CELL_RECEPTOR_COMPLEX GOCC_T_CELL_RECEPTOR_COMPLEX	-2.606	-3.905	-4.793	-3.905	-3.905	24.892	11.980	-3.905	-2.117	-2.606	1.200
GOBP_MITOCHONDRIAL_TRANSLATION GOBP_MITOCHONDRIAL_TRANSLATION	4.632	14.595	3.786	-0.362	-3.546	-5.567	-0.884	-0.499	-2.306	-5.567	-5.564
GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED GOBP_REGULATION_OF_TRANSLATION_NCRNA_MEDIATED	-1.077	-3.693	-1.077	-1.477	-2.695	25.191	4.435	-2.695	-0.771	-1.477	-3.691
GOCC_KERATIN_FILAMENT GOCC_KERATIN_FILAMENT	-2.197	-2.197	-1.650	-3.943	-0.641	19.710	7.901	-2.919	-2.197	-2.919	-0.446
GOMF_ODORANT_BINDING GOMF_ODORANT_BINDING	-2.288	-1.787	-2.913	-1.383	-1.055	25.336	4.438	-3.714	-2.913	-1.383	-0.417
GOBP_VIRAL_GENE_EXPRESSION GOBP_VIRAL_GENE_EXPRESSION	-0.562	6.365	4.001	4.734	-2.292	-8.241	0.584	-0.437	-1.095	-1.612	-5.050
GOBP_TRNA_PROCESSING GOBP_TRNA_PROCESSING	2.496	8.539	3.212	0.533	-3.404	-5.400	-0.610	0.533	-1.063	-2.734	-5.397
GOCC_CHROMOSOME_CENTROMERIC_REGION GOCC_CHROMOSOME_CENTROMERIC_REGION	-3.686	-0.698	0.893	2.184	-1.591	-8.199	-1.078	3.699	7.796	0.736	-4.299
GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX	3.008	8.559	1.030	1.488	-2.062	-5.901	-1.657	-0.608	-1.317	0.380	-5.897
GOMF_HORMONE_ACTIVITY GOMF_HORMONE_ACTIVITY	-1.186	-0.496	-3.122	-2.477	17.160	1.301	-0.904	-1.957	-0.496	-0.677	0.254
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA	-0.447	-0.342	0.453	4.313	-0.447	-8.282	0.263	1.418	3.285	-0.447	-6.953
GOCC_SPLICEOSOMAL_COMPLEX GOCC_SPLICEOSOMAL_COMPLEX	-1.770	-0.370	1.849	2.375	-0.785	-5.635	0.543	4.330	2.104	-1.204	-6.635
GOMF_PEPTIDE_RECEPTOR_ACTIVITY GOMF_PEPTIDE_RECEPTOR_ACTIVITY	0.388	-1.234	-1.543	-3.460	8.229	1.227	-2.341	-2.852	-0.435	0.513	2.276
GOCC_PRERIBOSOME GOCC_PRERIBOSOME	1.998	4.273	1.639	1.639	-0.819	-3.236	-0.559	0.243	-1.171	-3.236	-3.234
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE	-1.657	-0.800	-2.546	-0.800	5.945	5.471	-0.800	-3.833	0.274	-1.035	1.250
GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	0.645	0.645	3.471	4.619	-2.197	-3.196	-1.182	2.180	-0.430	-2.657	-3.193
GOMF_GROWTH_FACTOR_BINDING GOMF_GROWTH_FACTOR_BINDING	0.746	-0.718	-1.209	-4.522	1.637	-2.395	-3.653	0.439	0.320	1.380	6.318
GOBP_REGULATION_OF_MACROAUTOPHAGY GOBP_REGULATION_OF_MACROAUTOPHAGY	-1.105	-0.518	2.031	1.761	-0.388	-6.610	-0.678	0.707	4.435	-0.678	-1.705
GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING GOMF_UBIQUITIN_LIKE_PROTEIN_BINDING	-1.029	0.897	2.762	1.704	-1.381	-4.192	-0.752	1.704	2.029	-1.828	-2.396
GOBP_ENDOCRINE_SYSTEM_DEVELOPMENT GOBP_ENDOCRINE_SYSTEM_DEVELOPMENT	-0.904	-1.186	-0.677	-0.354	5.950	-0.496	-1.957	-0.904	-3.122	0.500	4.969
GOCC_RUFFLE GOCC_RUFFLE	-0.436	-0.926	-0.732	0.769	-2.523	-5.038	-1.737	0.939	3.632	3.632	0.619
GOBP_PROTEIN_METHYLATION GOBP_PROTEIN_METHYLATION	-0.277	1.724	2.559	1.260	-1.045	-4.817	-1.601	1.985	0.872	-0.498	-4.036
