GO	[-1.54 -0.38]	[-0.38 -0.22]	[-0.22 -0.14]	[-0.14 -0.08]	[-0.08 -0.02]	[-0.02 0.03]	[0.03 0.09]	[0.09 0.15]	[0.15 0.23]	[0.23 0.38]	[0.38 1.75]
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	-0.582	-1.445	-0.350	-1.445	-0.582	-2.260	0.257	0.257	0.257	0.435	8.731
REACTOME_TRANSLATION REACTOME_TRANSLATION	-0.551	-0.346	0.261	-0.844	-0.844	-2.726	0.261	-0.346	-0.346	0.261	7.802
REACTOME_PEPTIDE_CHAIN_ELONGATION REACTOME_PEPTIDE_CHAIN_ELONGATION	-0.603	-1.031	0.268	-1.753	-0.603	-1.753	0.477	0.268	0.268	0.268	6.610
KEGG_RIBOSOME KEGG_RIBOSOME	-0.319	-0.998	-0.319	-1.711	-0.577	-1.711	0.284	0.284	0.284	0.284	6.782
GO_TRANSLATIONAL_INITIATION GO_TRANSLATIONAL_INITIATION	-0.408	-0.632	-0.252	-1.380	-0.946	-1.380	-0.408	-0.252	-0.408	0.541	7.992
GO_LARGE_RIBOSOMAL_SUBUNIT GO_LARGE_RIBOSOMAL_SUBUNIT	0.509	-1.291	-0.674	-1.291	-0.342	-1.291	-0.342	0.509	-0.342	0.263	6.025
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	0.238	-1.099	-0.374	-1.837	-0.654	-1.099	0.238	0.238	0.238	0.238	7.101
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	-0.681	-0.394	0.225	-1.133	-0.681	-1.880	0.225	0.225	0.225	0.225	6.931
GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	-0.260	-1.124	-0.552	-1.124	-0.260	-1.124	-0.260	0.645	-0.260	-0.260	5.926
GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM GO_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	-0.761	-0.454	-0.256	-1.236	-0.454	-2.006	-0.256	0.572	-0.256	0.351	5.696
GO_CYTOSOLIC_RIBOSOME GO_CYTOSOLIC_RIBOSOME	-0.628	-0.628	-0.356	-0.628	-0.628	-1.795	0.253	0.253	0.253	0.253	6.444
GO_MULTI_ORGANISM_METABOLIC_PROCESS GO_MULTI_ORGANISM_METABOLIC_PROCESS	-1.506	-0.302	-0.302	-1.506	-0.302	-1.506	0.300	-0.302	0.669	0.300	5.465
GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM GO_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	-0.582	-0.582	0.257	-0.929	-0.582	-2.260	-0.350	0.667	0.257	0.435	4.942
GO_ENDOPLASMIC_RETICULUM_LUMEN GO_ENDOPLASMIC_RETICULUM_LUMEN	-1.166	-1.166	-0.280	-0.582	0.608	-1.166	-0.582	0.982	-0.280	0.608	3.280
GSE3920_IFNB_VS_IFNG_TREATED_ENDOTHELIAL_CELL_UP GSE3920_IFNB_VS_IFNG_TREATED_ENDOTHELIAL_CELL_UP	-0.364	-1.333	1.191	0.796	0.246	-1.333	-1.333	0.796	-0.706	-0.364	2.207
REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX REACTOME_NONSENSE_MEDIATED_DECAY_ENHANCED_BY_THE_EXON_JUNCTION_COMPLEX	0.257	-0.929	-0.350	-0.582	-0.350	-2.260	0.257	0.257	-0.350	0.435	4.942
GO_RIBOSOMAL_SUBUNIT GO_RIBOSOMAL_SUBUNIT	0.316	-1.305	-0.495	-0.495	-0.816	-0.816	-0.286	-0.286	-0.286	0.316	6.162
DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN DUTERTRE_ESTRADIOL_RESPONSE_6HR_DN	-0.498	-0.498	-0.498	0.166	-0.498	-0.498	0.524	-0.498	-0.498	1.054	3.522
