GO	[-1.54 -0.38]	[-0.38 -0.22]	[-0.22 -0.14]	[-0.14 -0.08]	[-0.08 -0.02]	[-0.02 0.03]	[0.03 0.09]	[0.09 0.15]	[0.15 0.23]	[0.23 0.38]	[0.38 1.75]
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	-0.582	-1.445	-0.350	-1.445	-0.582	-2.260	0.257	0.257	0.257	0.435	8.731
REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES	5.700	2.587	-1.166	-0.280	-0.582	-1.166	-0.280	-1.166	-0.280	-1.166	-0.579
GSE17974_1H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN GSE17974_1H_VS_72H_UNTREATED_IN_VITRO_CD4_TCELL_DN	4.286	-0.721	0.330	1.048	-0.274	0.520	-1.104	-1.104	-0.274	-0.274	-2.503
GSE40666_UNTREATED_VS_IFNA_STIM_EFFECTOR_CD8_TCELL_90MIN_DN GSE40666_UNTREATED_VS_IFNA_STIM_EFFECTOR_CD8_TCELL_90MIN_DN	0.271	-0.560	1.332	0.271	-2.217	-2.217	0.456	-1.410	1.727	0.456	0.995
GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_UP GSE7568_IL4_TGFB_DEXAMETHASONE_VS_IL4_TGFB_TREATED_MACROPHAGE_UP	4.380	-0.900	0.987	-0.333	-0.333	0.456	-2.217	-1.410	0.456	-0.560	-0.330
GSE20727_H2O2_VS_ROS_INHIBITOR_TREATED_DC_DN GSE20727_H2O2_VS_ROS_INHIBITOR_TREATED_DC_DN	-0.794	-1.194	-1.768	1.615	-0.794	0.286	-0.316	-1.768	1.615	1.258	1.268
GSE14415_INDUCED_VS_NATURAL_TREG_DN GSE14415_INDUCED_VS_NATURAL_TREG_DN	-1.987	-0.946	4.046	1.354	-0.632	-0.632	-0.408	0.356	0.356	0.541	-1.371
GSE3039_CD4_TCELL_VS_ALPHABETA_CD8_TCELL_DN GSE3039_CD4_TCELL_VS_ALPHABETA_CD8_TCELL_DN	2.286	0.509	-1.291	-1.291	-0.674	-0.342	0.509	-1.291	-0.674	0.839	1.255
GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_UP	1.695	0.627	2.160	-1.167	-0.228	-0.413	-1.922	-1.922	0.389	-0.228	-0.226
GSE45365_NK_CELL_VS_BCELL_MCMV_INFECTION_DN GSE45365_NK_CELL_VS_BCELL_MCMV_INFECTION_DN	-0.516	-0.844	-0.844	0.301	5.996	-0.302	-0.844	0.301	0.499	-1.340	-0.298
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_6H_UP GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_6H_UP	-0.364	-1.333	-0.364	-1.333	-0.706	1.191	0.480	0.246	2.196	1.191	-1.327
GSE36392_MAC_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP GSE36392_MAC_VS_NEUTROPHIL_IL25_TREATED_LUNG_UP	-1.837	0.238	0.430	0.686	0.686	-1.837	1.004	0.430	-1.099	1.817	-1.092
GO_ENDOPLASMIC_RETICULUM_LUMEN GO_ENDOPLASMIC_RETICULUM_LUMEN	-1.166	-1.166	-0.280	-0.582	0.608	-1.166	-0.582	0.982	-0.280	0.608	3.280
GSE19401_PLN_VS_PEYERS_PATCH_FOLLICULAR_DC_UP GSE19401_PLN_VS_PEYERS_PATCH_FOLLICULAR_DC_UP	-2.006	-0.761	-0.454	0.351	-0.761	-0.454	4.955	-0.256	-0.454	-0.256	0.859
MORF_EIF4E MORF_EIF4E	1.948	1.490	0.477	1.090	-0.603	-0.603	-0.603	0.477	-1.753	-1.753	-0.598
HEDENFALK_BREAST_CANCER_HEREDITARY_VS_SPORADIC HEDENFALK_BREAST_CANCER_HEREDITARY_VS_SPORADIC	0.993	-0.831	-0.352	-0.831	-0.831	2.160	-0.352	2.160	-0.831	-0.352	-0.349
GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_DN GSE11864_UNTREATED_VS_CSF1_PAM3CYS_IN_MAC_DN	1.876	3.012	-0.455	-0.455	-0.833	-0.833	-0.833	0.380	-1.501	-0.455	0.653
GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP GSE5589_WT_VS_IL6_KO_LPS_AND_IL6_STIM_MACROPHAGE_45MIN_UP	-0.706	0.707	-0.706	0.331	-0.706	1.829	-0.706	-0.706	1.829	-0.706	0.333
GSE13411_NAIVE_VS_MEMORY_BCELL_DN GSE13411_NAIVE_VS_MEMORY_BCELL_DN	-0.761	1.582	-0.256	0.572	1.190	-0.761	-1.236	-0.454	-2.006	2.026	-0.449
RACTNNRTTTNC_UNKNOWN RACTNNRTTTNC_UNKNOWN	4.017	0.457	0.199	0.199	-0.435	-0.957	0.823	-0.435	-0.957	-0.957	-0.432
GO_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS GO_REGULATION_OF_CARBOHYDRATE_METABOLIC_PROCESS	0.884	0.884	-1.249	-1.249	0.540	1.308	0.540	0.282	-1.249	0.282	-1.244
VANHARANTA_UTERINE_FIBROID_WITH_7Q_DELETION_UP VANHARANTA_UTERINE_FIBROID_WITH_7Q_DELETION_UP	1.668	1.154	1.154	0.397	0.397	-1.040	-0.222	-1.040	-1.040	-1.040	-0.490
GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_DN GSE22919_RESTING_VS_IL2_IL12_IL15_STIM_NK_CELL_DN	-2.217	0.271	0.456	-2.217	1.332	0.271	0.695	-0.900	0.271	1.332	0.274
GSE411_WT_VS_SOCS3_KO_MACROPHAGE_UP GSE411_WT_VS_SOCS3_KO_MACROPHAGE_UP	0.917	3.025	1.620	-0.958	0.244	0.416	-0.605	-0.958	-0.958	-0.605	-1.472
GSE3982_BCELL_VS_NKCELL_UP GSE3982_BCELL_VS_NKCELL_UP	-0.271	2.445	-0.271	1.146	-2.048	0.547	0.333	-2.048	-0.474	-0.271	-0.268
GSE15330_LYMPHOID_MULTIPOTENT_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP GSE15330_LYMPHOID_MULTIPOTENT_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_UP	0.556	-1.627	-0.284	0.319	-0.284	3.328	-0.931	0.319	-0.284	-1.627	0.560
GSE3982_EOSINOPHIL_VS_MAST_CELL_DN GSE3982_EOSINOPHIL_VS_MAST_CELL_DN	1.476	0.522	0.786	-0.816	0.316	-0.816	-0.816	-2.091	-1.305	0.786	1.487
GO_RAN_GTPASE_BINDING GO_RAN_GTPASE_BINDING	0.993	1.528	0.256	-0.831	0.993	-0.352	-0.831	0.993	-0.831	-0.831	-0.828
GSE12366_GC_VS_MEMORY_BCELL_DN GSE12366_GC_VS_MEMORY_BCELL_DN	-1.201	-0.433	-0.433	0.369	-0.242	-1.964	-0.433	-0.734	1.235	0.599	3.166
GSE37301_CD4_TCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN GSE37301_CD4_TCELL_VS_GRANULOCYTE_MONOCYTE_PROGENITOR_DN	-1.031	-1.753	-0.603	-0.337	-0.337	1.490	-1.031	0.268	2.462	-0.337	1.098
GSE3982_EOSINOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP GSE3982_EOSINOPHIL_VS_CENT_MEMORY_CD4_TCELL_UP	-1.587	-0.674	0.362	0.362	-1.045	-0.248	-0.674	-1.045	0.362	1.123	3.904
MORF_SKP1A MORF_SKP1A	4.146	-0.415	1.542	-0.621	-0.267	-0.267	-0.415	0.338	-0.899	-0.899	-1.754
GSE42724_NAIVE_VS_MEMORY_BCELL_UP GSE42724_NAIVE_VS_MEMORY_BCELL_UP	-1.459	1.459	-0.801	1.035	-0.432	-0.432	1.459	-1.459	-0.432	1.035	-0.428
GSE14908_ATOPIC_VS_NONATOPIC_PATIENT_RESTING_CD4_TCELL_DN GSE14908_ATOPIC_VS_NONATOPIC_PATIENT_RESTING_CD4_TCELL_DN	0.430	0.430	0.238	-0.654	1.004	-0.374	1.004	1.817	-1.837	-1.837	-0.649
GSE339_CD4POS_VS_CD4CD8DN_DC_IN_CULTURE_UP GSE339_CD4POS_VS_CD4CD8DN_DC_IN_CULTURE_UP	-0.413	-0.413	-1.922	-0.707	-0.707	0.627	1.282	-0.228	0.627	-1.167	2.691
GSE26343_WT_VS_NFAT5_KO_MACROPHAGE_UP GSE26343_WT_VS_NFAT5_KO_MACROPHAGE_UP	-1.914	0.584	-0.894	1.109	-0.894	0.237	1.436	-0.894	0.584	1.804	-1.309
GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_DN GSE45365_CD8A_DC_VS_CD11B_DC_IFNAR_KO_DN	-0.337	-1.031	0.477	0.268	0.477	0.268	0.752	0.268	-1.753	2.462	-1.746
PENG_GLUTAMINE_DEPRIVATION_UP PENG_GLUTAMINE_DEPRIVATION_UP	-0.498	-0.498	-0.498	-0.498	-0.498	-0.498	2.557	0.166	1.054	-0.498	1.058
GSE27786_NKTCELL_VS_ERYTHROBLAST_DN GSE27786_NKTCELL_VS_ERYTHROBLAST_DN	-1.166	0.323	0.608	0.323	-0.280	-0.582	0.982	-0.280	2.587	-1.166	-1.161
